date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,236
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;37170000;0;0;;0;0;0;0,000;0;0;0;0
2;;37170000;0;0;;0;0;0;0,000;0;0;0;0
3;;37170000;0;0;;0;0;0;0,000;0;0;0;0
4;;37170000;0;0;;0;0;0;0,000;0;0;0;0
5;;37170000;0;0;;0;0;0;0,000;0;0;0;0
6;;37170000;0;0;;0;0;0;0,000;0;0;0;0
7;;37170000;0;0;;0;0;0;0,000;0;0;0;0
8;;37170000;0;0;;0;0;0;0,000;0;0;0;0
9;;37170000;0;0;;0;0;0;0,000;0;0;0;0
10;;37170000;0;0;;0;0;0;0,000;0;0;0;0
11;;37170000;0;0;;0;0;0;0,000;0;0;0;0
12;;37170000;0;0;;0;0;0;0,000;0;0;0;0
13;;37170000;0;0;;0;0;0;0,000;0;0;0;0
14;;37170000;0;0;;0;0;0;0,000;0;0;0;0
15;;37170000;0;0;;0;0;0;0,000;0;0;0;0
16;;37170000;0;0;;0;0;0;0,000;0;0;0;0
17;;37170000;0;0;;0;0;0;0,000;0;0;0;0
18;;37170000;0;0;;0;0;0;0,000;0;0;0;0
19;;37170000;0;0;;0;0;0;0,000;0;0;0;0
20;;37170000;0;0;;0;0;0;0,000;0;0;0;0
21;;37170000;0;0;;0;0;0;0,000;0;0;0;0
22;;37170000;0;0;;0;0;0;0,000;0;0;0;0
23;;37170000;0;0;;0;0;0;0,000;0;0;0;0
24;;37170000;0;0;;0;0;0;0,000;0;0;0;0
25;;37170000;0;0;;0;0;0;0,000;0;0;0;0
26;;37170000;0;0;;0;0;0;0,000;0;0;0;0
27;;37170000;0;0;;0;0;0;0,000;0;0;0;0
28;;37170000;0;0;;0;0;0;0,000;0;0;0;0
29;;37170000;0;0;;0;0;0;0,000;0;0;0;0
30;;37170000;0;0;;0;0;0;0,000;0;0;0;0
31;;37170000;0;0;;0;0;0;0,000;0;0;0;0
32;;37170000;0;0;;0;0;0;0,000;0;0;0;0
33;;37170000;0;0;;0;0;0;0,000;0;0;0;0
34;;37169999;1;0;;37170000;1;0;0,070;37169999;0;1;0
35;;37169999;1;0;;37170000;1;0;0,070;37169999;0;1;0
36;;37169999;1;0;;37170000;1;0;0,070;37169999;0;1;0
37;;37169999;1;0;;37170000;1;0;0,070;37169999;1;1;0
38;;37169999;1;0;;37170000;1;0;0,070;37169999;1;1;0
39;;37169999;1;0;;37170000;1;0;0,070;37169998;1;1;0
40;;37169999;1;0;;37170000;1;0;0,070;37169998;1;1;0
41;;37169999;1;0;;37170000;1;0;0,070;37169998;1;1;1
42;;37169999;1;0;;37169999;1;1;0,070;37169997;1;1;1
43;;37169999;1;0;;37169999;1;1;0,070;37169997;1;2;1
44;;37169999;1;0;;37169999;1;1;0,070;37169997;1;2;1
45;;37169999;1;0;;37169999;1;1;0,070;37169996;1;2;1
46;;37169999;1;0;;37169999;1;1;3,070;37169996;2;2;1
47;;37169996;4;0;;37169996;4;1;0,070;37169995;2;2;1
48;;37169996;4;0;;37169996;4;1;0,320;37169995;2;2;1
49;;37169995;5;0;;37169995;5;1;0,470;37169994;2;3;2
50;;37169993;7;0;;37169992;7;2;0,070;37169994;2;3;2
51;;37169993;7;0;;37169992;7;2;0,070;37169993;2;3;2
52;;37169993;7;0;;37169991;7;3;0,641;37169992;3;3;2
53;;37169989;11;0;;37169987;11;3;0,525;37169992;3;4;2
54;;37169984;16;0;;37169981;16;4;0,320;37169991;3;4;3
55;;37169979;20;1;;37169976;20;5;0,120;37169990;4;4;3
56;;37169978;21;1;;37169973;21;7;0,070;37169989;4;5;3
57;;37169978;21;1;;37169972;21;8;0,070;37169988;4;5;4
58;;37169978;21;1;;37169970;21;10;0,165;37169986;5;6;4
59;;37169976;23;1;;37169967;23;11;0,070;37169985;5;6;4
60;;37169976;23;1;;37169965;23;13;0,722;37169984;5;7;5
61;;37169960;38;2;;37169949;38;14;0,070;37169982;6;7;5
62;;37169960;38;2;;37169946;38;17;0,965;37169980;7;8;6
63;;37169926;72;2;;37169909;72;20;0,181;37169978;7;9;6
64;;37169916;80;4;;37169896;80;25;0,170;37169976;8;10;7
65;;37169906;88;6;;37169883;88;30;0,252;37169974;9;11;8
66;;37169890;104;6;;37169861;104;36;0,070;37169971;9;12;8
67;;37169890;104;6;;37169853;104;44;0,166;37169969;10;13;9
68;;37169880;114;6;;37169836;114;51;0,509;37169966;11;14;10
69;;37169830;164;6;;37169778;164;59;0,076;37169963;12;15;11
70;;37169826;165;9;;37169766;165;70;0,452;37169959;13;16;12
71;;37169763;228;9;;37169691;228;82;0,197;37169955;14;18;13
72;;37169727;257;16;;37169646;257;98;0,101;37169951;16;19;14
73;;37169719;265;16;;37169620;265;116;0,134;37169946;17;21;16
74;;37169701;282;17;;37169585;282;134;0,230;37169941;19;23;17
75;;37169651;327;22;;37169520;327;154;0,104;37169936;20;25;19
76;;37169633;338;29;;37169486;338;177;0,227;37169930;22;28;21
77;;37169577;391;32;;37169409;391;201;0,096;37169923;24;30;23
78;;37169556;401;43;;37169372;401;228;0,160;37169916;27;33;25
79;;37169516;437;47;;37169308;437;256;0,155;37169908;29;36;27
80;;37169479;474;47;;37169240;474;287;0,135;37169900;32;39;30
81;;37169445;505;50;;37169176;505;320;0,173;37169891;35;43;32
82;;37169393;557;50;;37169089;557;355;0,169;37169881;38;47;35
83;;37169335;612;53;;37168995;612;394;0,134;37169870;41;51;39
84;;37169286;651;63;;37168913;651;437;0,170;37169858;45;56;42
85;;37169216;716;68;;37168802;716;483;0,126;37169844;49;61;46
86;;37169160;756;84;;37168712;756;533;0,098;37169830;54;66;50
87;;37169094;777;129;;37168638;777;586;0,088;37169814;59;73;55
88;;37169067;791;142;;37168570;791;640;0,122;37169797;64;79;60
89;;37169004;832;164;;37168474;832;695;0,098;37169779;70;86;66
90;;37168974;855;171;;37168392;855;754;0,130;37169758;76;94;72
91;;37168908;906;186;;37168281;906;814;0,141;37169736;83;103;78
92;;37168824;970;206;;37168154;970;877;0,161;37169712;91;112;85
93;;37168721;1058;221;;37167998;1058;945;0,129;37169685;99;123;93
94;;37168649;1120;231;;37167862;1120;1019;0,166;37169656;108;134;102
95;;37168537;1228;235;;37167676;1228;1097;0,107;37169625;118;146;111
96;;37168469;1274;257;;37167544;1274;1183;0,189;37169590;129;160;122
97;;37168297;1426;277;;37167303;1426;1272;0,151;37169553;141;174;133
98;;37168172;1542;286;;37167087;1542;1372;0,125;37169512;154;190;145
99;;37168061;1627;312;;37166894;1627;1480;0,205;37169467;168;208;158
100;;37167829;1847;324;;37166560;1847;1594;0,130;37169418;183;227;173
101;;37167665;1957;378;;37166321;1957;1723;0,126;37169365;200;247;189
102;;37167531;2066;403;;37166075;2066;1860;0,171;37169306;218;270;206
103;;37167296;2274;430;;37165722;2274;2005;0,128;37169243;238;295;225
104;;37167106;2407;487;;37165430;2407;2164;0,195;37169173;260;322;245
105;;37166776;2708;516;;37164961;2708;2333;0,115;37169098;284;351;268
106;;37166608;2830;562;;37164649;2830;2522;0,126;37169015;310;383;293
107;;37166437;2989;574;;37164292;2989;2720;0,140;37168924;338;419;319
108;;37166222;3197;581;;37163875;3197;2929;0,139;37168826;369;457;349
