date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,254
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;44490000;0;0;;0;0;0;0,000;0;0;0;0
2;;44490000;0;0;;0;0;0;0,000;0;0;0;0
3;;44490000;0;0;;0;0;0;0,000;0;0;0;0
4;;44490000;0;0;;0;0;0;0,000;0;0;0;0
5;;44490000;0;0;;0;0;0;0,000;0;0;0;0
6;;44490000;0;0;;0;0;0;0,000;0;0;0;0
7;;44490000;0;0;;0;0;0;0,000;0;0;0;0
8;;44490000;0;0;;0;0;0;0,000;0;0;0;0
9;;44490000;0;0;;0;0;0;0,000;0;0;0;0
10;;44490000;0;0;;0;0;0;0,000;0;0;0;0
11;;44490000;0;0;;0;0;0;0,000;0;0;0;0
12;;44490000;0;0;;0;0;0;0,000;0;0;0;0
13;;44490000;0;0;;0;0;0;0,000;0;0;0;0
14;;44490000;0;0;;0;0;0;0,000;0;0;0;0
15;;44490000;0;0;;0;0;0;0,000;0;0;0;0
16;;44490000;0;0;;0;0;0;0,000;0;0;0;0
17;;44490000;0;0;;0;0;0;0,000;0;0;0;0
18;;44490000;0;0;;0;0;0;0,000;0;0;0;0
19;;44490000;0;0;;0;0;0;0,000;0;0;0;0
20;;44490000;0;0;;0;0;0;0,000;0;0;0;0
21;;44490000;0;0;;0;0;0;0,000;0;0;0;0
22;;44490000;0;0;;0;0;0;0,000;0;0;0;0
23;;44490000;0;0;;0;0;0;0,000;0;0;0;0
24;;44490000;0;0;;0;0;0;0,000;0;0;0;0
25;;44490000;0;0;;0;0;0;0,000;0;0;0;0
26;;44490000;0;0;;0;0;0;0,000;0;0;0;0
27;;44490000;0;0;;0;0;0;0,000;0;0;0;0
28;;44490000;0;0;;0;0;0;0,000;0;0;0;0
29;;44490000;0;0;;0;0;0;0,000;0;0;0;0
30;;44490000;0;0;;0;0;0;0,000;0;0;0;0
31;;44490000;0;0;;0;0;0;0,000;0;0;0;0
32;;44490000;0;0;;0;0;0;0,000;0;0;0;0
33;;44490000;0;0;;0;0;0;0,000;0;0;0;0
34;;44490000;0;0;;0;0;0;0,000;0;0;0;0
35;;44490000;0;0;;0;0;0;0,000;0;0;0;0
36;;44490000;0;0;;0;0;0;0,000;0;0;0;0
37;;44490000;0;0;;0;0;0;0,000;0;0;0;0
38;;44490000;0;0;;0;0;0;0,000;0;0;0;0
39;;44490000;0;0;;0;0;0;0,000;0;0;0;0
40;;44490000;0;0;;0;0;0;0,000;0;0;0;0
41;;44490000;0;0;;0;0;0;0,000;0;0;0;0
42;;44489999;1;0;;44490000;1;0;0,070;44489999;0;1;0
43;;44489999;1;0;;44490000;1;0;0,070;44489999;0;1;0
44;;44489999;1;0;;44490000;1;0;1,070;44489999;0;1;0
45;;44489998;2;0;;44489999;2;0;3,070;44489999;1;1;0
46;;44489992;8;0;;44489993;8;0;0,445;44489998;1;1;0
47;;44489988;11;1;;44489989;11;1;0,070;44489998;1;1;0
48;;44489988;11;1;;44489988;11;2;0,525;44489998;1;1;0
49;;44489983;16;1;;44489983;16;2;0,195;44489998;1;1;1
50;;44489981;18;1;;44489979;18;4;0,070;44489997;1;1;1
51;;44489981;18;1;;44489978;18;5;0,681;44489997;1;2;1
52;;44489969;29;2;;44489966;29;6;0,139;44489996;2;2;1
53;;44489966;31;3;;44489962;31;8;0,425;44489996;2;2;1
54;;44489955;42;3;;44489949;42;10;0,332;44489996;2;2;1
55;;44489944;53;3;;44489935;53;13;0,259;44489995;2;2;1
56;;44489932;63;5;;44489921;63;17;0,245;44489994;2;3;1
57;;44489921;74;5;;44489906;74;21;0,300;44489994;2;3;2
58;;44489903;91;6;;44489883;91;27;0,411;44489993;3;3;2
59;;44489872;122;6;;44489846;122;33;0,308;44489992;3;3;2
60;;44489842;151;7;;44489809;151;41;0,626;44489991;3;4;2
61;;44489734;235;31;;44489714;235;52;0,070;44489990;4;4;3
62;;44489734;235;31;;44489698;235;68;0,470;44489989;4;5;3
63;;44489613;329;58;;44489587;329;85;0,064;44489988;4;5;3
64;;44489613;327;60;;44489566;327;108;0,385;44489987;5;6;3
65;;44489498;430;72;;44489440;430;131;0,242;44489985;5;6;4
66;;44489411;504;85;;44489336;504;161;0,260;44489984;6;7;4
67;;44489310;600;90;;44489205;600;196;0,160;44489982;6;7;5
68;;44489255;654;91;;44489109;654;238;-0,060;44489980;7;8;5
69;;44489180;569;251;;44489148;569;284;0,453;44489978;8;9;6
70;;44488946;787;267;;44488890;787;324;0,059;44489976;8;10;6
71;;44488946;778;276;;44488844;778;379;0,151;44489973;9;11;7
72;;44488867;841;292;;44488727;841;433;0,212;44489971;10;12;8
73;;44488735;960;305;;44488549;960;492;0,246;44489968;11;13;9
74;;44488549;1129;322;;44488313;1129;559;0,068;44489964;12;14;10
75;;44488549;1127;324;;44488236;1127;638;0,118;44489961;13;16;11
76;;44488446;1181;373;;44488103;1181;717;0,115;44489957;15;17;12
77;;44488372;1234;394;;44487967;1234;800;0,119;44489952;16;19;13
78;;44488285;1294;421;;44487821;1294;886;0,119;44489947;18;21;14
79;;44488205;1358;437;;44487666;1358;977;0,188;44489942;20;23;16
80;;44488025;1518;457;;44487411;1518;1072;0,027;44489936;22;25;17
81;;44488025;1452;523;;44487371;1452;1178;0,161;44489930;24;28;19
82;;44487858;1584;558;;44487137;1584;1280;0,078;44489923;26;31;21
83;;44487792;1596;612;;44487014;1596;1391;0,083;44489915;29;34;23
84;;44487723;1616;661;;44486882;1616;1503;0,144;44489906;31;37;26
85;;44487557;1736;707;;44486649;1736;1616;0,121;44489897;35;41;28
86;;44487429;1825;746;;44486439;1825;1737;0,100;44489887;38;45;31
87;;44487331;1880;789;;44486256;1880;1865;0,104;44489875;42;49;34
88;;44487242;1944;814;;44486061;1944;1997;0,098;44489863;46;54;38
89;;44487161;1998;841;;44485870;1998;2133;0,105;44489849;51;60;41
90;;44487059;2068;873;;44485661;2068;2272;0,058;44489834;56;66;46
91;;44486969;2044;987;;44485540;2044;2417;0,107;44489817;61;72;50
92;;44486856;2120;1024;;44485321;2120;2560;0,179;44489799;67;79;55
93;;44486565;2351;1084;;44484941;2351;2709;0,114;44489779;74;87;61
94;;44486393;2455;1152;;44484673;2455;2873;0,115;44489757;81;96;67
95;;44486220;2565;1215;;44484391;2565;3045;0,081;44489732;89;105;74
96;;44486108;2593;1299;;44484184;2593;3225;0,098;44489706;98;116;81
97;;44485997;2666;1337;;44483929;2666;3406;0,105;44489676;108;127;89
98;;44485873;2758;1369;;44483650;2758;3593;0,114;44489644;119;140;98
99;;44485715;2879;1406;;44483336;2879;3786;0,096;44489608;130;154;108
100;;44485572;2954;1474;;44483060;2954;3987;0,091;44489569;143;169;119
101;;44485468;3015;1517;;44482792;3015;4194;0,106;44489526;158;186;130
102;;44485319;3124;1557;;44482472;3124;4405;0,089;44489479;173;205;143
103;;44485217;3183;1600;;44482195;3183;4624;0,071;44489427;191;225;158
104;;44485113;3185;1702;;44481970;3185;4847;0,101;44489370;210;247;174
105;;44484980;3284;1736;;44481648;3284;5069;0,109;44489307;231;272;191
106;;44484792;3411;1797;;44481291;3411;5299;0,093;44489238;253;299;210
107;;44484629;3488;1883;;44480975;3488;5538;0,119;44489162;279;329;231
108;;44484389;3659;1952;;44480560;3659;5782;0,094;44489079;306;362;254
109;;44484224;3748;2028;;44480215;3748;6038;0,130;44488987;337;398;279
110;;44483966;3972;2062;;44479729;3971;6301;0,109;44488886;370;437;307
111;;44483722;4127;2151;;44479296;4126;6579;0,132;44488775;407;481;338
112;;44483437;4382;2181;;44478752;4381;6867;0,048;44488653;448;528;371
113;;44483121;4284;2595;;44478544;4283;7174;0,096;44488519;492;581;408
114;;44482866;4396;2738;;44478132;4395;7474;0,122;44488371;542;639;449
115;;44482521;4626;2853;;44477594;4625;7782;0,131;44488209;595;702;494
116;;44482195;4908;2897;;44476989;4907;8105;0,114;44488031;655;772;543
117;;44481932;5126;2942;;44476427;5125;8449;0,116;44487835;720;849;597
118;;44481629;5364;3007;;44475831;5363;8808;0,104;44487619;791;934;656
119;;44481191;5544;3265;;44475275;5543;9183;0,143;44487382;870;1027;722
120;;44480717;5947;3336;;44474485;5945;9571;0,160;44487121;957;1129;794
121;;44480069;6483;3448;;44473533;6481;9987;0,174;44486835;1052;1241;873
122;;44479351;7154;3495;;44472408;7152;10441;0,101;44486520;1157;1365;959
123;;44478647;7378;3975;;44471684;7376;10942;0,140;44486173;1272;1501;1055
124;;44477924;7892;4184;;44470654;7889;11458;0,104;44485792;1398;1650;1160
125;;44477372;8162;4466;;44469832;8159;12010;0,121;44485373;1538;1814;1275
126;;44476772;8577;4651;;44468846;8574;12581;0,129;44484913;1691;1995;1402
127;;44476067;9084;4849;;44467739;9080;13181;0,124;44484406;1859;2193;1542
128;;44475298;9577;5125;;44466611;9573;13817;0,126;44483850;2044;2411;1696
129;;44474581;10111;5308;;44465407;10106;14487;0,148;44483238;2247;2651;1864
130;;44473786;10898;5316;;44463914;10893;15195;0,077;44482564;2471;2915;2050
131;;44473149;10976;5875;;44463073;10971;15957;0,103;44481824;2717;3205;2254
132;;44472585;11338;6077;;44461944;11332;16725;0,132;44481011;2987;3524;2478
133;;44471681;12041;6278;;44460448;12034;17518;0,132;44480116;3284;3875;2725
134;;44470732;12789;6479;;44458859;12782;18361;0,133;44479132;3611;4261;2996
135;;44469803;13596;6601;;44457158;13588;19255;0,123;44478051;3970;4685;3295
136;;44468963;14317;6720;;44455487;14308;20206;0,131;44476862;4365;5151;3623
137;;44467980;15192;6828;;44453611;15182;21208;0,072;44475554;4800;5663;3983
138;;44467206;15221;7573;;44452520;15210;22271;0,096;44474117;5277;6227;4380
139;;44466380;15622;7998;;44451055;15611;23335;0,125;44472536;5802;6846;4815
140;;44465239;16476;8285;;44449110;16463;24428;0,118;44470799;6379;7528;5295
141;;44464013;17261;8726;;44447173;17247;25581;0,129;44468888;7014;8277;5822
142;;44462627;18276;9097;;44444953;18260;26788;0,123;44466788;7712;9100;6401
143;;44461236;19236;9528;;44442716;19219;28066;0,130;44464479;8479;10005;7038
144;;44459705;20397;9898;;44441062;19528;29411;0,000;44461940;9322;11001;7738
145;;;;;;44439396;19826;30778;0,085;44459148;10249;12095;8508
146;;;;;;44437722;20113;32166;0,084;44456080;11268;13298;9355
147;;;;;;44436039;20388;33574;0,083;44452706;12388;14621;10286
148;;;;;;44434350;20650;35001;0,082;44448997;13620;16075;11309
149;;;;;;44432655;20899;36447;0,081;44444919;14973;17674;12435
150;;;;;;44430957;21135;37910;0,081;44440436;16461;19431;13672
151;;;;;;44429255;21357;39389;0,080;44435508;18097;21363;15032
152;;;;;;44427552;21565;40884;0,079;44430091;19895;23487;16527
153;;;;;;44425849;21758;42394;0,078;44424135;21872;25822;18171
154;;;;;;44424147;21937;43917;0,078;44417589;24044;28389;19979
155;;;;;;44422447;22101;45452;0,077;44410393;26431;31210;21966
156;;;;;;44420752;22250;46999;0,076;44402483;29055;34312;24151
157;;;;;;44419060;22384;48557;0,075;44393788;31939;37721;26553
158;;;;;;44417376;22502;50124;0,075;44384231;35108;41468;29193
159;;;;;;44415698;22604;51699;0,074;44373727;38590;45587;32096
160;;;;;;44414029;22691;53281;0,073;44362183;42416;50114;35287
161;;;;;;44412369;22762;54870;0,073;44349496;46620;55089;38795
162;;;;;;44410720;22818;56463;0,072;44335553;51239;60557;42651
163;;;;;;44409083;22858;58060;0,071;44320231;56314;66566;46890
164;;;;;;44407458;22882;59660;0,071;44303394;61887;73169;51550
165;;;;;;44405848;22891;61262;0,070;44284894;68010;80425;56672
166;;;;;;44404252;22885;62864;0,069;44264568;74733;88397;62302
167;;;;;;44402672;22863;64466;0,069;44242238;82117;97156;68489
168;;;;;;44401108;22826;66067;0,068;44217708;90224;106778;75290
169;;;;;;44399562;22774;67665;0,067;44190763;99124;117349;82765
170;;;;;;44398034;22708;69259;0,067;44161168;108894;128959;90979
171;;;;;;44396525;22627;70848;0,066;44128667;119616;141711;100006
172;;;;;;44395036;22533;72432;0,065;44092979;131381;155714;109926
173;;;;;;44393567;22424;74009;0,065;44053796;144288;171091;120826
174;;;;;;44392119;22302;75579;0,064;44010782;158444;187972;132802
175;;;;;;44390693;22167;77140;0,063;43963570;173967;206503;145961
176;;;;;;44389289;22020;78692;0,063;43911760;190984;226841;160416
177;;;;;;44387908;21860;80233;0,062;43854913;209634;249159;176295
178;;;;;;44386550;21688;81764;0,062;43792555;230066;273645;193736
179;;;;;;44385215;21504;83282;0,061;43724166;252442;300503;212891
180;;;;;;44383904;21310;84787;0,061;43649181;276937;329956;233926
181;;;;;;44382617;21105;86279;0,060;43566989;303742;362246;257023
182;;;;;;44381355;20889;87756;0,059;43476923;333060;397638;282380
183;;;;;;44380118;20664;89218;0,059;43378262;365109;436415;310215
184;;;;;;44378906;20430;90665;0,058;43270225;400124;478888;340764
185;;;;;;44377719;20187;92095;0,058;43151969;438355;525390;374286
186;;;;;;44376557;19936;93508;0,057;43022584;480069;576284;411063
187;;;;;;44375421;19676;94904;0,057;42881092;525548;631958;451403
188;;;;;;44374310;19410;96281;0,056;42726440;575090;692831;495640
189;;;;;;44373225;19137;97640;0,056;42557503;629009;759350;544138
190;;;;;;44372165;18857;98979;0,055;42373079;687631;831998;597293
191;;;;;;44371130;18571;100299;0,054;42171886;751298;911284;655533
192;;;;;;44370121;18280;101599;0,054;41952566;820358;997754;719323
193;;;;;;44369138;17985;102879;0,053;41713685;895168;1091983;789165
194;;;;;;44368179;17684;104138;0,053;41453732;976087;1194577;865604
