date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,232
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;2965000;0;0;;0;0;0;0,000;0;0;0;0
2;;2965000;0;0;;0;0;0;0,000;0;0;0;0
3;;2965000;0;0;;0;0;0;0,000;0;0;0;0
4;;2965000;0;0;;0;0;0;0,000;0;0;0;0
5;;2965000;0;0;;0;0;0;0,000;0;0;0;0
6;;2965000;0;0;;0;0;0;0,000;0;0;0;0
7;;2965000;0;0;;0;0;0;0,000;0;0;0;0
8;;2965000;0;0;;0;0;0;0,000;0;0;0;0
9;;2965000;0;0;;0;0;0;0,000;0;0;0;0
10;;2965000;0;0;;0;0;0;0,000;0;0;0;0
11;;2965000;0;0;;0;0;0;0,000;0;0;0;0
12;;2965000;0;0;;0;0;0;0,000;0;0;0;0
13;;2965000;0;0;;0;0;0;0,000;0;0;0;0
14;;2965000;0;0;;0;0;0;0,000;0;0;0;0
15;;2965000;0;0;;0;0;0;0,000;0;0;0;0
16;;2965000;0;0;;0;0;0;0,000;0;0;0;0
17;;2965000;0;0;;0;0;0;0,000;0;0;0;0
18;;2965000;0;0;;0;0;0;0,000;0;0;0;0
19;;2965000;0;0;;0;0;0;0,000;0;0;0;0
20;;2965000;0;0;;0;0;0;0,000;0;0;0;0
21;;2965000;0;0;;0;0;0;0,000;0;0;0;0
22;;2965000;0;0;;0;0;0;0,000;0;0;0;0
23;;2965000;0;0;;0;0;0;0,000;0;0;0;0
24;;2965000;0;0;;0;0;0;0,000;0;0;0;0
25;;2965000;0;0;;0;0;0;0,000;0;0;0;0
26;;2965000;0;0;;0;0;0;0,000;0;0;0;0
27;;2965000;0;0;;0;0;0;0,000;0;0;0;0
28;;2965000;0;0;;0;0;0;0,000;0;0;0;0
29;;2965000;0;0;;0;0;0;0,000;0;0;0;0
30;;2965000;0;0;;0;0;0;0,000;0;0;0;0
31;;2965000;0;0;;0;0;0;0,000;0;0;0;0
32;;2965000;0;0;;0;0;0;0,000;0;0;0;0
33;;2965000;0;0;;0;0;0;0,000;0;0;0;0
34;;2965000;0;0;;0;0;0;0,000;0;0;0;0
35;;2965000;0;0;;0;0;0;0,000;0;0;0;0
36;;2965000;0;0;;0;0;0;0,000;0;0;0;0
37;;2965000;0;0;;0;0;0;0,000;0;0;0;0
38;;2965000;0;0;;0;0;0;0,000;0;0;0;0
39;;2965000;0;0;;0;0;0;0,000;0;0;0;0
40;;2964999;1;0;;2964999;1;0;0,070;2964999;0;1;0
41;;2964999;1;0;;2964999;1;0;0,070;2964999;0;1;0
42;;2964999;1;0;;2964999;1;0;0,070;2964999;0;1;0
43;;2964999;1;0;;2964999;1;0;0,070;2964999;1;1;0
44;;2964999;1;0;;2964999;1;0;0,070;2964999;1;1;0
45;;2964999;1;0;;2964999;1;0;0,070;2964998;1;1;0
46;;2964999;1;0;;2964999;1;0;0,070;2964998;1;1;0
47;;2964999;1;0;;2964999;1;0;0,070;2964998;1;1;1
48;;2964999;1;0;;2964999;1;1;0,070;2964997;1;1;1
