date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,249
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;9475000;0;0;;0;0;0;0,000;0;0;0;0
2;;9475000;0;0;;0;0;0;0,000;0;0;0;0
3;;9475000;0;0;;0;0;0;0,000;0;0;0;0
4;;9475000;0;0;;0;0;0;0,000;0;0;0;0
5;;9475000;0;0;;0;0;0;0,000;0;0;0;0
6;;9475000;0;0;;0;0;0;0,000;0;0;0;0
7;;9475000;0;0;;0;0;0;0,000;0;0;0;0
8;;9475000;0;0;;0;0;0;0,000;0;0;0;0
9;;9475000;0;0;;0;0;0;0,000;0;0;0;0
10;;9475000;0;0;;0;0;0;0,000;0;0;0;0
11;;9475000;0;0;;0;0;0;0,000;0;0;0;0
12;;9475000;0;0;;0;0;0;0,000;0;0;0;0
13;;9475000;0;0;;0;0;0;0,000;0;0;0;0
14;;9475000;0;0;;0;0;0;0,000;0;0;0;0
15;;9475000;0;0;;0;0;0;0,000;0;0;0;0
16;;9475000;0;0;;0;0;0;0,000;0;0;0;0
17;;9475000;0;0;;0;0;0;0,000;0;0;0;0
18;;9475000;0;0;;0;0;0;0,000;0;0;0;0
19;;9475000;0;0;;0;0;0;0,000;0;0;0;0
20;;9475000;0;0;;0;0;0;0,000;0;0;0;0
21;;9475000;0;0;;0;0;0;0,000;0;0;0;0
22;;9475000;0;0;;0;0;0;0,000;0;0;0;0
23;;9475000;0;0;;0;0;0;0,000;0;0;0;0
24;;9475000;0;0;;0;0;0;0,000;0;0;0;0
25;;9475000;0;0;;0;0;0;0,000;0;0;0;0
26;;9475000;0;0;;0;0;0;0,000;0;0;0;0
27;;9475000;0;0;;0;0;0;0,000;0;0;0;0
28;;9475000;0;0;;0;0;0;0,000;0;0;0;0
29;;9475000;0;0;;0;0;0;0,000;0;0;0;0
30;;9475000;0;0;;0;0;0;0,000;0;0;0;0
31;;9475000;0;0;;0;0;0;0,000;0;0;0;0
32;;9475000;0;0;;0;0;0;0,000;0;0;0;0
33;;9475000;0;0;;0;0;0;0,000;0;0;0;0
34;;9475000;0;0;;0;0;0;0,000;0;0;0;0
35;;9475000;0;0;;0;0;0;0,000;0;0;0;0
36;;9475000;0;0;;0;0;0;0,000;0;0;0;0
37;;9475000;0;0;;0;0;0;0,000;0;0;0;0
38;;9474999;1;0;;9474999;1;0;0,070;9474999;0;1;0
39;;9474999;1;0;;9474999;1;0;0,070;9474999;0;1;0
40;;9474999;1;0;;9474999;1;0;0,070;9474999;0;1;0
41;;9474999;1;0;;9474999;1;0;0,070;9474999;1;1;0
42;;9474999;1;0;;9474999;1;0;5,070;9474998;1;1;0
43;;9474994;6;0;;9474994;6;0;0,070;9474998;1;1;0
44;;9474994;6;0;;9474994;6;1;0,070;9474998;1;1;0
45;;9474994;6;0;;9474993;6;1;0,070;9474998;1;1;1
46;;9474994;6;0;;9474993;6;2;0,070;9474997;1;1;1
47;;9474994;6;0;;9474992;6;2;-0,097;9474997;1;2;1
48;;9474994;5;1;;9474993;5;2;0,270;9474997;1;2;1
49;;9474991;6;3;;9474991;6;3;0,070;9474996;2;2;1
50;;9474991;6;3;;9474991;6;3;0,570;9474996;2;2;1
51;;9474988;9;3;;9474988;9;4;1,737;9474995;2;2;1
52;;9474973;24;3;;9474972;24;4;0,070;9474995;2;3;1
53;;9474973;24;3;;9474970;24;6;0,070;9474994;2;3;2
54;;9474973;24;3;;9474969;24;8;0,445;9474993;3;3;2
55;;9474964;33;3;;9474958;33;9;0,070;9474992;3;3;2
56;;9474964;33;3;;9474956;33;12;0,464;9474992;3;4;2
57;;9474949;46;5;;9474940;46;14;0,070;9474991;3;4;2
58;;9474949;46;5;;9474937;46;17;0,461;9474990;4;4;3
59;;9474931;64;5;;9474916;64;20;0,023;9474989;4;5;3
60;;9474924;61;15;;9474914;61;25;0,070;9474987;4;5;3
61;;9474924;61;15;;9474910;61;29;0,037;9474986;5;6;4
62;;9474919;59;22;;9474908;59;33;0,070;9474985;5;6;4
63;;9474919;59;22;;9474904;59;38;0,036;9474983;6;7;5
64;;9474914;57;29;;9474902;57;42;0,070;9474981;6;8;5
65;;9474914;57;29;;9474898;57;46;0,158;9474979;7;8;6
66;;9474906;62;32;;9474889;62;50;0,070;9474977;8;9;6
67;;9474906;62;32;;9474884;62;54;0,070;9474975;9;10;7
68;;9474906;62;32;;9474880;62;58;1,005;9474972;9;11;8
69;;9474848;120;32;;9474818;120;63;-0,063;9474970;10;12;8
70;;9474848;104;48;;9474825;104;71;0,108;9474967;11;13;9
71;;9474837;108;55;;9474814;108;78;1,357;9474963;12;15;10
72;;9474696;247;57;;9474667;247;86;0,260;9474959;14;16;11
73;;9474649;294;57;;9474603;294;103;0,369;9474955;15;18;12
74;;9474560;382;58;;9474495;382;124;0,384;9474951;16;20;14
75;;9474438;502;60;;9474348;502;150;0,333;9474946;18;21;15
76;;9474300;634;66;;9474181;634;186;0,322;9474941;20;24;17
77;;9474139;794;67;;9473976;794;230;0,299;9474935;22;26;18
78;;9473934;976;90;;9473739;976;286;0,434;9474929;24;28;20
79;;9473514;1331;155;;9473315;1331;354;0,417;9474921;26;31;22
