date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,249
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;11350000;0;0;;0;0;0;0,000;0;0;0;0
2;;11350000;0;0;;0;0;0;0,000;0;0;0;0
3;;11350000;0;0;;0;0;0;0,000;0;0;0;0
4;;11350000;0;0;;0;0;0;0,000;0;0;0;0
5;;11350000;0;0;;0;0;0;0,000;0;0;0;0
6;;11350000;0;0;;0;0;0;0,000;0;0;0;0
7;;11350000;0;0;;0;0;0;0,000;0;0;0;0
8;;11350000;0;0;;0;0;0;0,000;0;0;0;0
9;;11350000;0;0;;0;0;0;0,000;0;0;0;0
10;;11350000;0;0;;0;0;0;0,000;0;0;0;0
11;;11350000;0;0;;0;0;0;0,000;0;0;0;0
12;;11350000;0;0;;0;0;0;0,000;0;0;0;0
13;;11350000;0;0;;0;0;0;0,000;0;0;0;0
14;;11350000;0;0;;0;0;0;0,000;0;0;0;0
15;;11350000;0;0;;0;0;0;0,000;0;0;0;0
16;;11350000;0;0;;0;0;0;0,000;0;0;0;0
17;;11350000;0;0;;0;0;0;0,000;0;0;0;0
18;;11350000;0;0;;0;0;0;0,000;0;0;0;0
19;;11350000;0;0;;0;0;0;0,000;0;0;0;0
20;;11350000;0;0;;0;0;0;0,000;0;0;0;0
21;;11350000;0;0;;0;0;0;0,000;0;0;0;0
22;;11350000;0;0;;0;0;0;0,000;0;0;0;0
23;;11350000;0;0;;0;0;0;0,000;0;0;0;0
24;;11350000;0;0;;0;0;0;0,000;0;0;0;0
25;;11350000;0;0;;0;0;0;0,000;0;0;0;0
26;;11350000;0;0;;0;0;0;0,000;0;0;0;0
27;;11350000;0;0;;0;0;0;0,000;0;0;0;0
28;;11350000;0;0;;0;0;0;0,000;0;0;0;0
29;;11350000;0;0;;0;0;0;0,000;0;0;0;0
30;;11350000;0;0;;0;0;0;0,000;0;0;0;0
31;;11350000;0;0;;0;0;0;0,000;0;0;0;0
32;;11350000;0;0;;0;0;0;0,000;0;0;0;0
33;;11350000;0;0;;0;0;0;0,000;0;0;0;0
34;;11350000;0;0;;0;0;0;0,000;0;0;0;0
35;;11350000;0;0;;0;0;0;0,000;0;0;0;0
36;;11350000;0;0;;0;0;0;0,000;0;0;0;0
37;;11350000;0;0;;0;0;0;0,000;0;0;0;0
38;;11350000;0;0;;0;0;0;0,000;0;0;0;0
39;;11350000;0;0;;0;0;0;0,000;0;0;0;0
40;;11350000;0;0;;0;0;0;0,000;0;0;0;0
41;;11350000;0;0;;0;0;0;0,000;0;0;0;0
42;;11350000;0;0;;0;0;0;0,000;0;0;0;0
43;;11350000;0;0;;0;0;0;0,000;0;0;0;0
44;;11350000;0;0;;0;0;0;0,000;0;0;0;0
45;;11350000;0;0;;0;0;0;0,000;0;0;0;0
46;;11350000;0;0;;0;0;0;0,000;0;0;0;0
47;;11350000;0;0;;0;0;0;0,000;0;0;0;0
48;;11350000;0;0;;0;0;0;0,000;0;0;0;0
49;;11350000;0;0;;0;0;0;0,000;0;0;0;0
50;;11349998;2;0;;11349998;2;0;0,070;11349998;0;2;0
51;;11349998;2;0;;11349998;2;0;0,570;11349998;0;2;0
52;;11349997;3;0;;11349997;3;0;2,403;11349997;1;2;0
53;;11349990;10;0;;11349990;10;0;0,070;11349997;1;2;0
54;;11349990;10;0;;11349989;10;1;0,170;11349996;1;2;1
55;;11349989;11;0;;11349987;11;2;0,070;11349996;2;2;1
56;;11349989;11;0;;11349986;11;3;0,161;11349995;2;2;1
57;;11349988;12;0;;11349985;12;3;0,070;11349995;2;2;1
58;;11349988;12;0;;11349984;12;4;0,320;11349994;2;3;1
59;;11349985;15;0;;11349980;15;5;0,337;11349993;2;3;1
60;;11349981;19;0;;11349975;19;6;0,333;11349993;3;3;2
61;;11349976;24;0;;11349969;24;7;0,195;11349992;3;4;2
62;;11349973;27;0;;11349964;27;9;0,144;11349991;3;4;2
63;;11349971;29;0;;11349960;29;11;0,173;11349990;4;4;2
64;;11349968;32;0;;11349955;32;13;0,414;11349989;4;5;3
65;;11349957;43;0;;11349942;43;15;0,489;11349988;4;5;3
66;;11349939;61;0;;11349921;61;18;0,283;11349986;5;6;3
67;;11349926;74;0;;11349903;74;23;0,151;11349985;5;6;4
68;;11349919;80;1;;11349892;80;28;0,233;11349983;6;7;4
69;;11349903;93;4;;11349874;93;33;0,156;11349982;6;7;5
70;;11349893;101;6;;11349859;101;40;0,129;11349980;7;8;5
71;;11349885;107;8;;11349846;107;47;0,135;11349978;8;9;6
72;;11349877;114;9;;11349832;114;54;0,140;11349976;8;10;6
73;;11349868;122;10;;11349816;122;62;0,119;11349973;9;11;7
74;;11349861;128;11;;11349801;128;71;0,203;11349970;10;12;8
75;;11349843;145;12;;11349775;145;80;0,242;11349967;11;13;9
76;;11349817;170;13;;11349740;170;90;0,117;11349964;12;14;10
77;;11349806;178;16;;11349720;178;102;0,154;11349961;13;16;11
78;;11349790;193;17;;11349693;193;114;0,334;11349957;14;17;12
79;;11349736;244;20;;11349628;244;128;0,082;11349953;16;19;13
80;;11349732;247;21;;11349608;247;145;0,094;11349948;17;21;14
81;;11349725;253;22;;11349585;253;162;0,153;11349943;19;23;16
82;;11349700;274;26;;11349546;274;180;0,169;11349937;21;25;17
83;;11349670;301;29;;11349500;301;199;0,133;11349931;23;27;19
84;;11349646;320;34;;11349460;320;220;0,201;11349924;25;30;21
