date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;4,632
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;216552469;0;0;;0;0;0;0,000;0;0;0;0
2;;216552469;0;0;;0;0;0;0,000;0;0;0;0
3;;216552469;0;0;;0;0;0;0,000;0;0;0;0
4;;216552469;0;0;;0;0;0;0,000;0;0;0;0
5;;216552469;0;0;;0;0;0;0,000;0;0;0;0
6;;216552469;0;0;;0;0;0;0,000;0;0;0;0
7;;216552469;0;0;;0;0;0;0,000;0;0;0;0
8;;216552469;0;0;;0;0;0;0,000;0;0;0;0
9;;216552469;0;0;;0;0;0;0,000;0;0;0;0
10;;216552469;0;0;;0;0;0;0,000;0;0;0;0
11;;216552469;0;0;;0;0;0;0,000;0;0;0;0
12;;216552469;0;0;;0;0;0;0,000;0;0;0;0
13;;216552469;0;0;;0;0;0;0,000;0;0;0;0
14;;216552469;0;0;;0;0;0;0,000;0;0;0;0
15;;216552469;0;0;;0;0;0;0,000;0;0;0;0
16;;216552469;0;0;;0;0;0;0,000;0;0;0;0
17;;216552469;0;0;;0;0;0;0,000;0;0;0;0
18;;216552469;0;0;;0;0;0;0,000;0;0;0;0
19;;216552469;0;0;;0;0;0;0,000;0;0;0;0
20;;216552469;0;0;;0;0;0;0,000;0;0;0;0
21;;216552469;0;0;;0;0;0;0,000;0;0;0;0
22;;216552469;0;0;;0;0;0;0,000;0;0;0;0
23;;216552469;0;0;;0;0;0;0,000;0;0;0;0
24;;216552469;0;0;;0;0;0;0,000;0;0;0;0
25;;216552469;0;0;;0;0;0;0,000;0;0;0;0
26;;216552469;0;0;;0;0;0;0,000;0;0;0;0
27;;216552469;0;0;;0;0;0;0,000;0;0;0;0
28;;216552469;0;0;;0;0;0;0,000;0;0;0;0
29;;216552469;0;0;;0;0;0;0,000;0;0;0;0
30;;216552469;0;0;;0;0;0;0,000;0;0;0;0
31;;216552469;0;0;;0;0;0;0,000;0;0;0;0
32;;216552469;0;0;;0;0;0;0,000;0;0;0;0
33;;216552469;0;0;;0;0;0;0,000;0;0;0;0
34;;216552469;0;0;;0;0;0;0,000;0;0;0;0
35;;216552469;0;0;;0;0;0;0,000;0;0;0;0
36;;216552468;1;0;;216552464;1;0;0,070;216552468;0;1;0
37;;216552468;1;0;;216552464;1;0;0,070;216552463;5;1;0
38;;216552468;1;0;;216552464;1;0;1,070;216552459;8;2;0
39;;216552467;2;0;;216552463;2;0;0,070;216552451;15;3;0
40;;216552467;2;0;;216552463;2;0;0,070;216552436;27;6;0
41;;216552467;2;0;;216552463;2;0;0,070;216552408;49;11;1
42;;216552467;2;0;;216552462;2;1;1,070;216552357;90;20;2
43;;216552465;4;0;;216552460;4;1;0,070;216552265;165;37;3
44;;216552465;4;0;;216552460;4;1;2,320;216552095;301;67;6
45;;216552456;13;0;;216552451;13;1;0,070;216551784;552;123;10
46;;216552456;13;0;;216552450;13;2;0,608;216551216;1009;224;19
47;;216552449;20;0;;216552442;20;3;0,320;216550177;1847;411;35
48;;216552444;25;0;;216552435;25;5;0,310;216548276;3379;751;63
49;;216552438;31;0;;216552428;31;6;0,296;216544797;6182;1374;116
50;;216552431;38;0;;216552419;38;8;0,438;216538432;11310;2514;212
51;;216552417;52;0;;216552402;52;11;1,974;216526788;20693;4600;388
52;;216552318;151;0;;216552299;151;15;0,070;216505483;37859;8417;710
53;;216552318;151;0;;216552289;151;25;0,143;216466508;69262;15399;1299
54;;216552307;162;0;;216552267;162;36;0,298;216395212;126706;28174;2377
55;;216552269;199;1;;216552219;199;47;0,668;216264816;231760;51543;4349
56;;216552148;318;3;;216552086;318;61;0,224;216026407;423818;94287;7957
57;;216552097;367;5;;216552015;367;83;0,740;215590768;774693;172450;14558
58;;216551848;613;8;;216551743;613;109;0,342;214795593;1414929;315318;26629
59;;216551676;780;13;;216551533;780;152;0,357;213347016;2580520;576231;48701
60;;216551448;1004;17;;216551254;1004;207;0,583;210717649;4693783;1051999;89038
61;;216550923;1519;27;;216550669;1519;277;0,313;205976494;8496182;1917116;162677
62;;216550545;1888;36;;216550194;1888;383;0,235;197530827;15242612;3482154;296876
63;;216550222;2199;48;;216549751;2199;515;0,204;182819536;26905381;6286926;540626
64;;216549915;2493;61;;216549303;2493;669;0,234;158236878;46106962;11227917;980711
65;;216549484;2902;83;;216548719;2902;844;0,214;120237647;74884802;19663355;1766665
66;;216549052;3319;98;;216548099;3319;1047;0,211;69670786;110474702;33263881;3143100
67;;216548565;3787;117;;216547399;3787;1279;0,156;20103913;137946635;53030350;5471572
68;;216548213;4114;142;;216546807;4114;1544;0,115;-2698089;133159309;76907552;9183696
69;;216547890;4300;279;;216546333;4300;1832;0,323;1739971;102089388;98155885;14567225
70;;216546752;5389;328;;216544943;5389;2133;0,270;-1912832;85324313;111702851;21438137
71;;216545633;6469;367;;216543485;6469;2511;0,244;2657092;63689526;120948514;29257337
72;;216544425;7593;451;;216541909;7593;2963;0,199;-4216363;57825076;125220023;37723733
73;;216543413;8570;486;;216540400;8570;3495;0,212;7075866;34967833;128019637;46489134
74;;216542109;9788;572;;216538582;9788;4095;0,144;-12298349;47348480;126051829;55450509
75;;216541339;10517;613;;216537168;10517;4780;0,161;20857784;4722651;126697897;64274137
76;;216540308;11470;691;;216535479;11470;5516;0,223;-35662649;60298555;118773574;73142990
77;;216538435;13221;813;;216532925;13221;6319;0,222;54931746;-42355551;122519135;81457140
78;;216536299;15224;946;;216529997;15224;7244;0,185;-89012799;110060103;105471685;90033479
79;;216534377;16969;1123;;216527186;16968;8310;0,155;111783754;-112748470;120100688;97416497
80;;216532831;18408;1230;;216524560;18407;9498;0,126;-175355183;196940161;89143946;105823545
81;;216531742;19430;1297;;216522249;19429;10786;0,140;158977146;-176780200;122291902;112063621
82;;216530277;20796;1396;;216519524;20795;12146;0,124;-256838015;274391001;78375429;120624055
83;;216529039;21929;1501;;216516935;21928;13602;0,013;173695673;-211020888;127767349;126110335
84;;216527207;20684;4578;;216516645;20683;15137;-0,323;-300957949;305836912;76619457;135054049
85;;216524149;12558;15762;;216523323;12558;16585;0,223;192230385;-248518805;132423477;140417411
86;;216522044;14475;15950;;216520527;14475;17464;0,280;-352215781;345631123;73450073;149687054
87;;216518787;17515;16167;;216516473;17514;18477;0,228;201094760;-276805643;137434792;154828560
88;;216515811;20278;16380;;216512485;20277;19703;-0,237;-390011243;369661488;72453228;164448995
89;;216513815;14062;24592;;216517281;14062;21123;0,210;214358561;-308640613;141313800;169520721
90;;216511726;16026;24717;;216514333;16026;22107;0,152;-433519564;400965635;69693711;179412687
91;;216509390;17347;25732;;216511890;17347;23229;0,081;212685288;-325432344;145008278;184291247
92;;216506712;17533;28224;;216510490;17533;24443;0,218;-446941279;399280692;69771230;194441826
93;;216502433;20132;29904;;216506663;20132;25670;0,197;220011015;-347527740;144743382;199325812
94;;216498426;22684;31359;;216502702;22684;27079;0,221;-461089253;403078075;65105798;209457849
95;;216493145;26107;33217;;216497691;26107;28667;0,168;180966233;-319593025;141164007;214015255
96;;216489369;28662;34438;;216493309;28662;30495;0,176;-365407056;290698868;67363921;223896735
97;;216485023;31701;35745;;216488263;31701;32501;0,193;161061189;-293909150;120788220;228612210
98;;216479234;35608;37627;;216482137;35608;34720;0,195;-255025089;180958958;53551215;237067385
99;;216472784;40040;39645;;216475212;40040;37213;0,200;37067247;-147325170;85994421;240815970
100;;216465282;45246;41941;;216467204;45246;40015;0,125;-31108287;-49684602;50509778;246835580
101;;216460267;47751;44451;;216461531;47751;43183;0,105;2497917;-73353886;37037173;250371264
102;;216455369;49402;47698;;216456538;49402;46525;0,118;519200;-56704391;19773794;252963866
103;;216450643;51784;50042;;216450698;51784;49983;0,141;299620;-45143933;7048750;254348032
104;;216443849;55438;53182;;216443419;55438;53608;0,140;254450;-36069976;-2473449;254841445
105;;216437014;59296;56159;;216435680;59296;57489;0,194;267911;-28869442;-9514303;254668303
106;;216425858;66653;59958;;216424172;66653;61640;0,139;322428;-23150071;-14622190;254002302
107;;216416696;71233;64540;;216414927;71233;66305;0,159;423264;-18620892;-18228651;252978749
108;;216405575;77580;69314;;216403594;77580;71292;0,149;588282;-15061733;-20676824;251702743
109;;216396408;83720;72341;;216392023;83720;76722;0,105;848441;-12309544;-22241793;250255365
110;;216389770;86619;76080;;216383264;86619;82583;0,116;1252048;-10251243;-23146776;248698440
111;;216382875;90557;79037;;216373263;90556;88646;0,099;1871888;-8820834;-23576750;247078166
112;;216374255;93156;85058;;216364325;93155;94985;0,127;2815800;-8000580;-23690545;245427793
113;;216362332;98473;91664;;216352488;98471;101506;0,184;4242540;-7827203;-23632322;243769455
114;;216349304;109687;93478;;216334382;109684;108399;0,167;6386912;-8406135;-23543501;242115192
115;;216332178;120359;99932;;216316034;120355;116077;0,135;9603015;-9941011;-23576683;240467147
116;;216318958;128177;105334;;216299793;128171;124501;0,091;14445388;-12795181;-23914517;238816780
117;;216311389;130840;110240;;216288159;130833;133473;0,125;21833930;-17624687;-24799537;237142763
118;;216297101;138056;117312;;216271787;138047;142632;0,136;33414859;-25680679;-26588507;235406796
119;;216280584;147108;124777;;216253074;147096;152295;0,131;52416955;-39546639;-29863447;233545600
120;;216260890;156037;135542;;216233851;156022;162592;0,122;85896507;-65116863;-35682334;231455159
121;;216242382;164080;146007;;216214890;164062;173513;0,133;151450125;-117647109;-46207943;228957396
122;;216221579;174412;156478;;216193078;174390;184998;0,118;301126818;-243794380;-66502809;225722840
123;;216205071;182798;164600;;216172488;182772;197205;0,113;729435965;-623344651;-110606488;221067643
124;;216189258;190634;172577;;216151862;190604;209999;0,107;2455018307;-2224258063;-227532964;213325189
125;;216177571;197592;177306;;216131567;197557;223341;0,123;14402241380;-13726629524;-656457269;197397881
126;;216161247;208117;183105;;216107220;208075;237170;0,125;216613108388;-213192170626;-3355831165;151445873
127;;216140648;219576;192245;;216081204;219525;251735;0,135;15763833190633;-15717773818746;-45759357109;-83462309
128;;216114231;233880;204358;;216051545;233818;267102;0,130;15443765130217134;-15440575516081498;-3186110965860;-3286617307
129;;216087303;247812;217354;;216021258;247737;283469;0,155;1052418227331267690496;-1052415136026550337536;-3091078186414550;-226314384917
130;;216054029;268714;229726;;215983033;268621;300811;0,108;69577093823613896428479315968;-69577093613127779657459957760;-210485901908023443456;-216601787433935
131;;216037620;278980;235869;;215953976;278874;319614;0,093;313225571449059048438212886225469885644800;-313225571449045121612770925697377270497280;-13915418918377445033150251008;-14734229735349075968
132;;216026022;285430;241017;;215928018;285312;339136;0,123;inf;-inf;-62645114289821964664527340130161509007360;-974079339020650954734174208
133;;215997086;300546;254837;;215892952;300406;359108;0,111;inf;-nan(ind);-inf;-4385158000288511678942359277300283867136
134;;215968453;312851;271165;;215859640;312689;380136;0,112;inf;-nan(ind);-nan(ind);-inf
135;;215937528;325957;288984;;215824670;325770;402024;0,125;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
136;;215906698;343805;301966;;215784050;343587;424828;0,117;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
137;;215879623;359767;313079;;215744070;359516;448879;0,103;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
138;;215860711;371351;320407;;215707351;371069;474045;-0,144;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
139;;215845057;292021;415391;;215760608;291837;500020;0,113;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
140;;215812966;304360;435143;;215727861;304155;520449;0,118;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
141;;215780053;318820;453596;;215692134;318592;541740;0,112;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
142;;215749641;331944;470884;;215656732;331692;564041;0,100;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
143;;215723659;341859;486951;;215623621;341585;587259;0,089;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
144;;215701955;348358;502156;;215588722;352573;611170;0,000;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
145;;;;;;215553040;363575;635850;0,101;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
