date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,054
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;50411602;0;0;;0;0;0;0,000;0;0;0;0
2;;50411602;0;0;;0;0;0;0,000;0;0;0;0
3;;50411602;0;0;;0;0;0;0,000;0;0;0;0
4;;50411602;0;0;;0;0;0;0,000;0;0;0;0
5;;50411602;0;0;;0;0;0;0,000;0;0;0;0
6;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
7;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
8;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
9;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
10;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
11;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
12;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
13;;50411601;1;0;;50411600;1;0;0,070;50411601;0;1;0
14;;50411601;1;0;;50411599;1;1;0,070;50411601;0;1;1
15;;50411601;1;0;;50411599;1;1;0,070;50411601;0;1;1
16;;50411601;1;0;;50411599;1;1;0,070;50411601;0;1;1
17;;50411601;1;0;;50411599;1;1;0,070;50411601;0;1;1
18;;50411601;1;0;;50411599;1;1;0,070;50411601;0;1;1
19;;50411601;1;0;;50411599;1;1;0,070;50411601;0;1;1
20;;50411601;1;0;;50411599;1;1;0,070;50411601;0;1;1
21;;50411601;1;0;;50411599;1;1;-0,930;50411601;0;1;1
22;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;1
23;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;1
24;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;1
25;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;1
26;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;1
27;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;1
28;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;2
29;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;2
30;;50411601;0;1;;50411600;-0;1;0,000;50411601;0;1;2
31;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
32;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
33;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
34;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
35;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
36;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
37;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
38;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
39;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
40;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
41;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
42;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
43;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
44;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
45;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;2
46;;50411601;0;1;;50411600;-0;1;0,000;50411600;0;1;3
47;;50411600;1;1;;50411600;1;1;0,070;50411600;0;1;3
48;;50411600;1;1;;50411600;1;1;0,070;50411600;0;1;3
49;;50411600;1;1;;50411600;1;1;1,070;50411600;0;1;3
50;;50411599;2;1;;50411599;2;1;0,070;50411599;0;2;3
51;;50411599;2;1;;50411599;2;1;1,070;50411599;0;2;3
52;;50411597;4;1;;50411597;4;2;0,570;50411599;0;2;3
53;;50411595;6;1;;50411594;6;2;0,070;50411599;0;2;3
54;;50411595;6;1;;50411594;6;2;0,070;50411599;0;2;3
55;;50411595;6;1;;50411593;6;3;4,403;50411599;0;2;3
56;;50411569;32;1;;50411567;32;3;0,133;50411598;0;2;4
57;;50411567;34;1;;50411563;34;5;0,129;50411598;0;2;4
58;;50411565;36;1;;50411558;36;8;0,459;50411598;0;2;4
59;;50411551;50;1;;50411542;50;10;0,110;50411598;0;2;4
60;;50411549;52;1;;50411536;52;14;0,647;50411598;0;2;4
61;;50411518;82;2;;50411503;82;17;0,107;50411598;0;2;4
62;;50411515;85;2;;50411494;85;23;0,094;50411598;0;1;4
63;;50411511;87;4;;50411486;87;29;0,059;50411598;0;1;4
64;;50411506;86;10;;50411481;86;35;0,070;50411598;0;1;4
65;;50411506;86;10;;50411475;86;41;0,093;50411598;0;1;5
66;;50411503;88;11;;50411467;88;47;0,047;50411598;0;1;5
67;;50411503;86;13;;50411463;86;53;0,023;50411598;0;1;5
68;;50411499;82;21;;50411461;82;59;0,119;50411597;0;1;5
69;;50411495;86;21;;50411451;86;65;0,070;50411597;0;1;5
70;;50411493;86;23;;50411445;86;71;0,047;50411597;0;1;5
71;;50411493;84;25;;50411441;84;77;-0,025;50411597;0;1;5
72;;50411492;76;34;;50411443;76;83;0,109;50411597;0;1;5
73;;50411488;79;35;;50411435;79;88;-0,120;50411597;0;1;5
74;;50411488;64;50;;50411444;64;94;0,070;50411597;0;1;5
75;;50411488;64;50;;50411440;64;98;0,023;50411597;0;1;5
76;;50411488;61;53;;50411438;61;103;0,004;50411597;0;1;6
77;;50411487;57;58;;50411438;57;107;0,017;50411597;0;1;6
78;;50411485;54;63;;50411437;54;111;0,126;50411597;0;1;6
79;;50411483;57;62;;50411430;57;115;-0,105;50411597;0;1;6
80;;50411483;47;72;;50411436;47;119;0,027;50411597;0;1;6
81;;50411482;45;75;;50411435;45;122;0,070;50411597;0;1;6
82;;50411480;45;77;;50411432;45;125;0,070;50411596;0;1;6
83;;50411480;45;77;;50411429;45;129;-0,241;50411596;0;1;6
84;;50411480;31;91;;50411439;31;132;-0,091;50411596;0;1;6
85;;50411480;26;96;;50411442;26;134;-0,007;50411596;0;1;6
86;;50411480;24;98;;50411442;24;136;0,070;50411596;0;1;6
87;;50411480;24;98;;50411441;24;137;-0,138;50411596;0;1;6
88;;50411480;19;103;;50411444;19;139;-0,035;50411596;0;1;7
89;;50411480;17;105;;50411445;17;140;-0,048;50411596;0;1;7
90;;50411480;15;107;;50411446;15;142;-0,130;50411596;0;1;7
91;;50411480;12;110;;50411448;12;143;0,070;50411596;0;1;7
92;;50411480;12;110;;50411447;12;143;0,070;50411596;0;1;7
93;;50411480;12;110;;50411446;12;144;-0,513;50411596;0;1;7
94;;50411480;5;117;;50411452;5;145;0,070;50411480;0;5;7
95;;50411480;5;117;;50411452;5;145;0,070;50411480;0;5;7
96;;50411480;5;117;;50411451;5;146;-0,330;50411479;1;4;8
97;;50411480;3;119;;50411453;3;146;0,070;50411479;1;4;8
98;;50411480;3;119;;50411453;3;146;0,070;50411479;1;4;8
99;;50411480;3;119;;50411453;3;147;0,070;50411479;1;4;9
100;;50411480;3;119;;50411452;3;147;-0,263;50411479;1;4;9
101;;50411480;2;120;;50411453;2;147;0,070;50411478;1;4;9
102;;50411480;2;120;;50411453;2;147;0,070;50411478;1;4;9
103;;50411480;2;120;;50411453;2;147;0,070;50411478;1;4;10
104;;50411480;2;120;;50411453;2;147;0,070;50411478;1;4;10
105;;50411480;2;120;;50411453;2;148;0,070;50411478;1;4;10
106;;50411480;2;120;;50411452;2;148;0,070;50411477;1;4;10
107;;50411480;2;120;;50411452;2;148;0,070;50411477;1;3;11
108;;50411480;2;120;;50411452;2;148;0,070;50411477;1;3;11
109;;50411480;2;120;;50411452;2;148;0,070;50411477;1;3;11
110;;50411480;2;120;;50411452;2;148;-0,430;50411477;1;3;11
111;;50411480;1;121;;50411453;1;148;0,070;50411476;1;3;12
112;;50411480;1;121;;50411453;1;148;0,070;50411476;1;3;12
113;;50411480;1;121;;50411453;1;149;0,070;50411476;1;3;12
114;;50411480;1;121;;50411453;1;149;-0,930;50411476;1;3;12
115;;50411480;0;122;;50411453;0;149;0,000;50411476;1;3;13
116;;50411480;0;122;;50411453;0;149;0,000;50411476;1;3;13
117;;50411480;0;122;;50411453;0;149;0,000;50411475;1;3;13
118;;50411480;0;122;;50411453;0;149;0,000;50411475;1;3;13
119;;50411480;0;122;;50411453;0;149;0,000;50411475;1;3;13
120;;50411480;0;122;;50411453;0;149;0,000;50411475;1;3;14
121;;50411479;1;122;;50411479;1;149;0,070;50411475;1;3;14
122;;50411479;1;122;;50411479;1;149;1,070;50411475;1;3;14
123;;50411478;2;122;;50411478;2;149;0,070;50411474;1;3;14
124;;50411478;2;122;;50411478;2;149;0,070;50411474;1;3;14
125;;50411478;2;122;;50411478;2;149;0,070;50411474;1;3;15
126;;50411478;2;122;;50411477;2;149;0,070;50411474;1;3;15
127;;50411478;2;122;;50411477;2;149;0,070;50411474;1;3;15
128;;50411478;2;122;;50411477;2;150;0,070;50411474;1;3;15
129;;50411478;2;122;;50411477;2;150;0,070;50411474;1;3;15
130;;50411477;2;123;;50411477;2;150;0,070;50411473;1;3;16
131;;50411477;2;123;;50411477;2;150;0,070;50411473;1;3;16
132;;50411477;2;123;;50411477;2;150;0,070;50411473;1;3;16
133;;50411477;2;123;;50411476;2;150;0,070;50411473;1;2;16
134;;50411477;2;123;;50411476;2;150;0,070;50411473;1;2;16
135;;50411477;2;123;;50411476;2;150;0,070;50411473;1;2;16
136;;50411477;2;123;;50411476;2;151;0,070;50411473;1;2;17
137;;50411477;2;123;;50411476;2;151;0,570;50411472;1;2;17
138;;50411476;3;123;;50411475;3;151;0,070;50411472;1;2;17
139;;50411476;3;123;;50411475;3;151;-0,597;50411472;1;2;17
140;;50411476;1;125;;50411476;1;151;0,070;50411472;1;2;17
141;;50411476;1;125;;50411476;1;151;0,070;50411472;1;2;17
142;;50411476;1;125;;50411476;1;151;0,070;50411472;1;2;18
143;;50411476;1;125;;50411476;1;152;2,070;50411472;1;2;18
144;;50411474;3;125;;50411476;1;152;0,000;50411472;1;2;18
145;;;;;;50411476;1;152;0,088;50411472;1;2;18
146;;;;;;50411476;1;152;0,088;50411471;1;2;18
147;;;;;;50411475;1;152;0,088;50411471;1;2;18
148;;;;;;50411475;1;152;0,088;50411471;1;2;18
149;;;;;;50411475;1;152;0,088;50411471;1;2;19
150;;;;;;50411475;1;152;0,088;50411471;1;2;19
151;;;;;;50411475;1;152;0,088;50411471;1;2;19
152;;;;;;50411475;1;152;0,088;50411471;1;2;19
153;;;;;;50411475;1;152;0,088;50411471;1;2;19
154;;;;;;50411475;1;152;0,088;50411471;1;2;19
155;;;;;;50411475;1;152;0,088;50411470;1;2;19
156;;;;;;50411475;1;153;0,088;50411470;1;2;20
157;;;;;;50411474;1;153;0,088;50411470;1;2;20
158;;;;;;50411474;1;153;0,088;50411470;1;2;20
159;;;;;;50411474;1;153;0,088;50411470;1;2;20
160;;;;;;50411474;1;153;0,088;50411470;1;2;20
161;;;;;;50411474;1;153;0,088;50411470;1;2;20
162;;;;;;50411474;1;153;0,088;50411470;0;2;20
163;;;;;;50411474;1;153;0,088;50411470;0;2;20
