date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,192
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;37590000;0;0;;0;0;0;0,000;0;0;0;0
2;;37590000;0;0;;0;0;0;0,000;0;0;0;0
3;;37590000;0;0;;0;0;0;0,000;0;0;0;0
4;;37590000;0;0;;0;0;0;0,000;0;0;0;0
5;;37589999;1;0;;37590000;1;0;0,070;37589999;0;1;0
6;;37589999;1;0;;37590000;1;0;1,070;37589999;0;1;0
7;;37589998;2;0;;37589999;2;0;0,070;37589998;0;2;0
8;;37589998;2;0;;37589999;2;0;0,570;37589998;1;2;0
9;;37589997;3;0;;37589998;3;0;0,070;37589997;1;2;0
10;;37589997;3;0;;37589997;3;1;0,403;37589997;1;2;1
11;;37589996;4;0;;37589996;4;1;0,070;37589996;1;2;1
12;;37589996;4;0;;37589996;4;1;0,070;37589996;1;2;1
13;;37589996;4;0;;37589996;4;1;0,070;37589996;2;2;1
14;;37589996;4;0;;37589995;4;2;0,320;37589995;2;2;1
15;;37589995;5;0;;37589994;5;2;0,070;37589995;2;3;1
16;;37589995;5;0;;37589994;5;2;0,470;37589994;2;3;1
17;;37589993;7;0;;37589991;7;3;0,070;37589994;2;3;2
18;;37589993;7;0;;37589991;7;3;0,070;37589993;2;3;2
19;;37589993;7;0;;37589990;7;4;0,070;37589993;2;3;2
20;;37589993;7;0;;37589990;7;4;0,070;37589992;3;4;2
21;;37589993;7;0;;37589989;7;5;-0,073;37589991;3;4;3
22;;37589993;6;1;;37589990;6;5;0,070;37589990;3;4;3
23;;37589993;6;1;;37589989;6;6;0,070;37589990;3;4;3
24;;37589993;6;1;;37589989;6;6;0,070;37589989;3;5;3
25;;37589993;6;1;;37589989;6;6;0,070;37589988;4;5;4
26;;37589993;6;1;;37589988;6;7;0,237;37589987;4;5;4
27;;37589992;7;1;;37589987;7;7;0,070;37589986;4;6;5
28;;37589992;7;1;;37589986;7;8;0,070;37589985;4;6;5
29;;37589992;7;1;;37589986;7;8;0,070;37589984;5;7;5
30;;37589992;7;1;;37589985;7;9;-0,073;37589982;5;7;6
