date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,053
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;2147483100;502;45;;2147483136;502;45;0,247;2147483100;0;502;45
2;;2147483008;591;48;;2147483012;591;80;0,515;2147483073;27;467;80
3;;2147482731;854;62;;2147482707;854;122;0,613;2147483049;46;440;113
4;;2147482248;1318;81;;2147482184;1318;181;0,555;2147483025;60;418;144
5;;2147481585;1957;105;;2147481452;1957;274;0,461;2147483003;70;401;173
6;;2147480784;2723;140;;2147480549;2723;411;1,002;2147482982;77;387;201
7;;2147478153;5262;232;;2147477820;5262;601;0,175;2147482961;82;375;228
8;;2147477577;5817;253;;2147476897;5817;969;0,414;2147482942;86;365;254
9;;2147475523;7818;306;;2147474488;7818;1377;0,267;2147482922;88;357;280
10;;2147473864;9356;427;;2147472403;9356;1924;0,282;2147482903;89;350;305
11;;2147471776;11337;534;;2147469767;11337;2579;0,462;2147482885;90;343;329
12;;2147467040;15783;824;;2147464528;15783;3372;0,252;2147482867;90;337;353
13;;2147463954;18654;1039;;2147460552;18654;4477;0,268;2147482849;90;331;377
14;;2147459967;22347;1333;;2147455553;22347;5783;0,221;2147482831;90;326;400
15;;2147456238;25732;1677;;2147450604;25732;7347;0,175;2147482814;89;321;423
16;;2147453094;28445;2108;;2147446089;28445;9149;0,172;2147482797;88;317;445
17;;2147449572;31360;2715;;2147441183;31360;11140;0,134;2147482780;87;312;468
18;;2147446869;33379;3399;;2147436969;33379;13335;0,139;2147482764;86;308;489
19;;2147443857;35668;4122;;2147432344;35668;15671;0,118;2147482747;85;303;511
20;;2147441341;37378;4928;;2147428137;37378;18168;0,102;2147482731;84;299;532
21;;2147439320;38581;5746;;2147424318;38581;20785;0,068;2147482715;83;295;553
22;;2147438948;38504;6195;;2147421694;38504;23485;0,427;2147482700;82;291;574
23;;2147423815;52251;7581;;2147405252;52251;26181;0,157;2147482684;81;287;594
24;;2147417355;56799;9493;;2147397046;56798;29838;0,080;2147482669;80;283;614
25;;2147415300;57391;10956;;2147392479;57390;33814;0,079;2147482654;79;280;634
26;;2147413201;57933;12513;;2147387919;57932;37831;0,072;2147482639;78;276;654
27;;2147411283;58046;14318;;2147383751;58045;41887;0,068;2147482625;77;272;673
28;;2147409508;57938;16201;;2147379796;57937;45950;0,045;2147482610;76;269;692
