date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,123
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;10650000;0;0;;0;0;0;0,000;0;0;0;0
2;;10650000;0;0;;0;0;0;0,000;0;0;0;0
3;;10650000;0;0;;0;0;0;0,000;0;0;0;0
4;;10650000;0;0;;0;0;0;0,000;0;0;0;0
5;;10650000;0;0;;0;0;0;0,000;0;0;0;0
6;;10650000;0;0;;0;0;0;0,000;0;0;0;0
7;;10650000;0;0;;0;0;0;0,000;0;0;0;0
8;;10650000;0;0;;0;0;0;0,000;0;0;0;0
9;;10650000;0;0;;0;0;0;0,000;0;0;0;0
10;;10650000;0;0;;0;0;0;0,000;0;0;0;0
11;;10650000;0;0;;0;0;0;0,000;0;0;0;0
12;;10650000;0;0;;0;0;0;0,000;0;0;0;0
13;;10650000;0;0;;0;0;0;0,000;0;0;0;0
14;;10650000;0;0;;0;0;0;0,000;0;0;0;0
15;;10650000;0;0;;0;0;0;0,000;0;0;0;0
16;;10650000;0;0;;0;0;0;0,000;0;0;0;0
17;;10650000;0;0;;0;0;0;0,000;0;0;0;0
18;;10650000;0;0;;0;0;0;0,000;0;0;0;0
19;;10650000;0;0;;0;0;0;0,000;0;0;0;0
20;;10650000;0;0;;0;0;0;0,000;0;0;0;0
21;;10650000;0;0;;0;0;0;0,000;0;0;0;0
22;;10650000;0;0;;0;0;0;0,000;0;0;0;0
23;;10650000;0;0;;0;0;0;0,000;0;0;0;0
24;;10650000;0;0;;0;0;0;0,000;0;0;0;0
25;;10650000;0;0;;0;0;0;0,000;0;0;0;0
26;;10650000;0;0;;0;0;0;0,000;0;0;0;0
27;;10650000;0;0;;0;0;0;0,000;0;0;0;0
28;;10650000;0;0;;0;0;0;0,000;0;0;0;0
29;;10650000;0;0;;0;0;0;0,000;0;0;0;0
30;;10650000;0;0;;0;0;0;0,000;0;0;0;0
31;;10650000;0;0;;0;0;0;0,000;0;0;0;0
32;;10650000;0;0;;0;0;0;0,000;0;0;0;0
33;;10650000;0;0;;0;0;0;0,000;0;0;0;0
34;;10650000;0;0;;0;0;0;0,000;0;0;0;0
35;;10650000;0;0;;0;0;0;0,000;0;0;0;0
36;;10650000;0;0;;0;0;0;0,000;0;0;0;0
37;;10650000;0;0;;0;0;0;0,000;0;0;0;0
38;;10650000;0;0;;0;0;0;0,000;0;0;0;0
39;;10650000;0;0;;0;0;0;0,000;0;0;0;0
40;;10650000;0;0;;0;0;0;0,000;0;0;0;0
41;;10650000;0;0;;0;0;0;0,000;0;0;0;0
42;;10650000;0;0;;0;0;0;0,000;0;0;0;0
43;;10650000;0;0;;0;0;0;0,000;0;0;0;0
44;;10650000;0;0;;0;0;0;0,000;0;0;0;0
45;;10650000;0;0;;0;0;0;0,000;0;0;0;0
46;;10650000;0;0;;0;0;0;0,000;0;0;0;0
47;;10650000;0;0;;0;0;0;0,000;0;0;0;0
48;;10650000;0;0;;0;0;0;0,000;0;0;0;0
49;;10650000;0;0;;0;0;0;0,000;0;0;0;0
50;;10649909;91;0;;10649909;91;0;0,103;10649909;0;91;0
51;;10649906;94;0;;10649900;94;6;0,570;10649898;11;85;6
52;;10649859;141;0;;10649846;141;13;0,410;10649887;19;81;12
53;;10649811;189;0;;10649788;189;23;0,409;10649877;25;79;18
54;;10649747;253;0;;10649711;253;36;0,236;10649868;30;79;23
55;;10649702;295;3;;10649651;295;54;0,402;10649858;34;79;29
56;;10649604;393;3;;10649533;393;74;0,243;10649848;37;80;35
57;;10649536;461;3;;10649437;461;102;0,569;10649839;39;82;40
58;;10649306;691;3;;10649175;691;134;0,270;10649828;41;84;46
59;;10649167;829;4;;10648988;829;183;0,263;10649818;43;87;52
60;;10649005;989;6;;10648770;989;241;0,195;10649807;45;89;58
61;;10648880;1113;7;;10648577;1113;310;0,173;10649797;47;92;64
62;;10648764;1228;8;;10648384;1228;388;0,195;10649785;49;95;71
63;;10648606;1381;13;;10648145;1381;474;0,256;10649774;51;98;77
64;;10648346;1638;16;;10647792;1638;570;0,234;10649761;53;102;84
65;;10648075;1906;19;;10647409;1906;685;0,255;10649749;55;105;91
66;;10647721;2259;20;;10646923;2259;818;0,225;10649736;57;109;99
67;;10647369;2609;22;;10646415;2609;977;0,139;10649723;59;112;106
68;;10647183;2790;27;;10646051;2790;1159;0,128;10649709;61;116;114
69;;10646999;2953;48;;10645693;2953;1354;0,165;10649695;63;120;122
70;;10646692;3232;76;;10645207;3232;1561;0,124;10649680;65;124;131
71;;10646492;3408;100;;10644805;3408;1787;0,170;10649665;67;129;139
72;;10646142;3747;111;;10644228;3746;2026;0,128;10649649;70;133;148
73;;10645909;3966;125;;10643747;3965;2288;0,163;10649632;72;138;158
74;;10645528;4335;137;;10643100;4334;2566;0,091;10649616;75;143;167
75;;10645413;4424;163;;10642708;4423;2869;0,115;10649598;77;148;177
76;;10645178;4623;199;;10642200;4622;3179;0,099;10649580;80;153;188
77;;10644983;4757;260;;10641742;4756;3502;0,117;10649561;83;158;198
78;;10644688;4980;332;;10641187;4978;3835;0,105;10649542;85;163;209
79;;10644431;5156;413;;10640662;5154;4184;0,092;10649522;88;169;221
80;;10644268;5267;465;;10640191;5265;4544;0,075;10649501;92;175;233
