date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;1,684
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;66990000;0;0;;0;0;0;0,000;0;0;0;0
2;;66990000;0;0;;0;0;0;0,000;0;0;0;0
3;;66989998;2;0;;66990000;2;0;0,570;66989998;0;2;0
4;;66989997;3;0;;66989999;3;0;0,070;66989995;3;2;0
5;;66989997;3;0;;66989999;3;0;0,070;66989992;6;2;0
6;;66989997;3;0;;66989998;3;1;0,403;66989987;9;3;0
7;;66989996;4;0;;66989997;4;1;0,320;66989982;13;5;1
8;;66989995;5;0;;66989996;5;1;0,070;66989973;18;7;1
9;;66989995;5;0;;66989996;5;1;0,070;66989962;27;10;2
10;;66989995;5;0;;66989995;5;2;0,270;66989944;39;15;2
11;;66989994;6;0;;66989994;6;2;0,070;66989919;56;22;3
12;;66989994;6;0;;66989993;6;3;0,070;66989883;81;31;5
13;;66989994;6;0;;66989993;6;3;0,070;66989830;118;45;7
14;;66989994;6;0;;66989993;6;3;0,070;66989754;170;66;10
15;;66989994;6;0;;66989992;6;4;0,070;66989643;247;95;15
16;;66989994;6;0;;66989992;6;4;0,070;66989483;358;138;21
17;;66989994;6;0;;66989991;6;5;0,903;66989251;518;200;31
18;;66989989;11;0;;66989986;11;5;0,070;66988915;751;289;45
19;;66989989;11;0;;66989985;11;6;0,070;66988428;1088;419;65
20;;66989989;11;0;;66989984;11;7;0,070;66987722;1576;607;95
21;;66989989;11;0;;66989984;11;7;-0,112;66986699;2284;880;137
22;;66989989;9;2;;66989985;9;8;0,070;66985217;3309;1275;199
23;;66989989;9;2;;66989984;9;9;0,070;66983071;4794;1848;288
24;;66989989;9;2;;66989984;9;9;-0,152;66979960;6945;2677;417
25;;66989988;7;5;;66989985;7;10;0,070;66975454;10063;3879;605
26;;66989988;7;5;;66989984;7;11;0,070;66968925;14579;5620;876
27;;66989988;7;5;;66989984;7;11;0,070;66959467;21122;8142;1270
28;;66989988;7;5;;66989984;7;11;0,070;66945765;30599;11797;1840
29;;66989988;7;5;;66989983;7;12;0,070;66925917;44327;17091;2665
30;;66989988;7;5;;66989983;7;12;0,070;66897171;64208;24760;3862
31;;66989988;7;5;;66989982;7;13;0,070;66855543;92994;35868;5595
32;;66989988;7;5;;66989982;7;13;0,070;66795277;134661;51956;8106
33;;66989988;7;5;;66989981;7;14;0,070;66708058;194948;75251;11743
34;;66989988;7;5;;66989981;7;14;-0,644;66581898;282118;108973;17010
35;;66989986;2;12;;66989985;2;15;1,570;66399548;408045;157769;24638
36;;66989982;5;13;;66989982;5;15;4,070;66136270;589714;228334;35682
37;;66989962;25;13;;66989962;25;15;0,830;65756745;851295;330294;51666
38;;66989943;44;13;;66989941;44;17;1,025;65210901;1226881;477432;74786
39;;66989900;86;14;;66989896;86;20;0,419;64428443;1763962;689388;108206
40;;66989870;116;14;;66989860;116;26;0,587;63312170;2527443;993923;156463
41;;66989809;176;15;;66989792;176;34;0,138;61730671;3603454;1429837;226038
42;;66989796;188;16;;66989767;188;47;0,501;59512390;5101044;2050440;326127
43;;66989715;269;16;;66989673;269;60;0,405;56445605;7147620;2927118;469657
44;;66989623;359;18;;66989564;359;79;0,830;52293204;9870497;4151743;674556
45;;66989347;632;21;;66989266;632;104;0,535;46836823;13352778;5835221;965178
46;;66989051;926;23;;66988928;926;148;0,253;39968138;17550908;8097311;1373643
47;;66988874;1095;31;;66988694;1095;213;0,146;31834522;22174342;11040681;1940455
48;;66988791;1178;31;;66988534;1178;290;0,546;23001219;26572777;14702702;2713303
49;;66988216;1739;45;;66987891;1739;372;0,349;14502041;29757400;18988068;3742492
50;;66987716;2224;60;;66987284;2224;494;0,070;7581519;30726442;23610383;5071656
51;;66987716;2224;60;;66987129;2224;649;0,678;3082807;29079866;28102944;6724383
52;;66986333;3576;91;;66985621;3576;805;0,294;905463;25441237;31951711;8691589
53;;66985520;4377;103;;66984570;4377;1055;0,078;178364;21080088;34803339;10928209
54;;66985487;4410;103;;66984230;4410;1362;0,542;22352;17020082;36583123;13364443
55;;66983350;6490;160;;66981842;6490;1670;0,229;1801;13636616;37426321;15925262
56;;66982317;7523;160;;66980354;7523;2125;0,252;107;10910987;37533802;18545104
57;;66980948;8892;160;;66978459;8892;2651;0,266;6;8728891;37088633;21172470
58;;66979114;10631;255;;66976098;10631;3274;0,215;0;6983118;36238207;23768674
59;;66977368;12170;462;;66973815;12169;4018;0,199;0;5586495;35098156;26305349
60;;66975692;13734;574;;66971399;13733;4870;0,041;0;4469196;33758584;28762220
61;;66973786;13337;2877;;66970835;13336;5831;0,349;0;3575357;32289322;31125321
62;;66969877;17054;3069;;66966185;17053;6765;0,139;0;2860286;30744141;33385573
63;;66967378;18232;4390;;66963813;18231;7958;0,187;0;2288228;29164108;35537663
64;;66964400;20360;5240;;66960409;20358;9234;0,195;0;1830583;27580267;37579151
65;;66960449;22898;6653;;66956447;22896;10660;0,192;0;1464466;26015764;39509769
66;;66956598;25698;7704;;66952045;25695;12262;0,240;0;1171573;24487554;41330873
67;;66951895;30064;8041;;66945881;30060;14061;0,097;0;937258;23007740;43045002
68;;66949292;30871;9837;;66942970;30867;16165;0,177;0;749807;21584650;44655543
69;;66944830;34176;10994;;66937505;34171;18326;0,234;0;599845;20223686;46166469
70;;66937173;39782;13045;;66929509;39775;20718;0,142;0;479876;18927997;47582127
71;;66932251;42653;15096;;66923855;42645;23502;0,054;0;383901;17699012;48907087
72;;66930071;41983;17946;;66921540;41975;26487;0,131;0;307121;16536862;50146018
73;;66924798;44547;20655;;66916039;44538;29426;0,590;0;245697;15440705;51303598
74;;66899152;67702;23146;;66889774;67685;32543;0,094;0;196557;14408995;52384447
75;;66896227;69331;24442;;66883409;69312;37281;0,117;0;157246;13439677;53393077
76;;66891037;72609;26354;;66875281;72588;42133;0,175;0;125797;12530349;54333854
77;;66879935;80199;29866;;66862615;80173;47214;0,088;0;100637;11678384;55210979
78;;66876041;81620;32339;;66855584;81591;52826;0,089;0;80510;10881024;56028466
79;;66871219;83140;35641;;66848356;83109;58538;0,123;0;64408;10135455;56790137
80;;66864069;87521;38410;;66838162;87485;64355;0,101;0;51526;9438854;57499619
81;;66859273;90213;40514;;66829351;90172;70479;0,088;0;41221;8788440;58160339
82;;66856330;91789;41881;;66821467;91744;76791;0,104;0;32977;8181493;58775530
83;;66852125;94888;42987;;66811952;94836;83213;-0,018;0;26381;7615384;59348234
84;;66858639;86515;44846;;66813681;86469;89852;0,063;0;21105;7087584;59881311
85;;66855418;85924;48658;;66808223;85875;95905;0,186;0;16884;6595674;60377442
86;;66842909;95823;51268;;66792329;95757;101916;0,066;0;13507;6137353;60839139
87;;66840870;95421;53709;;66786033;95350;108619;0,047;0;10806;5710440;61268754
