date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,159
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;83020000;0;0;;0;0;0;0,000;0;0;0;0
2;;83020000;0;0;;0;0;0;0,000;0;0;0;0
3;;83020000;0;0;;0;0;0;0,000;0;0;0;0
4;;83020000;0;0;;0;0;0;0,000;0;0;0;0
5;;83020000;0;0;;0;0;0;0,000;0;0;0;0
6;;83020000;0;0;;0;0;0;0,000;0;0;0;0
7;;83019996;4;0;;83020000;4;0;0,070;83019996;0;4;0
8;;83019996;4;0;;83020000;4;0;0,070;83019995;1;4;0
9;;83019996;4;0;;83019999;4;1;0,320;83019995;1;4;1
10;;83019995;5;0;;83019998;5;1;0,670;83019994;1;4;1
11;;83019992;8;0;;83019995;8;1;0,320;83019994;2;4;1
12;;83019990;10;0;;83019992;10;2;0,270;83019993;2;4;1
13;;83019988;12;0;;83019990;12;2;0,070;83019992;2;4;2
14;;83019988;12;0;;83019989;12;3;0,070;83019992;2;4;2
15;;83019988;12;0;;83019988;12;4;0,070;83019991;2;4;2
16;;83019988;12;0;;83019987;12;5;0,153;83019991;3;4;2
17;;83019987;13;0;;83019985;13;6;0,070;83019990;3;5;3
18;;83019987;13;0;;83019984;13;7;0,147;83019989;3;5;3
19;;83019986;14;0;;83019982;14;8;0,070;83019988;3;5;3
20;;83019986;14;0;;83019981;14;9;0,213;83019988;3;5;4
21;;83019984;16;0;;83019978;16;10;0,070;83019987;4;6;4
22;;83019984;16;0;;83019977;16;11;0,008;83019986;4;6;4
23;;83019984;15;1;;83019977;15;12;0,070;83019985;4;6;5
24;;83019984;15;1;;83019976;15;13;0,070;83019984;4;7;5
25;;83019984;15;1;;83019975;15;14;0,070;83019983;4;7;6
26;;83019984;15;1;;83019974;15;15;0,070;83019982;5;7;6
27;;83019984;15;1;;83019973;15;16;-0,663;83019981;5;8;7
28;;83019984;4;12;;83019983;4;17;0,070;83019979;5;8;7
29;;83019984;4;12;;83019983;4;17;0,070;83019978;5;9;8
30;;83019984;4;12;;83019982;4;18;-0,430;83019977;6;9;9
