date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,216
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;83731137;0;0;;0;0;0;0,000;0;0;0;0
2;;83731137;0;0;;0;0;0;0,000;0;0;0;0
3;;83731137;0;0;;0;0;0;0,000;0;0;0;0
4;;83731137;0;0;;0;0;0;0,000;0;0;0;0
5;;83731137;0;0;;0;0;0;0,000;0;0;0;0
6;;83731137;0;0;;0;0;0;0,000;0;0;0;0
7;;83731137;0;0;;0;0;0;0,000;0;0;0;0
8;;83731137;0;0;;0;0;0;0,000;0;0;0;0
9;;83731137;0;0;;0;0;0;0,000;0;0;0;0
10;;83731137;0;0;;0;0;0;0,000;0;0;0;0
11;;83731137;0;0;;0;0;0;0,000;0;0;0;0
12;;83731137;0;0;;0;0;0;0,000;0;0;0;0
13;;83731137;0;0;;0;0;0;0,000;0;0;0;0
14;;83731137;0;0;;0;0;0;0,000;0;0;0;0
15;;83731137;0;0;;0;0;0;0,000;0;0;0;0
16;;83731137;0;0;;0;0;0;0,000;0;0;0;0
17;;83731137;0;0;;0;0;0;0,000;0;0;0;0
18;;83731137;0;0;;0;0;0;0,000;0;0;0;0
19;;83731137;0;0;;0;0;0;0,000;0;0;0;0
20;;83731137;0;0;;0;0;0;0,000;0;0;0;0
21;;83731137;0;0;;0;0;0;0,000;0;0;0;0
22;;83731137;0;0;;0;0;0;0,000;0;0;0;0
23;;83731137;0;0;;0;0;0;0,000;0;0;0;0
24;;83731137;0;0;;0;0;0;0,000;0;0;0;0
25;;83731137;0;0;;0;0;0;0,000;0;0;0;0
26;;83731137;0;0;;0;0;0;0,000;0;0;0;0
27;;83731137;0;0;;0;0;0;0,000;0;0;0;0
28;;83731137;0;0;;0;0;0;0,000;0;0;0;0
29;;83731135;0;2;;0;0;0;0,000;0;0;0;0
30;;83731132;3;2;;83731136;3;2;3,737;83731132;0;3;2
31;;83731119;14;4;;83731125;14;2;0,713;83731131;1;3;2
32;;83731109;23;5;;83731115;23;3;0,592;83731131;1;3;2
33;;83731094;35;8;;83731101;35;5;0,470;83731130;1;3;3
34;;83731076;49;12;;83731085;49;7;0,682;83731130;2;3;3
35;;83731042;79;16;;83731051;79;11;-0,031;83731129;2;3;3
36;;83730998;71;68;;83731054;71;16;1,464;83731128;2;3;3
37;;83730892;170;75;;83730950;170;21;0,723;83731128;3;3;3
38;;83730749;281;107;;83730827;281;33;0,590;83731127;3;4;4
39;;83730544;427;166;;83730661;427;53;0,824;83731126;3;4;4
40;;83730159;749;229;;83730309;749;83;0,597;83731125;3;4;4
41;;83729636;1144;357;;83729862;1144;135;0,790;83731124;4;5;5
42;;83728801;1968;368;;83728958;1968;215;0,228;83731123;4;5;5
43;;83728215;2278;644;;83728510;2278;353;0,241;83731122;4;5;5
44;;83727624;2667;846;;83727962;2667;512;0,461;83731121;5;6;6
45;;83726390;3710;1037;;83726732;3710;699;0,151;83731120;5;6;6
46;;83725314;4009;1814;;83726173;4009;959;0,127;83731118;5;7;6
47;;83724571;4238;2328;;83725664;4238;1239;0,139;83731117;6;8;7
48;;83723976;4530;2631;;83725075;4530;1536;0,178;83731115;6;8;7
49;;83723095;5020;3022;;83724268;5020;1853;0,203;83731113;7;9;8
50;;83722137;5687;3313;;83723249;5687;2205;0,246;83731112;7;10;9
51;;83721062;6687;3388;;83721851;6687;2603;0,250;83731109;8;10;9
52;;83719773;7891;3473;;83720179;7891;3071;0,231;83731107;9;11;10
53;;83718408;9159;3570;;83718359;9159;3623;0,012;83731105;9;12;11
54;;83717199;8624;5314;;83718253;8624;4264;0,177;83731102;10;13;12
55;;83716146;9548;5443;;83716725;9548;4868;0,096;83731099;11;14;13
56;;83714968;9792;6377;;83715812;9792;5536;0,177;83731096;12;15;14
57;;83713776;10837;6524;;83714082;10837;6222;0,123;83731093;13;17;15
58;;83712730;11413;6994;;83712747;11413;6980;0,075;83731089;14;18;16
59;;83711493;11466;8178;;83711895;11466;7779;0,066;83731086;15;20;17
60;;83710527;11419;9191;;83711140;11419;8582;0,149;83731081;16;21;18
61;;83709499;12318;9320;;83709441;12318;9381;0,114;83731077;17;23;20
62;;83708088;12861;10188;;83708036;12861;10244;0,156;83731072;19;25;22
63;;83706326;13964;10847;;83706033;13964;11144;0,167;83731066;20;27;23
64;;83704120;15315;11702;;83703704;15315;12121;0,161;83731061;22;29;25
65;;83701731;16715;12691;;83701232;16715;13193;0,196;83731054;24;31;27
66;;83698805;18821;13511;;83697956;18821;14364;0,197;83731048;26;34;29
67;;83695729;21212;14196;;83694247;21212;15681;0,167;83731040;28;37;32
68;;83692828;23278;15031;;83690697;23278;17166;0,137;83731032;30;40;34
69;;83689642;24827;16668;;83687518;24827;18795;0,160;83731024;33;43;37
70;;83686532;27051;17554;;83683556;27051;20533;0,145;83731014;36;47;40
71;;83683544;29084;18509;;83679630;29084;22427;0,122;83731004;39;51;43
72;;83680669;30597;19871;;83676081;30597;24463;0,114;83730993;42;55;47
73;;83677954;31954;21229;;83672582;31954;26605;0,089;83730982;45;59;51
74;;83675394;32555;23188;;83669745;32555;28841;0,142;83730969;49;64;55
75;;83672911;34887;23339;;83665134;34886;31120;0,002;83730955;53;70;59
76;;83670637;32525;27975;;83665054;32524;33562;0,044;83730940;57;75;64
77;;83668548;31678;30911;;83663625;31677;35839;0,042;83730924;62;81;70
78;;83666551;30781;33805;;83662304;30780;38056;0,038;83730906;67;88;75
79;;83664917;29801;36419;;83661130;29800;40211;0,026;83730887;73;96;81
80;;83662945;28495;39697;;83660350;28494;42297;-0,097;83730867;79;103;88
81;;83661108;23725;46304;;83663125;23724;44292;0,053;83730844;85;112;95
82;;83659451;23318;48368;;83661871;23317;45952;0,045;83730820;93;121;103
83;;83657834;22735;50568;;83660822;22735;47585;0,041;83730794;100;131;112
84;;83656260;22065;52812;;83659900;22065;49176;0,053;83730766;108;142;121
85;;83654748;21679;54710;;83658742;21679;50721;0,034;83730735;117;154;131
86;;83653142;20897;57098;;83658006;20897;52238;0,050;83730702;127;167;142
87;;83651643;20472;59022;;83656968;20472;53701;0,040;83730666;138;180;153
88;;83650269;19850;61018;;83656157;19850;55134;0,081;83730627;149;195;166
89;;83648926;20070;62141;;83654548;20070;56523;0,018;83730585;161;211;180
90;;83647632;19023;64482;;83654190;19023;57928;0,045;83730539;175;229;194
