date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,193
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;42170887;0;0;;0;0;0;0,000;0;0;0;0
2;;42170887;0;0;;0;0;0;0,000;0;0;0;0
3;;42170887;0;0;;0;0;0;0,000;0;0;0;0
4;;42170887;0;0;;0;0;0;0,000;0;0;0;0
5;;42170887;0;0;;0;0;0;0,000;0;0;0;0
6;;42170887;0;0;;0;0;0;0,000;0;0;0;0
7;;42170887;0;0;;0;0;0;0,000;0;0;0;0
8;;42170887;0;0;;0;0;0;0,000;0;0;0;0
9;;42170887;0;0;;0;0;0;0,000;0;0;0;0
10;;42170887;0;0;;0;0;0;0,000;0;0;0;0
11;;42170887;0;0;;0;0;0;0,000;0;0;0;0
12;;42170887;0;0;;0;0;0;0,000;0;0;0;0
13;;42170887;0;0;;0;0;0;0,000;0;0;0;0
14;;42170887;0;0;;0;0;0;0,000;0;0;0;0
15;;42170887;0;0;;0;0;0;0,000;0;0;0;0
16;;42170887;0;0;;0;0;0;0,000;0;0;0;0
17;;42170887;0;0;;0;0;0;0,000;0;0;0;0
18;;42170887;0;0;;0;0;0;0,000;0;0;0;0
19;;42170887;0;0;;0;0;0;0,000;0;0;0;0
20;;42170887;0;0;;0;0;0;0,000;0;0;0;0
21;;42170887;0;0;;0;0;0;0,000;0;0;0;0
22;;42170887;0;0;;0;0;0;0,000;0;0;0;0
23;;42170887;0;0;;0;0;0;0,000;0;0;0;0
24;;42170887;0;0;;0;0;0;0,000;0;0;0;0
25;;42170887;0;0;;0;0;0;0,000;0;0;0;0
26;;42170887;0;0;;0;0;0;0,000;0;0;0;0
27;;42170887;0;0;;0;0;0;0,000;0;0;0;0
28;;42170887;0;0;;0;0;0;0,000;0;0;0;0
29;;42170887;0;0;;0;0;0;0,000;0;0;0;0
30;;42170887;0;0;;0;0;0;0,000;0;0;0;0
31;;42170887;0;0;;0;0;0;0,000;0;0;0;0
32;;42170887;0;0;;0;0;0;0,000;0;0;0;0
33;;42170887;0;0;;0;0;0;0,000;0;0;0;0
34;;42170886;1;0;;42170888;1;0;0,070;42170886;0;1;0
35;;42170886;1;0;;42170888;1;0;4,070;42170886;0;1;0
36;;42170882;5;0;;42170884;5;0;0,470;42170882;0;5;0
37;;42170880;7;0;;42170882;7;0;0,070;42170881;1;5;0
38;;42170880;7;0;;42170881;7;1;0,927;42170880;2;5;1
39;;42170874;13;0;;42170875;13;1;0,532;42170879;2;5;1
40;;42170868;19;0;;42170868;19;2;0,438;42170878;3;5;1
41;;42170861;26;0;;42170859;26;4;0,301;42170877;3;5;2
42;;42170855;32;0;;42170851;32;6;0,101;42170876;4;5;2
43;;42170852;33;2;;42170848;33;8;0,070;42170875;4;6;3
44;;42170852;33;2;;42170846;33;10;0,191;42170874;4;6;3
45;;42170847;37;3;;42170840;37;12;0,421;42170873;5;6;3
46;;42170833;50;4;;42170824;50;15;0,150;42170872;5;7;4
47;;42170827;54;6;;42170817;54;18;-0,097;42170870;5;7;4
48;;42170827;45;15;;42170822;45;22;0,426;42170869;6;8;5
49;;42170816;61;10;;42170803;61;25;-0,127;42170868;6;9;5
50;;42170816;49;22;;42170810;49;30;0,050;42170866;6;9;6
51;;42170816;48;23;;42170808;48;33;0,487;42170864;7;10;7
52;;42170786;68;33;;42170785;68;36;0,158;42170862;7;11;7
53;;42170777;74;36;;42170774;74;41;0,151;42170860;8;11;8
54;;42170771;80;36;;42170763;80;46;0,170;42170858;9;12;9
55;;42170763;88;36;;42170749;88;52;0,331;42170856;9;13;10
56;;42170733;111;43;;42170720;111;58;0,052;42170853;10;14;11
57;;42170723;109;55;;42170714;109;66;0,318;42170850;11;15;12
58;;42170695;136;56;;42170679;136;74;0,114;42170848;11;16;13
59;;42170679;142;66;;42170664;142;83;0,098;42170845;12;17;14
60;;42170673;146;68;;42170650;146;93;0,138;42170841;13;18;15
61;;42170654;156;77;;42170630;156;103;0,230;42170838;14;20;16
62;;42170621;181;85;;42170594;181;114;0,252;42170834;15;21;18
63;;42170571;214;102;;42170548;214;127;0,070;42170830;16;23;19
64;;42170541;214;132;;42170533;214;142;0,196;42170825;17;24;21
65;;42170505;241;141;;42170491;241;157;0,298;42170821;18;26;22
66;;42170429;296;162;;42170419;296;174;0,195;42170816;20;28;24
67;;42170381;333;173;;42170362;333;194;0,157;42170810;21;30;26
68;;42170340;362;185;;42170309;362;218;0,263;42170805;23;32;28
69;;42170257;432;198;;42170214;432;243;0,167;42170798;24;34;30
70;;42170193;474;220;;42170142;474;273;0,112;42170792;26;37;33
71;;42170159;494;234;;42170089;494;306;0,115;42170785;28;39;35
72;;42170115;516;256;;42170032;516;341;0,117;42170777;30;42;38
73;;42170067;540;280;;42169972;540;377;0,113;42170769;32;45;41
74;;42170009;563;315;;42169911;563;415;0,173;42170760;34;49;44
75;;42169926;621;340;;42169814;621;454;0,073;42170751;37;52;48
76;;42169856;623;408;;42169768;623;498;0,168;42170741;40;56;51
77;;42169765;684;438;;42169664;684;541;0,066;42170730;42;60;55
78;;42169685;681;521;;42169619;681;589;0,049;42170718;46;64;59
79;;42169655;667;565;;42169585;667;637;0,058;42170706;49;69;64
80;;42169608;659;620;;42169546;659;684;0,049;42170693;52;74;69
81;;42169569;645;673;;42169514;645;730;0,056;42170679;56;79;74
82;;42169535;636;716;;42169478;636;775;-0,013;42170663;60;85;79
83;;42169509;583;795;;42169487;583;819;0,024;42170647;64;91;85
84;;42169487;556;844;;42169473;556;860;0,012;42170629;69;97;92
85;;42169472;524;891;;42169466;524;899;0,020;42170611;74;104;98
86;;42169453;498;936;;42169455;498;936;0,064;42170590;79;112;106
87;;42169405;495;987;;42169423;495;971;0,036;42170569;85;120;114
88;;42169374;478;1035;;42169406;478;1005;0,007;42170546;91;129;122
89;;42169348;448;1091;;42169402;448;1039;0,072;42170521;98;138;131
90;;42169313;449;1125;;42169370;449;1070;0,012;42170494;105;148;141
91;;42169285;423;1179;;42169364;423;1102;0,020;42170466;112;158;151
92;;42169256;402;1229;;42169356;402;1131;0,122;42170435;121;170;162
93;;42169210;423;1254;;42169307;423;1159;0,058;42170402;129;182;174
94;;42169179;418;1290;;42169282;418;1189;0,154;42170367;139;195;187
95;;42169124;453;1310;;42169218;453;1218;0,108;42170329;149;209;200
96;;42169067;470;1350;;42169169;470;1250;0,076;42170289;159;224;215
97;;42169040;473;1374;;42169133;473;1283;0,167;42170246;171;240;231
98;;42168959;519;1409;;42169054;519;1316;0,159;42170199;183;258;248
99;;42168884;565;1438;;42168972;565;1352;0,162;42170149;196;276;266
100;;42168802;617;1468;;42168880;617;1392;0,115;42170096;210;296;285
101;;42168734;645;1508;;42168809;645;1435;0,079;42170039;226;318;306
102;;42168668;651;1568;;42168758;651;1480;0,159;42169977;242;340;328
103;;42168591;709;1587;;42168654;709;1526;0,063;42169912;259;365;352
104;;42168541;704;1642;;42168610;704;1575;0,147;42169841;278;391;377
105;;42168456;758;1673;;42168506;758;1625;0,094;42169765;298;419;405
106;;42168407;776;1704;;42168435;776;1678;0,120;42169684;319;450;434
107;;42168344;815;1728;;42168342;815;1732;0,098;42169598;342;482;466
108;;42168284;838;1765;;42168262;838;1789;0,108;42169504;367;517;499
109;;42168208;870;1809;;42168171;870;1848;0,132;42169405;393;554;535
110;;42168120;924;1843;;42168056;924;1909;0,064;42169298;422;594;574
111;;42168069;918;1900;;42167998;918;1973;0,048;42169183;452;637;616
112;;42167974;898;2015;;42167953;898;2038;0,129;42169060;485;683;660
113;;42167855;951;2081;;42167838;951;2100;0,122;42168928;520;732;708
114;;42167744;1000;2143;;42167722;1000;2167;0,057;42168787;557;784;759
115;;42167694;987;2206;;42167665;987;2237;0,096;42168635;597;841;814
116;;42167627;1013;2247;;42167570;1013;2306;0,119;42168473;640;902;873
117;;42167483;1063;2341;;42167449;1063;2377;0,121;42168298;686;966;936
118;;42167333;1117;2437;;42167321;1117;2451;0,067;42168112;736;1036;1004
119;;42167276;1114;2497;;42167245;1114;2530;0,104;42167911;789;1111;1076
120;;42167163;1152;2572;;42167129;1152;2608;0,159;42167697;846;1191;1154
121;;42167010;1254;2623;;42166947;1254;2688;0,095;42167467;907;1277;1238
122;;42166923;1285;2679;;42166828;1285;2776;0,265;42167220;972;1368;1327
123;;42166615;1535;2737;;42166488;1535;2866;0,093;42166956;1042;1467;1423
124;;42166418;1571;2898;;42166345;1571;2973;0,125;42166672;1117;1573;1525
125;;42166255;1658;2974;;42166148;1658;3083;0,172;42166369;1197;1686;1635
126;;42166039;1827;3021;;42165863;1827;3199;0,195;42166043;1284;1807;1754
127;;42165752;2056;3079;;42165506;2056;3327;0,192;42165694;1376;1938;1880
128;;42165430;2307;3150;;42165111;2307;3471;0,216;42165320;1475;2077;2016
129;;42165014;2644;3229;;42164612;2644;3633;0,157;42164918;1581;2227;2161
130;;42164708;2874;3305;;42164197;2874;3818;0,141;42164488;1695;2387;2317
131;;42164448;3078;3361;;42163792;3078;4019;0,167;42164027;1817;2559;2484
132;;42164019;3378;3490;;42163277;3378;4234;0,149;42163533;1948;2743;2663
