date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,214
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;4904000;0;0;;0;0;0;0,000;0;0;0;0
2;;4904000;0;0;;0;0;0;0,000;0;0;0;0
3;;4904000;0;0;;0;0;0;0,000;0;0;0;0
4;;4904000;0;0;;0;0;0;0,000;0;0;0;0
5;;4904000;0;0;;0;0;0;0,000;0;0;0;0
6;;4904000;0;0;;0;0;0;0,000;0;0;0;0
7;;4904000;0;0;;0;0;0;0,000;0;0;0;0
8;;4904000;0;0;;0;0;0;0,000;0;0;0;0
9;;4904000;0;0;;0;0;0;0,000;0;0;0;0
10;;4904000;0;0;;0;0;0;0,000;0;0;0;0
11;;4904000;0;0;;0;0;0;0,000;0;0;0;0
12;;4904000;0;0;;0;0;0;0,000;0;0;0;0
13;;4904000;0;0;;0;0;0;0,000;0;0;0;0
14;;4904000;0;0;;0;0;0;0,000;0;0;0;0
15;;4904000;0;0;;0;0;0;0,000;0;0;0;0
16;;4904000;0;0;;0;0;0;0,000;0;0;0;0
17;;4904000;0;0;;0;0;0;0,000;0;0;0;0
18;;4904000;0;0;;0;0;0;0,000;0;0;0;0
19;;4904000;0;0;;0;0;0;0,000;0;0;0;0
20;;4904000;0;0;;0;0;0;0,000;0;0;0;0
21;;4904000;0;0;;0;0;0;0,000;0;0;0;0
22;;4904000;0;0;;0;0;0;0,000;0;0;0;0
23;;4904000;0;0;;0;0;0;0,000;0;0;0;0
24;;4904000;0;0;;0;0;0;0,000;0;0;0;0
25;;4904000;0;0;;0;0;0;0,000;0;0;0;0
26;;4904000;0;0;;0;0;0;0,000;0;0;0;0
27;;4904000;0;0;;0;0;0;0,000;0;0;0;0
28;;4904000;0;0;;0;0;0;0,000;0;0;0;0
29;;4904000;0;0;;0;0;0;0,000;0;0;0;0
30;;4904000;0;0;;0;0;0;0,000;0;0;0;0
31;;4904000;0;0;;0;0;0;0,000;0;0;0;0
32;;4904000;0;0;;0;0;0;0,000;0;0;0;0
33;;4904000;0;0;;0;0;0;0,000;0;0;0;0
34;;4904000;0;0;;0;0;0;0,000;0;0;0;0
35;;4904000;0;0;;0;0;0;0,000;0;0;0;0
36;;4904000;0;0;;0;0;0;0,000;0;0;0;0
37;;4904000;0;0;;0;0;0;0,000;0;0;0;0
38;;4903999;1;0;;4903999;1;0;0,070;4903999;0;1;0
39;;4903999;1;0;;4903999;1;0;0,070;4903999;0;1;0
40;;4903999;1;0;;4903999;1;0;0,070;4903999;0;1;0
41;;4903999;1;0;;4903999;1;0;1,070;4903999;1;1;0
42;;4903998;2;0;;4903998;2;0;2,070;4903999;1;1;0
43;;4903994;6;0;;4903994;6;0;0,070;4903998;1;1;0
44;;4903994;6;0;;4903993;6;1;2,070;4903998;1;1;0
45;;4903982;18;0;;4903981;18;1;0,070;4903998;1;1;1
46;;4903982;18;0;;4903979;18;3;1,292;4903998;1;1;1
47;;4903960;40;0;;4903956;40;4;-0,405;4903997;1;1;1
48;;4903979;21;0;;4903972;21;7;0,689;4903997;1;2;1
49;;4903966;34;0;;4903958;34;8;0,305;4903997;1;2;1
50;;4903957;42;1;;4903948;42;10;0,070;4903996;1;2;1
51;;4903957;42;1;;4903945;42;13;1,189;4903996;1;2;1
52;;4903910;89;1;;4903895;89;16;0,497;4903996;2;2;1
53;;4903871;127;2;;4903850;127;23;0,070;4903995;2;2;1
54;;4903871;127;2;;4903842;127;31;0,385;4903995;2;2;2
55;;4903831;167;2;;4903793;167;40;0,363;4903994;2;3;2
56;;4903777;216;7;;4903732;216;52;0,389;4903993;2;3;2
57;;4903708;285;7;;4903648;285;67;0,996;4903993;2;3;2
58;;4903443;549;8;;4903364;549;87;0,300;4903992;3;3;2
59;;4903317;675;8;;4903200;675;126;0,221;4903991;3;4;3
60;;4903215;777;8;;4903050;777;173;0,224;4903991;3;4;3
61;;4903094;897;9;;4902876;897;227;0,312;4903990;3;4;3
62;;4902875;1114;11;;4902596;1114;290;0,252;4903989;4;5;3
