date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,193
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;8689180;0;0;;0;0;0;0,000;0;0;0;0
2;;8689180;0;0;;0;0;0;0,000;0;0;0;0
3;;8689180;0;0;;0;0;0;0,000;0;0;0;0
4;;8689180;0;0;;0;0;0;0,000;0;0;0;0
5;;8689180;0;0;;0;0;0;0,000;0;0;0;0
6;;8689180;0;0;;0;0;0;0,000;0;0;0;0
7;;8689180;0;0;;0;0;0;0,000;0;0;0;0
8;;8689180;0;0;;0;0;0;0,000;0;0;0;0
9;;8689180;0;0;;0;0;0;0,000;0;0;0;0
10;;8689180;0;0;;0;0;0;0,000;0;0;0;0
11;;8689180;0;0;;0;0;0;0,000;0;0;0;0
12;;8689180;0;0;;0;0;0;0,000;0;0;0;0
13;;8689180;0;0;;0;0;0;0,000;0;0;0;0
14;;8689180;0;0;;0;0;0;0,000;0;0;0;0
15;;8689180;0;0;;0;0;0;0,000;0;0;0;0
16;;8689180;0;0;;0;0;0;0,000;0;0;0;0
17;;8689180;0;0;;0;0;0;0,000;0;0;0;0
18;;8689180;0;0;;0;0;0;0,000;0;0;0;0
19;;8689180;0;0;;0;0;0;0,000;0;0;0;0
20;;8689180;0;0;;0;0;0;0,000;0;0;0;0
21;;8689180;0;0;;0;0;0;0,000;0;0;0;0
22;;8689180;0;0;;0;0;0;0,000;0;0;0;0
23;;8689180;0;0;;0;0;0;0,000;0;0;0;0
24;;8689180;0;0;;0;0;0;0,000;0;0;0;0
25;;8689180;0;0;;0;0;0;0,000;0;0;0;0
26;;8689180;0;0;;0;0;0;0,000;0;0;0;0
27;;8689180;0;0;;0;0;0;0,000;0;0;0;0
28;;8689180;0;0;;0;0;0;0,000;0;0;0;0
29;;8689180;0;0;;0;0;0;0,000;0;0;0;0
30;;8689180;0;0;;0;0;0;0,000;0;0;0;0
31;;8689179;1;0;;8689179;1;0;0,070;8689179;0;1;0
32;;8689179;1;0;;8689179;1;0;0,070;8689179;0;1;0
33;;8689179;1;0;;8689179;1;0;0,070;8689179;0;1;0
34;;8689179;1;0;;8689179;1;0;0,070;8689179;0;1;0
35;;8689179;1;0;;8689179;1;0;1,070;8689179;1;1;0
36;;8689178;2;0;;8689178;2;0;0,070;8689179;1;1;0
37;;8689177;2;1;;8689178;2;0;0,570;8689178;1;1;0
38;;8689176;3;1;;8689177;3;1;1,070;8689178;1;1;1
39;;8689173;6;1;;8689173;6;1;0,570;8689178;1;1;1
40;;8689170;9;1;;8689170;9;1;0,070;8689178;1;1;1
