date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,195
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;60360000;0;0;;0;0;0;0,000;0;0;0;0
2;;60360000;0;0;;0;0;0;0,000;0;0;0;0
3;;60360000;0;0;;0;0;0;0,000;0;0;0;0
4;;60360000;0;0;;0;0;0;0,000;0;0;0;0
5;;60360000;0;0;;0;0;0;0,000;0;0;0;0
6;;60360000;0;0;;0;0;0;0,000;0;0;0;0
7;;60360000;0;0;;0;0;0;0,000;0;0;0;0
8;;60360000;0;0;;0;0;0;0,000;0;0;0;0
9;;60360000;0;0;;0;0;0;0,000;0;0;0;0
10;;60359998;2;0;;60360000;2;0;0,070;60359998;0;2;0
11;;60359998;2;0;;60360000;2;0;0,070;60359998;0;2;0
12;;60359998;2;0;;60360000;2;0;0,070;60359997;1;2;0
13;;60359998;2;0;;60360000;2;0;0,070;60359997;1;2;0
14;;60359998;2;0;;60359999;2;1;0,070;60359997;1;2;1
15;;60359998;2;0;;60359999;2;1;0,070;60359996;1;2;1
16;;60359998;2;0;;60359999;2;1;0,570;60359996;1;2;1
17;;60359997;3;0;;60359998;3;1;0,070;60359995;1;2;1
18;;60359997;3;0;;60359998;3;1;0,070;60359995;2;2;1
19;;60359997;3;0;;60359998;3;1;0,070;60359995;2;2;1
20;;60359997;3;0;;60359997;3;2;0,070;60359994;2;3;1
21;;60359997;3;0;;60359997;3;2;0,070;60359994;2;3;2
22;;60359997;3;0;;60359997;3;2;0,070;60359993;2;3;2
23;;60359997;3;0;;60359997;3;2;0,070;60359992;2;3;2
24;;60359997;3;0;;60359997;3;2;0,070;60359992;3;4;2
25;;60359997;3;0;;60359996;3;3;0,070;60359991;3;4;2
26;;60359997;3;0;;60359996;3;3;0,070;60359990;3;4;3
27;;60359997;3;0;;60359996;3;3;0,070;60359990;3;4;3
28;;60359997;3;0;;60359996;3;3;0,070;60359989;3;5;3
29;;60359997;3;0;;60359995;3;4;0,070;60359988;4;5;4
30;;60359997;3;0;;60359995;3;4;5,403;60359987;4;5;4
31;;60359980;19;1;;60359979;19;4;2,175;60359986;4;6;4
32;;60359938;59;3;;60359938;59;5;1,612;60359985;4;6;5
33;;60359845;150;5;;60359843;150;9;0,543;60359983;5;7;5
34;;60359771;221;8;;60359761;221;20;0,477;60359982;5;7;6
35;;60359678;311;11;;60359656;311;35;0,478;60359981;5;8;6
36;;60359547;438;15;;60359507;438;57;0,424;60359979;6;8;7
37;;60359345;593;62;;60359321;593;88;0,454;60359978;6;9;7
38;;60359112;821;67;;60359052;821;129;0,353;60359976;7;9;8
39;;60358872;1053;75;;60358762;1053;187;0,568;60359974;7;10;9
40;;60358306;1577;117;;60358165;1577;260;0,234;60359972;8;11;9
41;;60357964;1835;201;;60357796;1835;371;0,303;60359970;8;12;10
42;;60357498;2263;239;;60357240;2263;499;0,266;60359968;9;12;11
43;;60356911;2706;383;;60356638;2706;658;0,288;60359965;10;13;12
44;;60356142;3296;562;;60355859;3296;847;0,258;60359963;10;14;13
45;;60355364;3916;720;;60355008;3916;1078;0,362;60359960;11;15;14
46;;60354117;5061;822;;60353589;5061;1352;0,332;60359957;12;16;15
47;;60352625;6387;988;;60351909;6387;1706;0,320;60359954;13;18;16
48;;60350828;7985;1187;;60349864;7985;2153;0,171;60359950;14;19;17
49;;60349851;8794;1355;;60348496;8794;2712;0,274;60359947;15;20;18
50;;60347538;10590;1872;;60346084;10590;3328;0,070;60359943;16;22;20
51;;60347538;10590;1872;;60345343;10590;4069;0,482;60359939;17;23;21
