date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,136
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;125938346;2;0;;125938344;2;0;-0,430;125938346;0;2;0
2;;125938347;1;0;;125938345;1;0;1,070;125938346;0;2;0
3;;125938346;2;0;;125938344;2;0;0,070;125938345;0;2;0
4;;125938346;2;0;;125938344;2;0;0,570;125938345;1;2;0
5;;125938344;3;1;;125938343;3;0;0,070;125938345;1;2;1
6;;125938344;3;1;;125938342;3;1;1,070;125938345;1;2;1
7;;125938341;6;1;;125938339;6;1;0,070;125938345;1;2;1
8;;125938341;6;1;;125938339;6;1;0,737;125938344;1;2;1
9;;125938337;10;1;;125938334;10;2;0,470;125938344;1;2;1
10;;125938333;14;1;;125938330;14;2;0,427;125938344;1;2;1
11;;125938328;19;1;;125938324;19;3;0,070;125938343;1;2;1
12;;125938328;19;1;;125938322;19;5;0,070;125938343;1;2;1
13;;125938328;19;1;;125938321;19;6;0,175;125938343;1;2;2
14;;125938326;21;1;;125938318;21;7;0,070;125938343;1;2;2
15;;125938326;21;1;;125938316;21;9;1,165;125938342;1;2;2
16;;125938303;44;1;;125938292;44;10;-0,385;125938342;1;3;2
17;;125938323;24;1;;125938309;24;13;0,070;125938342;1;3;2
18;;125938323;24;1;;125938307;24;15;0,112;125938341;2;3;2
19;;125938322;25;1;;125938304;25;17;-0,050;125938341;2;3;3
20;;125938322;22;4;;125938305;22;19;-0,157;125938340;2;3;3
21;;125938322;17;9;;125938309;17;20;0,188;125938340;2;3;3
22;;125938320;19;9;;125938306;19;21;0,017;125938340;2;3;3
23;;125938320;18;10;;125938305;18;23;0,126;125938339;2;3;4
24;;125938319;19;10;;125938303;19;24;0,649;125938339;2;4;4
25;;125938305;30;13;;125938291;30;25;0,603;125938338;2;4;4
26;;125938289;46;13;;125938273;46;27;0,222;125938338;2;4;4
27;;125938282;53;13;;125938262;53;31;0,202;125938337;2;4;5
28;;125938274;60;14;;125938252;60;34;0,153;125938337;2;4;5
29;;125938264;65;19;;125938243;65;38;0,224;125938336;2;4;5
30;;125938254;75;19;;125938228;75;43;0,163;125938335;3;5;5
31;;125938243;82;23;;125938216;82;48;0,277;125938335;3;5;6
32;;125938226;99;23;;125938193;99;54;0,323;125938334;3;5;6
33;;125938201;124;23;;125938161;124;61;0,167;125938334;3;5;6
34;;125938189;136;23;;125938140;136;70;0,151;125938333;3;5;7
35;;125938178;147;23;;125938120;147;79;0,192;125938332;3;6;7
36;;125938159;165;24;;125938092;165;89;0,209;125938331;3;6;8
37;;125938134;188;26;;125938057;188;101;0,144;125938331;3;6;8
38;;125938120;202;26;;125938030;202;114;0,080;125938330;4;6;8
39;;125938107;204;37;;125938014;204;128;0,139;125938329;4;7;9
40;;125938092;218;38;;125937985;218;143;0,153;125938328;4;7;9
41;;125938074;236;38;;125937952;236;158;0,104;125938327;4;7;10
42;;125938055;244;49;;125937928;244;174;0,226;125938326;4;8;10
43;;125938017;282;49;;125937873;282;191;0,173;125938325;4;8;11
44;;125937988;311;49;;125937824;311;211;0,253;125938324;5;8;11
45;;125937928;368;52;;125937745;368;233;0,100;125938323;5;9;12
46;;125937887;379;82;;125937708;379;259;0,178;125938322;5;9;13
47;;125937846;420;82;;125937641;420;285;0,065;125938320;5;9;13
48;;125937837;418;93;;125937613;418;315;0,194;125938319;5;10;14
49;;125937767;470;111;;125937532;470;344;0,147;125938318;6;10;14
50;;125937709;506;133;;125937463;506;377;0,068;125938316;6;10;15
51;;125937709;505;134;;125937429;505;412;0,187;125938315;6;11;16
52;;125937647;564;137;;125937334;564;448;0,192;125938314;6;11;17
53;;125937575;633;140;;125937226;633;487;0,174;125938312;7;12;17
54;;125937509;699;140;;125937116;699;531;0,006;125938310;7;12;18
55;;125937523;654;171;;125937112;654;580;0,148;125938309;7;13;19
56;;125937470;705;173;;125937015;705;626;0,086;125938307;8;13;20
57;;125937459;716;173;;125936955;716;675;0,111;125938305;8;14;21
58;;125937424;745;179;;125936876;745;725;0,062;125938303;8;15;22
59;;125937385;739;224;;125936829;739;778;0,071;125938301;9;15;23
60;;125937341;740;267;;125936777;740;829;0,171;125938299;9;16;24
61;;125937262;815;271;;125936650;815;881;0,114;125938297;9;17;25
62;;125937220;851;277;;125936557;851;938;0,086;125938295;10;17;26
63;;125937155;865;328;;125936483;865;998;0,171;125938292;10;18;28
64;;125937041;952;355;;125936336;952;1058;0,100;125938290;11;19;29
65;;125936961;981;406;;125936240;981;1125;0,137;125938287;11;20;30
66;;125936880;1047;421;;125936105;1047;1194;0,251;125938285;11;20;31
67;;125936655;1237;456;;125935842;1237;1267;0,192;125938282;12;21;33
68;;125936482;1388;478;;125935605;1388;1354;0,070;125938279;12;22;34
69;;125936482;1388;478;;125935507;1388;1451;0,131;125938276;13;23;36
70;;125936395;1473;480;;125935325;1473;1548;0,189;125938273;14;24;38
71;;125936170;1649;529;;125935046;1649;1651;0,259;125938270;14;25;39
72;;125935853;1961;534;;125934619;1961;1766;0,110;125938266;15;26;41
73;;125935731;2040;577;;125934402;2040;1904;0,319;125938263;15;27;43
74;;125935209;2548;591;;125933752;2548;2046;0,070;125938259;16;28;45
75;;125935209;2548;591;;125933573;2548;2225;0,245;125938255;17;30;47
76;;125934694;2994;660;;125932949;2994;2403;0,146;125938251;17;31;49
77;;125934442;3222;684;;125932511;3222;2613;0,169;125938247;18;32;51
78;;125934091;3542;715;;125931966;3542;2838;0,183;125938242;19;34;53
79;;125933681;3941;726;;125931319;3941;3086;0,274;125938238;20;35;56
80;;125932818;4746;784;;125930238;4746;3362;0,154;125938233;20;36;58
81;;125932343;5144;861;;125929508;5144;3694;0,213;125938228;21;38;61
82;;125931600;5878;870;;125928414;5878;4054;0,170;125938223;22;40;63
83;;125930978;6463;907;;125927418;6463;4466;0,107;125938218;23;41;66
84;;125930703;6703;942;;125926725;6703;4918;0,129;125938212;24;43;69
85;;125930248;7101;999;;125925858;7101;5387;0,133;125938206;25;45;72
86;;125929722;7547;1079;;125924915;7547;5884;0,218;125938200;26;47;75
87;;125928561;8662;1125;;125923272;8661;6413;0,110;125938194;27;49;78
88;;125928052;9005;1291;;125922323;9004;7019;0,114;125938187;29;51;82
89;;125927551;9402;1395;;125921295;9401;7649;0,070;125938180;30;53;85
90;;125927551;9402;1395;;125920637;9401;8307;0,095;125938173;31;55;89
91;;125927213;9633;1502;;125919748;9632;8965;0,095;125938165;32;58;93
92;;125926836;9875;1637;;125918832;9874;9640;0,138;125938157;34;60;97
93;;125925980;10546;1822;;125917470;10545;10331;0,109;125938149;35;63;101
94;;125925519;10954;1875;;125916324;10953;11069;0,094;125938141;37;65;105
95;;125925117;11215;2016;;125915297;11214;11836;0,074;125938132;38;68;110
96;;125924907;11260;2181;;125914467;11259;12621;0,124;125938123;40;71;115
97;;125924195;11869;2284;;125913070;11868;13409;0,034;125938113;42;74;120
98;;125924612;11443;2293;;125912665;11442;14240;0,041;125938103;43;77;125
99;;125924453;11114;2781;;125912193;11113;15040;0,078;125938092;45;80;130
100;;125924260;11198;2890;;125911331;11196;15818;0,041;125938081;47;84;136
101;;125924043;10875;3430;;125910871;10873;16602;0,072;125938070;49;87;142
102;;125923777;10892;3679;;125910092;10890;17363;0,026;125938058;51;91;148
103;;125923471;10409;4468;;125909813;10407;18126;0,068;125938046;53;95;154
104;;125923270;10386;4692;;125909108;10384;18854;0,052;125938033;56;99;161
105;;125923095;10201;5052;;125908566;10199;19581;0,070;125938019;58;103;168
106;;125923095;10201;5052;;125907852;10199;20295;0,049;125938005;60;107;175
107;;125922871;9982;5495;;125907357;9980;21009;0,056;125937991;63;112;183
108;;125922773;9839;5736;;125906801;9837;21707;-0,000;125937975;66;117;190
109;;125922685;9150;6513;;125906802;9148;22396;-0,162;125937959;68;122;199
110;;125922571;7026;8751;;125908285;7025;23036;0,055;125937943;71;127;207
111;;125922501;6921;8926;;125907898;6920;23528;0,050;125937926;74;132;216
112;;125922380;6780;9188;;125907555;6779;24013;0,021;125937908;77;138;225
113;;125922299;6451;9598;;125907409;6450;24487;-0,069;125937889;81;144;235
114;;125922228;5555;10565;;125907853;5554;24939;-0,003;125937869;84;150;245
115;;125922145;5152;11051;;125907868;5151;25327;0,074;125937849;88;156;255
116;;125922111;5174;11063;;125907485;5173;25688;-0,082;125937828;91;163;266
117;;125922063;4388;11897;;125907909;4387;26050;-0,020;125937805;95;170;278
118;;125922043;3992;12313;;125907998;3991;26357;0,081;125937782;99;177;290
119;;125921981;4035;12332;;125907675;4034;26637;0,070;125937758;104;184;302
120;;125921981;4035;12332;;125907393;4034;26919;-0,193;125937733;108;192;315
121;;125921924;2975;13449;;125908170;2975;27201;-0,018;125937707;113;200;328
122;;125921835;2712;13801;;125908225;2712;27410;-0,014;125937680;117;209;342
123;;125921812;2484;14052;;125908263;2484;27599;0,003;125937651;122;218;357
124;;125921798;2317;14233;;125908256;2317;27773;-0,007;125937621;128;227;372
125;;125921767;2139;14442;;125908272;2139;27935;-0,010;125937590;133;237;388
126;;125921725;1967;14656;;125908294;1967;28085;-0,005;125937558;139;247;405
127;;125921697;1820;14831;;125908304;1820;28223;-0,039;125937525;145;257;422
128;;125921750;1621;14977;;125908375;1621;28350;0,040;125937490;151;268;440
129;;125921675;1573;15100;;125908310;1573;28464;0,059;125937453;157;279;459
130;;125921632;1555;15161;;125908218;1555;28574;0,042;125937415;164;291;478
131;;125921597;1511;15240;;125908153;1511;28683;0,013;125937375;171;304;499
132;;125921561;1425;15362;;125908133;1425;28788;0,017;125937334;178;316;520
133;;125921511;1350;15487;;125908108;1350;28888;0,003;125937291;185;330;542
134;;125921481;1260;15607;;125908104;1260;28982;0,034;125937246;193;344;565
135;;125921437;1215;15696;;125908061;1215;29071;-0,011;125937199;202;358;589
136;;125921390;1117;15841;;125908073;1117;29156;0,107;125937150;210;374;614
137;;125921348;1158;15842;;125907954;1158;29234;0,048;125937099;219;389;640
138;;125921309;1132;15907;;125907899;1132;29315;0,039;125937046;228;406;668
139;;125921288;1097;15963;;125907855;1097;29394;0,027;125936991;238;423;696
140;;125921237;1050;16061;;125907825;1050;29471;0,029;125936933;248;441;726
141;;125921202;1007;16139;;125907795;1007;29544;0,095;125936873;259;460;757
142;;125921161;1032;16155;;125907699;1032;29615;0,004;125936810;270;479;789
143;;125921098;964;16286;;125907695;964;29687;0,012;125936745;281;500;822
144;;125921055;908;16385;;125907665;926;29755;0,000;125936677;293;521;857
145;;;;;;125907637;889;29819;0,030;125936606;305;543;894
146;;;;;;125907611;854;29882;0,029;125936532;318;566;932
147;;;;;;125907585;819;29941;0,029;125936455;332;590;971
148;;;;;;125907562;786;29999;0,029;125936374;346;615;1013
149;;;;;;125907539;753;30054;0,028;125936290;361;641;1056
150;;;;;;125907518;721;30106;0,028;125936203;376;669;1101
151;;;;;;125907498;691;30157;0,027;125936112;392;697;1147
152;;;;;;125907479;661;30205;0,027;125936017;408;727;1196
153;;;;;;125907462;633;30252;0,026;125935918;426;757;1247
154;;;;;;125907445;605;30296;0,026;125935815;444;790;1300
155;;;;;;125907429;578;30338;0,026;125935707;463;823;1355
156;;;;;;125907415;553;30379;0,025;125935595;482;858;1413
157;;;;;;125907401;528;30417;0,025;125935478;503;894;1473
158;;;;;;125907388;504;30454;0,024;125935356;524;932;1536
159;;;;;;125907375;481;30490;0,024;125935229;546;972;1601
160;;;;;;125907364;459;30523;0,024;125935096;570;1013;1669
161;;;;;;125907353;437;30555;0,023;125934958;594;1056;1740
162;;;;;;125907343;417;30586;0,023;125934814;619;1101;1814
163;;;;;;125907334;397;30615;0,022;125934664;645;1148;1891
164;;;;;;125907325;378;30643;0,022;125934508;673;1196;1971
165;;;;;;125907316;360;30670;0,022;125934345;701;1247;2055
166;;;;;;125907308;343;30695;0,021;125934175;731;1300;2142
167;;;;;;125907301;326;30719;0,021;125933998;762;1355;2233
168;;;;;;125907294;310;30742;0,021;125933813;794;1413;2328
169;;;;;;125907288;295;30763;0,020;125933620;828;1473;2427
170;;;;;;125907282;280;30784;0,020;125933420;863;1535;2530
171;;;;;;125907276;266;30804;0,020;125933210;900;1600;2638
172;;;;;;125907271;253;30822;0,019;125932992;938;1668;2750
173;;;;;;125907266;240;30840;0,019;125932765;978;1739;2866
174;;;;;;125907261;228;30857;0,019;125932528;1019;1813;2988
175;;;;;;125907257;216;30873;0,019;125932281;1062;1890;3115
176;;;;;;125907253;205;30888;0,018;125932023;1107;1970;3247
177;;;;;;125907249;194;30902;0,018;125931755;1154;2054;3385
178;;;;;;125907246;184;30916;0,018;125931475;1203;2141;3529
179;;;;;;125907243;175;30929;0,017;125931183;1255;2232;3679
180;;;;;;125907240;166;30941;0,017;125930879;1308;2326;3835
181;;;;;;125907237;157;30952;0,017;125930562;1363;2425;3998
182;;;;;;125907234;148;30963;0,017;125930231;1421;2528;4168
183;;;;;;125907232;140;30974;0,016;125929887;1481;2635;4345
184;;;;;;125907229;133;30984;0,016;125929528;1544;2747;4529
185;;;;;;125907227;126;30993;0,016;125929153;1610;2864;4721
186;;;;;;125907225;119;31002;0,016;125928763;1678;2985;4922
187;;;;;;125907223;112;31010;0,015;125928356;1749;3112;5131
188;;;;;;125907222;106;31018;0,015;125927932;1824;3244;5349
189;;;;;;125907220;100;31025;0,015;125927490;1901;3381;5576
190;;;;;;125907219;95;31032;0,015;125927029;1982;3525;5812
191;;;;;;125907217;90;31039;0,014;125926549;2066;3675;6059
192;;;;;;125907216;85;31045;0,014;125926048;2153;3830;6316
193;;;;;;125907215;80;31051;0,014;125925526;2245;3993;6584
194;;;;;;125907214;75;31057;0,014;125924982;2340;4162;6864
