date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,209
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;18280000;0;0;;0;0;0;0,000;0;0;0;0
2;;18280000;0;0;;0;0;0;0,000;0;0;0;0
3;;18280000;0;0;;0;0;0;0,000;0;0;0;0
4;;18280000;0;0;;0;0;0;0,000;0;0;0;0
5;;18280000;0;0;;0;0;0;0,000;0;0;0;0
6;;18280000;0;0;;0;0;0;0,000;0;0;0;0
7;;18280000;0;0;;0;0;0;0,000;0;0;0;0
8;;18280000;0;0;;0;0;0;0,000;0;0;0;0
9;;18280000;0;0;;0;0;0;0,000;0;0;0;0
10;;18280000;0;0;;0;0;0;0,000;0;0;0;0
11;;18280000;0;0;;0;0;0;0,000;0;0;0;0
12;;18280000;0;0;;0;0;0;0,000;0;0;0;0
13;;18280000;0;0;;0;0;0;0,000;0;0;0;0
14;;18280000;0;0;;0;0;0;0,000;0;0;0;0
15;;18280000;0;0;;0;0;0;0,000;0;0;0;0
16;;18280000;0;0;;0;0;0;0,000;0;0;0;0
17;;18280000;0;0;;0;0;0;0,000;0;0;0;0
18;;18280000;0;0;;0;0;0;0,000;0;0;0;0
19;;18280000;0;0;;0;0;0;0,000;0;0;0;0
20;;18280000;0;0;;0;0;0;0,000;0;0;0;0
21;;18280000;0;0;;0;0;0;0,000;0;0;0;0
22;;18280000;0;0;;0;0;0;0,000;0;0;0;0
23;;18280000;0;0;;0;0;0;0,000;0;0;0;0
24;;18280000;0;0;;0;0;0;0,000;0;0;0;0
25;;18280000;0;0;;0;0;0;0,000;0;0;0;0
26;;18280000;0;0;;0;0;0;0,000;0;0;0;0
27;;18280000;0;0;;0;0;0;0,000;0;0;0;0
28;;18280000;0;0;;0;0;0;0,000;0;0;0;0
29;;18280000;0;0;;0;0;0;0,000;0;0;0;0
30;;18280000;0;0;;0;0;0;0,000;0;0;0;0
31;;18280000;0;0;;0;0;0;0,000;0;0;0;0
32;;18280000;0;0;;0;0;0;0,000;0;0;0;0
33;;18280000;0;0;;0;0;0;0,000;0;0;0;0
34;;18280000;0;0;;0;0;0;0,000;0;0;0;0
35;;18280000;0;0;;0;0;0;0,000;0;0;0;0
36;;18280000;0;0;;0;0;0;0,000;0;0;0;0
37;;18280000;0;0;;0;0;0;0,000;0;0;0;0
38;;18280000;0;0;;0;0;0;0,000;0;0;0;0
39;;18280000;0;0;;0;0;0;0,000;0;0;0;0
40;;18280000;0;0;;0;0;0;0,000;0;0;0;0
41;;18280000;0;0;;0;0;0;0,000;0;0;0;0
42;;18280000;0;0;;0;0;0;0,000;0;0;0;0
43;;18280000;0;0;;0;0;0;0,000;0;0;0;0
44;;18280000;0;0;;0;0;0;0,000;0;0;0;0
45;;18280000;0;0;;0;0;0;0,000;0;0;0;0
46;;18280000;0;0;;0;0;0;0,000;0;0;0;0
47;;18280000;0;0;;0;0;0;0,000;0;0;0;0
48;;18280000;0;0;;0;0;0;0,000;0;0;0;0
49;;18280000;0;0;;0;0;0;0,000;0;0;0;0
50;;18280000;0;0;;0;0;0;0,000;0;0;0;0
51;;18280000;0;0;;0;0;0;0,000;0;0;0;0
52;;18279996;4;0;;18279996;4;0;0,570;18279996;0;4;0
53;;18279994;6;0;;18279994;6;0;0,570;18279995;1;4;0
54;;18279991;9;0;;18279990;9;1;0,181;18279994;1;4;1
55;;18279990;10;0;;18279989;10;1;2,370;18279994;2;4;1
56;;18279967;33;0;;18279965;33;2;0,131;18279993;2;4;1
57;;18279965;35;0;;18279961;35;4;0,327;18279992;3;4;1
58;;18279956;44;0;;18279949;44;7;0,115;18279991;3;4;2
59;;18279951;46;3;;18279944;46;10;0,222;18279990;3;5;2
60;;18279947;53;0;;18279934;53;13;0,183;18279989;4;5;2
61;;18279941;59;0;;18279924;59;17;0,121;18279988;4;5;3
62;;18279938;62;0;;18279917;62;21;0,231;18279987;4;6;3
63;;18279928;72;0;;18279903;72;25;0,195;18279986;5;6;3
64;;18279919;81;0;;18279889;81;30;0,403;18279985;5;7;4
65;;18279889;108;3;;18279856;108;36;0,422;18279983;5;7;4
66;;18279850;146;4;;18279810;146;44;0,515;18279982;6;8;5
67;;18279772;211;17;;18279735;211;54;0,316;18279980;6;8;5
68;;18279716;263;21;;18279668;263;69;0,135;18279979;7;9;6
69;;18279698;280;22;;18279633;280;87;0,202;18279977;7;10;6
70;;18279657;317;26;;18279576;317;107;0,177;18279975;8;10;7
71;;18279620;351;29;;18279520;351;129;0,224;18279973;8;11;8
72;;18279565;405;30;;18279442;405;153;0,129;18279970;9;12;9
73;;18279536;429;35;;18279389;429;182;0,212;18279968;10;13;9
74;;18279469;490;41;;18279298;490;212;0,164;18279965;11;14;10
75;;18279416;536;48;;18279218;536;246;0,208;18279962;11;15;11
76;;18279338;610;52;;18279107;610;283;0,119;18279959;12;16;12
77;;18279303;640;57;;18279034;640;326;0,111;18279956;13;18;14
78;;18279273;666;61;;18278963;666;371;0,141;18279952;14;19;15
79;;18279219;713;68;;18278869;713;418;0,105;18279948;15;21;16
80;;18279188;738;74;;18278794;738;468;0,119;18279944;17;22;18
81;;18279135;774;91;;18278707;774;519;0,158;18279939;18;24;19
82;;18279049;842;109;;18278585;842;573;0,188;18279934;19;26;21
83;;18278909;941;150;;18278427;941;632;0,149;18279928;21;28;23
84;;18278768;1015;217;;18278287;1015;698;0,094;18279923;23;30;25
85;;18278705;1039;256;;18278192;1039;769;0,136;18279916;24;33;27
86;;18278598;1108;294;;18278050;1108;842;0,137;18279909;26;35;29
87;;18278454;1182;364;;18277899;1182;920;0,103;18279902;28;38;31
88;;18278385;1221;394;;18277777;1221;1002;0,101;18279894;31;41;34
89;;18278324;1259;417;;18277653;1259;1088;0,171;18279885;33;44;37
90;;18278148;1386;466;;18277438;1386;1176;0,143;18279876;36;48;40
91;;18278005;1487;508;;18277240;1487;1273;0,147;18279866;39;52;43
92;;18277865;1601;534;;18277022;1601;1377;0,137;18279855;42;56;47
93;;18277711;1709;580;;18276802;1709;1489;0,154;18279844;45;60;51
94;;18277518;1853;629;;18276539;1853;1609;0,112;18279831;49;65;55
95;;18277399;1930;671;;18276332;1930;1738;0,111;18279817;53;70;60
96;;18277283;2010;707;;18276117;2010;1873;0,110;18279803;57;76;65
97;;18277165;2090;745;;18275896;2090;2014;0,136;18279787;61;82;70
98;;18276973;2228;799;;18275612;2228;2160;0,100;18279770;66;88;76
99;;18276862;2294;844;;18275390;2294;2316;0,165;18279751;71;95;82
100;;18276598;2511;891;;18275012;2511;2477;0,125;18279731;77;103;89
101;;18276403;2650;947;;18274698;2650;2653;0,144;18279710;83;111;96
102;;18276143;2847;1010;;18274315;2847;2838;0,057;18279686;90;120;104
103;;18276080;2809;1111;;18274154;2809;3037;0,084;18279661;97;130;112
104;;18275951;2847;1202;;18273919;2847;3234;0,088;18279634;105;140;121
105;;18275795;2897;1308;;18273670;2897;3433;0,100;18279605;113;151;131
106;;18275578;2984;1438;;18273381;2983;3636;0,085;18279573;122;163;141
107;;18275422;3030;1548;;18273126;3029;3845;0,117;18279539;132;176;153
108;;18275166;3172;1662;;18272772;3171;4057;0,069;18279502;142;190;165
