date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,139
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;51410183;1;0;;51410184;1;0;0,070;51410183;0;1;0
2;;51410183;1;0;;51410184;1;0;1,070;51410183;0;1;0
3;;51410182;2;0;;51410183;2;0;0,070;51410182;0;2;0
4;;51410182;2;0;;51410183;2;0;0,570;51410182;0;2;0
5;;51410181;3;0;;51410182;3;0;0,403;51410181;1;2;0
6;;51410180;4;0;;51410180;4;1;0,070;51410181;1;2;1
7;;51410180;4;0;;51410180;4;1;0,070;51410181;1;2;1
8;;51410180;4;0;;51410180;4;1;0,070;51410181;1;2;1
9;;51410180;4;0;;51410180;4;1;1,820;51410180;1;2;1
10;;51410173;11;0;;51410172;11;2;0,161;51410180;1;2;1
11;;51410172;12;0;;51410170;12;3;0,320;51410180;1;2;1
12;;51410169;15;0;;51410167;15;3;0,070;51410180;1;2;1
13;;51410169;15;0;;51410166;15;4;0,137;51410179;1;2;2
14;;51410168;16;0;;51410164;16;5;0,258;51410179;1;2;2
15;;51410165;19;0;;51410159;19;7;0,281;51410179;1;3;2
16;;51410161;23;0;;51410154;23;8;0,070;51410178;1;3;2
17;;51410160;23;1;;51410152;23;10;0,070;51410178;2;3;2
18;;51410160;23;1;;51410151;23;11;0,027;51410177;2;3;2
19;;51410159;22;3;;51410150;22;13;0,161;51410177;2;3;3
20;;51410157;24;3;;51410147;24;14;0,112;51410177;2;3;3
21;;51410156;25;3;;51410144;25;16;-0,090;51410176;2;3;3
22;;51410156;21;7;;51410146;21;18;0,070;51410176;2;3;3
23;;51410156;21;7;;51410145;21;19;0,070;51410175;2;4;4
24;;51410156;21;7;;51410143;21;21;-0,025;51410175;2;4;4
25;;51410156;19;9;;51410144;19;22;0,123;51410174;2;4;4
26;;51410155;20;9;;51410142;20;23;0,070;51410174;2;4;4
27;;51410154;20;10;;51410140;20;25;0,020;51410173;2;4;5
28;;51410153;19;12;;51410140;19;26;0,070;51410173;2;4;5
29;;51410153;19;12;;51410138;19;28;3,649;51410172;3;5;5
30;;51410080;87;17;;51410069;87;29;1,208;51410171;3;5;5
31;;51409980;186;18;;51409964;186;35;1,301;51410171;3;5;6
32;;51409751;415;18;;51409722;415;48;0,463;51410170;3;5;6
33;;51409582;578;24;;51409530;578;77;0,466;51410169;3;5;7
34;;51409351;807;26;;51409260;807;118;0,241;51410169;3;6;7
35;;51409207;945;32;;51409066;945;174;0,368;51410168;3;6;7
36;;51408923;1227;34;;51408718;1227;240;0,481;51410167;4;6;8
37;;51408418;1731;35;;51408128;1731;326;0,400;51410166;4;6;8
38;;51407847;2302;35;;51407436;2302;447;0,420;51410165;4;7;9
39;;51407034;3107;43;;51406470;3107;608;0,257;51410164;4;7;9
40;;51406448;3689;47;;51405670;3689;826;0,229;51410163;4;7;10
41;;51405849;4277;58;;51404824;4277;1084;0,269;51410162;4;8;10
42;;51404998;5128;58;;51403674;5128;1383;0,151;51410161;5;8;11
43;;51404563;5545;76;;51402898;5545;1742;0,154;51410160;5;8;11
44;;51404096;6012;76;;51402043;6012;2131;0,137;51410159;5;9;12
45;;51403591;6416;177;;51401218;6416;2551;0,140;51410158;5;9;12
46;;51403143;6862;179;;51400323;6862;3001;0,111;51410156;5;9;13
47;;51402870;7146;168;;51399558;7146;3481;0,093;51410155;6;10;14
48;;51402706;7307;171;;51398897;7307;3981;0,057;51410154;6;10;14
49;;51402671;7212;301;;51398481;7212;4492;0,097;51410152;6;11;15
50;;51402429;7407;348;;51397781;7407;4997;0,079;51410151;6;11;16
51;;51402315;7470;399;;51397200;7469;5516;0,061;51410149;7;12;17
52;;51402205;7403;576;;51396744;7402;6039;0,084;51410148;7;12;17
53;;51402098;7504;582;;51396125;7503;6557;0,080;51410146;7;13;18
54;;51402022;7577;585;;51395527;7576;7082;-0,003;51410144;8;13;19
55;;51401948;7024;1212;;51395549;7023;7612;0,043;51410142;8;14;20
56;;51401864;6832;1488;;51395250;6831;8104;0,064;51410140;8;15;21
57;;51401771;6789;1624;;51394815;6788;8582;0,091;51410138;9;15;22
58;;51401619;6934;1631;;51394194;6933;9057;0,082;51410136;9;16;23
59;;51401532;7018;1634;;51393625;7017;9543;0,090;51410134;9;17;24
60;;51401385;7157;1642;;51392995;7156;10034;-0,108;51410132;10;17;25
61;;51401287;5884;3013;;51393767;5883;10535;0,036;51410129;10;18;27
62;;51401223;5684;3277;;51393555;5683;10947;0,022;51410127;11;19;28
63;;51401147;5410;3627;;51393431;5409;11344;0,046;51410124;11;20;29
64;;51401047;5281;3856;;51393182;5280;11723;0,010;51410122;12;21;31
65;;51400943;4966;4275;;51393127;4965;12093;0,009;51410119;12;21;32
66;;51400852;4665;4667;;51393080;4664;12440;0,040;51410116;13;22;34
