date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,143
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;1920000;0;0;;0;0;0;0,000;0;0;0;0
2;;1920000;0;0;;0;0;0;0,000;0;0;0;0
3;;1920000;0;0;;0;0;0;0,000;0;0;0;0
4;;1920000;0;0;;0;0;0;0,000;0;0;0;0
5;;1920000;0;0;;0;0;0;0,000;0;0;0;0
6;;1920000;0;0;;0;0;0;0,000;0;0;0;0
7;;1920000;0;0;;0;0;0;0,000;0;0;0;0
8;;1920000;0;0;;0;0;0;0,000;0;0;0;0
9;;1920000;0;0;;0;0;0;0,000;0;0;0;0
10;;1920000;0;0;;0;0;0;0,000;0;0;0;0
11;;1920000;0;0;;0;0;0;0,000;0;0;0;0
12;;1920000;0;0;;0;0;0;0,000;0;0;0;0
13;;1920000;0;0;;0;0;0;0,000;0;0;0;0
14;;1920000;0;0;;0;0;0;0,000;0;0;0;0
15;;1920000;0;0;;0;0;0;0,000;0;0;0;0
16;;1920000;0;0;;0;0;0;0,000;0;0;0;0
17;;1920000;0;0;;0;0;0;0,000;0;0;0;0
18;;1920000;0;0;;0;0;0;0,000;0;0;0;0
19;;1920000;0;0;;0;0;0;0,000;0;0;0;0
20;;1920000;0;0;;0;0;0;0,000;0;0;0;0
21;;1920000;0;0;;0;0;0;0,000;0;0;0;0
22;;1920000;0;0;;0;0;0;0,000;0;0;0;0
23;;1920000;0;0;;0;0;0;0,000;0;0;0;0
24;;1920000;0;0;;0;0;0;0,000;0;0;0;0
25;;1920000;0;0;;0;0;0;0,000;0;0;0;0
26;;1920000;0;0;;0;0;0;0,000;0;0;0;0
27;;1920000;0;0;;0;0;0;0,000;0;0;0;0
28;;1920000;0;0;;0;0;0;0,000;0;0;0;0
29;;1920000;0;0;;0;0;0;0,000;0;0;0;0
30;;1920000;0;0;;0;0;0;0,000;0;0;0;0
31;;1920000;0;0;;0;0;0;0,000;0;0;0;0
32;;1920000;0;0;;0;0;0;0,000;0;0;0;0
33;;1920000;0;0;;0;0;0;0,000;0;0;0;0
34;;1920000;0;0;;0;0;0;0,000;0;0;0;0
35;;1920000;0;0;;0;0;0;0,000;0;0;0;0
36;;1920000;0;0;;0;0;0;0,000;0;0;0;0
37;;1920000;0;0;;0;0;0;0,000;0;0;0;0
38;;1920000;0;0;;0;0;0;0,000;0;0;0;0
39;;1920000;0;0;;0;0;0;0,000;0;0;0;0
40;;1920000;0;0;;0;0;0;0,000;0;0;0;0
41;;1919999;1;0;;1919999;1;0;0,070;1919999;0;1;0
42;;1919999;1;0;;1919999;1;0;0,070;1919999;0;1;0
43;;1919999;1;0;;1919999;1;0;0,070;1919999;0;1;0
44;;1919999;1;0;;1919999;1;0;0,070;1919999;0;1;0
45;;1919999;1;0;;1919999;1;0;0,070;1919999;0;1;0
46;;1919999;1;0;;1919999;1;0;1,070;1919999;0;1;0
