date:;01-22-2020;;;;;SIR;CKO;0,000000000000;;SEIR;CKO;3,464101615138;0,000100000000
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;5053947;0;0;;0;0;0;;0;0;0;0
2;;5053947;0;0;;0;0;0;;0;0;0;0
3;;5053947;0;0;;0;0;0;;0;0;0;0
4;;5053947;0;0;;0;0;0;;0;0;0;0
5;;5053947;0;0;;0;0;0;;0;0;0;0
6;;5053947;0;0;;0;0;0;;0;0;0;0
7;;5053947;0;0;;0;0;0;;0;0;0;0
8;;5053947;0;0;;0;0;0;;0;0;0;0
9;;5053947;0;0;;0;0;0;;0;0;0;0
10;;5053947;0;0;;0;0;0;;0;0;0;0
11;;5053947;0;0;;0;0;0;;0;0;0;0
12;;5053947;0;0;;0;0;0;;0;0;0;0
13;;5053947;0;0;;0;0;0;;0;0;0;0
14;;5053947;0;0;;0;0;0;;0;0;0;0
15;;5053947;0;0;;0;0;0;;0;0;0;0
16;;5053947;0;0;;0;0;0;;0;0;0;0
17;;5053947;0;0;;0;0;0;;0;0;0;0
18;;5053947;0;0;;0;0;0;;0;0;0;0
19;;5053947;0;0;;0;0;0;;0;0;0;0
20;;5053947;0;0;;0;0;0;;0;0;0;0
21;;5053947;0;0;;0;0;0;;0;0;0;0
22;;5053947;0;0;;0;0;0;;0;0;0;0
23;;5053947;0;0;;0;0;0;;0;0;0;0
24;;5053947;0;0;;0;0;0;;0;0;0;0
25;;5053947;0;0;;0;0;0;;0;0;0;0
26;;5053947;0;0;;0;0;0;;0;0;0;0
27;;5053947;0;0;;0;0;0;;0;0;0;0
28;;5053947;0;0;;0;0;0;;0;0;0;0
29;;5053947;0;0;;0;0;0;;0;0;0;0
30;;5053947;0;0;;0;0;0;;0;0;0;0
31;;5053947;0;0;;0;0;0;;0;0;0;0
32;;5053947;0;0;;0;0;0;;0;0;0;0
33;;5053947;0;0;;0;0;0;;0;0;0;0
34;;5053947;0;0;;0;0;0;;0;0;0;0
35;;5053947;0;0;;0;0;0;;0;0;0;0
36;;5053947;0;0;;0;0;0;;0;0;0;0
37;;5053947;0;0;;0;0;0;;0;0;0;0
38;;5053947;0;0;;0;0;0;;0;0;0;0
39;;5053947;0;0;;0;0;0;;0;0;0;0
40;;5053947;0;0;;0;0;0;;0;0;0;0
41;;5053947;0;0;;0;0;0;;0;0;0;0
42;;5053947;0;0;;0;0;0;;0;0;0;0
43;;5053947;0;0;;0;0;0;;0;0;0;0
44;;5053947;0;0;;0;0;0;;0;0;0;0
45;;5053947;0;0;;0;0;0;;0;0;0;0
46;;5053947;0;0;;0;0;0;;0;0;0;0
47;;5053947;0;0;;0;0;0;;0;0;0;0
48;;5053947;0;0;;0;0;0;;0;0;0;0
49;;5053947;0;0;;0;0;0;;0;0;0;0
50;;5053947;0;0;;0;0;0;;0;0;0;0
51;;5053947;0;0;;0;0;0;;0;0;0;0
52;;5053947;0;0;;0;0;0;;0;0;0;0
53;;5053947;0;0;;0;0;0;;0;0;0;0
54;;5053947;0;0;;0;0;0;;0;0;0;0
55;;5053946;1;0;;5053946;1;0;;5053946;0;1;0
56;;5053946;1;0;;5053946;1;0;;5053946;0;1;0
57;;5053945;2;0;;5053945;2;0;;5053945;0;2;0
58;;5053945;2;0;;5053945;2;0;;5053945;0;2;0
59;;5053945;2;0;;5053945;2;0;;5053945;0;2;0
60;;5053944;3;0;;5053943;3;1;;5053945;0;2;1
61;;5053944;3;0;;5053943;3;1;;5053945;0;1;1
62;;5053944;3;0;;5053943;3;1;;5053945;0;1;1
63;;5053944;3;0;;5053943;3;1;;5053945;0;1;1
64;;5053944;3;0;;5053943;3;1;;5053945;0;1;1
65;;5053944;3;0;;5053942;3;2;;5053945;0;1;1
66;;5053944;3;0;;5053942;3;2;;5053945;0;1;1
67;;5053944;3;0;;5053942;3;2;;5053944;0;3;1
68;;5053944;3;0;;5053942;3;2;;5053944;0;3;1
69;;5053944;3;0;;5053942;3;2;;5053944;0;3;2
70;;5053944;3;0;;5053941;3;3;;5053944;0;2;2
71;;5053941;6;0;;5053938;6;3;;5053944;0;2;2
72;;5053941;6;0;;5053938;6;3;;5053944;0;2;2
73;;5053940;7;0;;5053936;7;4;;5053944;0;2;2
74;;5053937;6;4;;5053937;6;4;;5053944;0;2;2
75;;5053934;7;6;;5053935;7;5;;5053944;0;2;2
76;;5053933;8;6;;5053934;8;5;;5053944;0;2;3
77;;5053933;8;6;;5053933;8;6;;5053944;0;1;3
78;;5053916;24;7;;5053917;24;6;;5053944;0;1;3
79;;5053916;24;7;;5053915;24;8;;5053944;0;1;3
80;;5053910;29;8;;5053908;29;10;;5053944;0;1;3
81;;5053899;40;8;;5053895;40;12;;5053944;0;1;3
82;;5053897;42;8;;5053891;42;14;;5053944;0;1;3
83;;5053888;49;10;;5053881;49;17;;5053888;0;49;3
84;;5053888;49;10;;5053877;49;21;;5053888;0;46;7
85;;5053888;49;10;;5053874;49;24;;5053888;0;42;10
86;;5053888;49;10;;5053870;49;28;;5053888;0;39;13
87;;5053871;62;14;;5053854;62;31;;5053888;0;37;16
88;;5053871;62;14;;5053850;62;35;;5053888;0;34;18
89;;5053856;76;15;;5053831;76;40;;5053888;0;32;21
90;;5053848;84;15;;5053818;84;45;;5053888;0;29;23
91;;5053846;86;15;;5053810;86;51;;5053888;0;27;25
92;;5053846;73;28;;5053817;73;57;;5053888;0;26;27
93;;5053846;73;28;;5053812;73;62;;5053888;0;24;29
94;;5053830;84;33;;5053796;84;67;;5053888;0;22;30
95;;5053827;84;36;;5053790;84;73;;5053888;0;21;32
96;;5053823;87;37;;5053781;87;79;;5053888;0;19;33
97;;5053823;87;37;;5053775;87;85;;5053888;0;18;35
98;;5053806;80;61;;5053776;80;91;;5053888;0;17;36
99;;5053806;80;61;;5053770;80;97;;5053888;0;15;37
100;;5053806;80;61;;5053765;80;102;;5053888;0;14;38
101;;5053795;89;63;;5053750;89;108;;5053888;0;13;39
102;;5053793;88;66;;5053745;88;114;;5053888;0;12;40
103;;5053789;82;76;;5053745;82;120;;5053888;0;12;41
104;;5053781;90;76;;5053731;90;126;;5053888;0;11;42
105;;5053777;92;78;;5053723;92;132;;5053888;0;10;42
106;;5053769;83;95;;5053725;83;139;;5053888;0;9;43
107;;5053758;90;99;;5053712;90;145;;5053888;0;9;44
108;;5053748;100;99;;5053696;100;151;;5053888;0;8;44
109;;5053748;100;99;;5053689;100;158;;5053888;0;7;45
110;;5053748;100;99;;5053682;100;165;;5053888;0;7;45
111;;5053736;106;105;;5053669;106;172;;5053888;0;6;46
112;;5053736;106;105;;5053662;106;179;;5053888;0;6;46
113;;5053734;92;121;;5053668;92;187;;5053888;0;6;47
114;;5053732;90;125;;5053664;90;193;;5053888;0;5;47
115;;5053728;91;128;;5053657;91;199;;5053888;0;5;47
116;;;;;;5053649;92;206;;5053888;0;4;48
117;;;;;;5053642;93;212;;5053888;0;4;48
118;;;;;;5053634;94;219;;5053888;0;4;48
119;;;;;;5053626;95;225;;5053888;0;4;49
120;;;;;;5053619;96;232;;5053888;0;3;49
121;;;;;;5053611;97;239;;5053888;0;3;49
122;;;;;;5053603;98;246;;5053888;0;3;49
123;;;;;;5053595;99;252;;5053888;0;3;50
124;;;;;;5053587;101;259;;5053888;0;3;50
125;;;;;;5053579;102;266;;5053888;0;2;50
126;;;;;;5053571;103;274;;5053888;0;2;50
127;;;;;;5053562;104;281;;5053888;0;2;50
128;;;;;;5053554;105;288;;5053888;0;2;50
129;;;;;;5053545;106;295;;5053888;0;2;51
130;;;;;;5053537;107;303;;5053888;0;2;51
131;;;;;;5053528;109;310;;5053888;0;2;51
132;;;;;;5053519;110;318;;5053888;0;1;51
133;;;;;;5053510;111;326;;5053888;0;1;51
134;;;;;;5053501;112;333;;5053888;0;1;51
135;;;;;;5053492;113;341;;5053888;0;1;51
136;;;;;;5053483;115;349;;5053888;0;1;51
137;;;;;;5053474;116;357;;5053888;0;1;51
138;;;;;;5053464;117;365;;5053888;0;1;51
139;;;;;;5053455;119;374;;5053888;0;1;51
