date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,224
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;17280000;0;0;;0;0;0;0,000;0;0;0;0
2;;17280000;0;0;;0;0;0;0,000;0;0;0;0
3;;17280000;0;0;;0;0;0;0,000;0;0;0;0
4;;17280000;0;0;;0;0;0;0,000;0;0;0;0
5;;17280000;0;0;;0;0;0;0,000;0;0;0;0
6;;17280000;0;0;;0;0;0;0,000;0;0;0;0
7;;17280000;0;0;;0;0;0;0,000;0;0;0;0
8;;17280000;0;0;;0;0;0;0,000;0;0;0;0
9;;17280000;0;0;;0;0;0;0,000;0;0;0;0
10;;17280000;0;0;;0;0;0;0,000;0;0;0;0
11;;17280000;0;0;;0;0;0;0,000;0;0;0;0
12;;17280000;0;0;;0;0;0;0,000;0;0;0;0
13;;17280000;0;0;;0;0;0;0,000;0;0;0;0
14;;17280000;0;0;;0;0;0;0,000;0;0;0;0
15;;17280000;0;0;;0;0;0;0,000;0;0;0;0
16;;17280000;0;0;;0;0;0;0,000;0;0;0;0
17;;17280000;0;0;;0;0;0;0,000;0;0;0;0
18;;17280000;0;0;;0;0;0;0,000;0;0;0;0
19;;17280000;0;0;;0;0;0;0,000;0;0;0;0
20;;17280000;0;0;;0;0;0;0,000;0;0;0;0
21;;17280000;0;0;;0;0;0;0,000;0;0;0;0
22;;17280000;0;0;;0;0;0;0,000;0;0;0;0
23;;17280000;0;0;;0;0;0;0,000;0;0;0;0
24;;17280000;0;0;;0;0;0;0,000;0;0;0;0
25;;17280000;0;0;;0;0;0;0,000;0;0;0;0
26;;17280000;0;0;;0;0;0;0,000;0;0;0;0
27;;17280000;0;0;;0;0;0;0,000;0;0;0;0
28;;17280000;0;0;;0;0;0;0,000;0;0;0;0
29;;17280000;0;0;;0;0;0;0,000;0;0;0;0
30;;17280000;0;0;;0;0;0;0,000;0;0;0;0
31;;17280000;0;0;;0;0;0;0,000;0;0;0;0
32;;17280000;0;0;;0;0;0;0,000;0;0;0;0
33;;17280000;0;0;;0;0;0;0,000;0;0;0;0
34;;17280000;0;0;;0;0;0;0,000;0;0;0;0
35;;17280000;0;0;;0;0;0;0,000;0;0;0;0
36;;17280000;0;0;;0;0;0;0,000;0;0;0;0
37;;17279999;1;0;;17280000;1;0;0,070;17279999;0;1;0
38;;17279999;1;0;;17280000;1;0;5,070;17279999;0;1;0
39;;17279994;6;0;;17279995;6;0;0,737;17279994;0;6;0
40;;17279990;10;0;;17279990;10;1;0,870;17279993;2;6;1
41;;17279982;18;0;;17279982;18;1;0,403;17279991;3;6;1
42;;17279976;24;0;;17279974;24;3;0,653;17279990;3;6;1
43;;17279962;38;0;;17279959;38;4;1,228;17279989;4;6;2
44;;17279918;82;0;;17279912;82;7;0,619;17279988;4;6;2
45;;17279872;127;1;;17279861;127;13;0,542;17279986;5;7;3
46;;17279812;187;1;;17279793;187;21;0,471;17279985;6;7;3
47;;17279735;262;3;;17279704;262;35;0,284;17279983;6;8;4
48;;17279679;318;3;;17279630;318;53;0,259;17279981;7;9;4
49;;17279618;378;4;;17279548;378;75;0,387;17279979;7;9;5
50;;17279497;498;5;;17279401;498;102;0,070;17279977;8;10;5
51;;17279497;498;5;;17279367;498;136;0,664;17279975;9;11;6
52;;17279196;794;10;;17279036;794;171;0,260;17279972;9;12;7
53;;17279041;945;14;;17278829;945;227;0,248;17279970;10;13;8
54;;17278865;1113;22;;17278595;1113;293;0,317;17279967;11;14;9
55;;17278586;1388;26;;17278242;1388;371;0,268;17279964;12;15;10
56;;17278292;1663;45;;17277870;1663;468;0,270;17279960;13;17;11
57;;17277944;1996;60;;17277420;1996;585;0,265;17279957;14;18;12
58;;17277535;2386;79;;17276891;2386;724;0,283;17279953;15;20;13
59;;17276997;2894;109;;17276216;2894;891;0,280;17279948;17;21;14
60;;17276360;3501;139;;17275406;3501;1094;0,222;17279943;18;23;16
61;;17275783;4034;183;;17274628;4034;1339;0,197;17279938;20;25;18
62;;17275236;4547;217;;17273833;4547;1621;0,236;17279933;21;27;19
63;;17274420;5300;280;;17272762;5300;1940;0,217;17279927;23;30;21
64;;17273562;6077;361;;17271614;6076;2311;0,226;17279920;25;32;23
65;;17272532;7027;441;;17270239;7026;2736;0,222;17279913;27;35;26
66;;17271353;8094;553;;17268681;8093;3228;0,203;17279905;30;38;28
67;;17270181;9173;646;;17267035;9171;3794;0,150;17279897;32;41;31
68;;17269070;9905;1025;;17265662;9903;4436;0,150;17279887;35;45;34
69;;17268183;10699;1118;;17264175;10696;5129;0,133;17279877;38;49;37
70;;17267333;11374;1293;;17262752;11371;5878;0,148;17279866;41;53;40
71;;17266304;12261;1435;;17261070;12257;6674;0,146;17279855;45;57;44
72;;17265212;13187;1601;;17259286;13182;7532;0,137;17279842;49;62;48
73;;17264179;14071;1750;;17257481;14066;8455;0,123;17279828;53;68;52
74;;17263273;14809;1918;;17255759;14803;9439;0,146;17279813;57;73;57
75;;17262047;15925;2028;;17253608;15917;10476;0,125;17279796;62;80;62
76;;17261074;16794;2132;;17251626;16785;11590;0,102;17279778;68;87;68
77;;17260291;17329;2380;;17249918;17319;12765;0,118;17279759;74;94;74
78;;17259318;18155;2527;;17247881;18143;13977;0,129;17279738;80;102;80
79;;17258097;19222;2681;;17245546;19208;15247;0,134;17279715;87;111;87
80;;17256751;20442;2807;;17242985;20425;16592;0,128;17279690;94;121;95
81;;17255429;21627;2944;;17240373;21607;18021;0,120;17279663;102;131;104
82;;17254254;22704;3042;;17237787;22680;19534;0,109;17279634;111;142;113
83;;17253290;23582;3128;;17235324;23555;21121;0,102;17279602;121;155;123
84;;17252420;24328;3252;;17232933;24298;22770;0,092;17279568;131;168;134
85;;17251684;24867;3449;;17230696;24834;24471;0,105;17279530;143;183;145
86;;17250617;25745;3638;;17228084;25707;26210;0,112;17279489;155;198;158
87;;17249381;26833;3786;;17225202;26790;28009;0,108;17279445;168;215;172
88;;17248234;27836;3930;;17222329;27787;29884;0,106;17279397;183;234;187
89;;17247162;28819;4019;;17219407;28764;31829;0,094;17279344;199;254;204
90;;17246412;29502;4086;;17216717;29442;33843;0,098;17279288;216;276;221
91;;17245683;30314;4003;;17213850;30247;35904;0,088;17279226;234;300;241
92;;17244968;30863;4169;;17211190;30790;38021;0,095;17279159;254;326;262
93;;17244079;31628;4293;;17208277;31547;40176;0,092;17279086;276;354;284
94;;17243271;32323;4406;;17205382;32234;42385;0,087;17279007;300;384;309
95;;17242616;32858;4526;;17202598;32762;44641;0,088;17278921;326;417;336
96;;17241960;33432;4608;;17199739;33328;46934;0,081;17278828;354;453;365
97;;17241560;33789;4651;;17197057;33677;49267;0,074;17278726;385;493;397
98;;17241388;33913;4699;;17194582;33794;51625;0,077;17278616;418;535;432
99;;17241002;34152;4846;;17191986;34025;53990;0,083;17278496;454;581;469
100;;17240488;34576;4936;;17189189;34440;56372;0,081;17278367;493;631;510
101;;17240011;34942;5047;;17186422;34796;58783;0,080;17278225;536;686;554
102;;17239566;35293;5141;;17183646;35137;61219;0,078;17278072;582;745;602
103;;17239231;35559;5210;;17180930;35393;63678;0,075;17277906;632;809;654
104;;17239032;35732;5236;;17178289;35556;66156;0,077;17277725;686;879;711
105;;17238714;35962;5324;;17175581;35775;68645;0,075;17277528;746;955;772
106;;17238482;36151;5367;;17172899;35953;71149;0,080;17277315;810;1037;839
107;;17238027;36520;5453;;17170026;36309;73666;0,077;17277083;880;1126;912
108;;17237708;36768;5524;;17167249;36545;76207;0,076;17276831;956;1223;990
109;;17237419;36991;5590;;17164480;36755;78765;0,076;17276558;1038;1329;1076
