date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;2,244
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;146780720;0;0;;0;0;0;0,000;0;0;0;0
2;;146780720;0;0;;0;0;0;0,000;0;0;0;0
3;;146780720;0;0;;0;0;0;0,000;0;0;0;0
4;;146780720;0;0;;0;0;0;0,000;0;0;0;0
5;;146780720;0;0;;0;0;0;0,000;0;0;0;0
6;;146780720;0;0;;0;0;0;0,000;0;0;0;0
7;;146780720;0;0;;0;0;0;0,000;0;0;0;0
8;;146780720;0;0;;0;0;0;0,000;0;0;0;0
9;;146780720;0;0;;0;0;0;0,000;0;0;0;0
10;;146780718;2;0;;146780720;2;0;0,070;146780718;0;2;0
11;;146780718;2;0;;146780720;2;0;0,070;146780714;4;2;0
12;;146780718;2;0;;146780720;2;0;0,070;146780709;8;3;0
13;;146780718;2;0;;146780720;2;0;0,070;146780703;12;4;0
14;;146780718;2;0;;146780719;2;1;0,070;146780694;19;6;1
15;;146780718;2;0;;146780719;2;1;0,070;146780681;29;9;1
16;;146780718;2;0;;146780719;2;1;0,070;146780660;44;15;2
17;;146780718;2;0;;146780719;2;1;0,070;146780627;68;22;3
18;;146780718;2;0;;146780719;2;1;0,070;146780577;104;34;4
19;;146780718;2;0;;146780719;2;1;0,070;146780500;161;53;7
20;;146780718;2;0;;146780719;2;1;0,070;146780381;247;81;11
21;;146780718;2;0;;146780718;2;2;-0,930;146780199;380;125;16
22;;146780718;0;2;;146780720;-0;2;0,000;146779918;585;192;25
23;;146780718;0;2;;146780720;-0;2;0,000;146779487;899;296;38
24;;146780718;0;2;;146780720;-0;2;0,000;146778823;1383;455;59
25;;146780718;0;2;;146780720;-0;2;0,000;146777803;2127;700;91
26;;146780718;0;2;;146780720;-0;2;0,000;146776233;3271;1076;140
27;;146780718;0;2;;146780720;-0;2;0,000;146773818;5032;1655;215
28;;146780718;0;2;;146780720;-0;2;0,000;146770104;7739;2545;331
29;;146780718;0;2;;146780720;-0;2;0,000;146764392;11903;3915;509
30;;146780718;0;2;;146780720;-0;2;0,000;146755607;18308;6022;783
31;;146780718;0;2;;146780720;-0;2;0,000;146742096;28158;9262;1205
32;;146780718;0;2;;146780720;-0;2;0,000;146721316;43306;14245;1853
33;;146780718;0;2;;146780720;-0;2;0,000;146689361;66600;21909;2850
34;;146780718;0;2;;146780720;-0;2;0,000;146640224;102417;33695;4384
35;;146780718;0;2;;146780720;-0;2;0,000;146564677;157480;51820;6743
36;;146780718;0;2;;146780720;-0;2;0,000;146448554;242108;79689;10370
37;;146780718;0;2;;146780720;-0;2;0,000;146270121;372119;122532;15948
38;;146780718;0;2;;146780720;-0;2;0,000;145996092;571725;188378;24525
39;;146780718;0;2;;146780720;-0;2;0,000;145575592;877879;289537;37712
40;;146780718;0;2;;146780720;-0;2;0,000;144931149;1346747;444845;57979
41;;146780717;1;2;;146780717;1;2;0,070;143945407;2063139;683055;89119
42;;146780717;1;2;;146780717;1;2;0,070;142442105;3153813;1047869;136932
43;;146780717;1;2;;146780717;1;2;1,070;140159988;4805168;1605281;210283
44;;146780716;2;2;;146780716;2;2;4,570;136719915;7284207;2453945;322653
45;;146780707;11;2;;146780707;11;2;0,070;131590248;10957033;3739010;494429
46;;146780707;11;2;;146780706;11;3;0,343;124067563;16288311;5668686;756160
47;;146780703;14;3;;146780702;14;4;0,070;113314475;23783737;8529540;1152968
48;;146780703;14;3;;146780701;14;5;-0,430;98536887;33804578;12689220;1750036
49;;146780710;7;3;;146780707;7;6;1,499;79419597;46160951;18561890;2638281
50;;146780700;17;3;;146780697;17;6;0,541;56880192;59468167;26494748;3937613
51;;146780692;25;3;;146780687;25;7;0,750;33838552;70616173;36533749;5792246
52;;146780675;42;3;;146780669;42;9;0,284;14936952;75394538;48099621;8349608
53;;146780661;51;8;;146780657;51;12;0,148;3952050;71300533;59811555;11716582
54;;146780657;55;8;;146780649;55;15;0,561;337951;60654526;69884853;15903391
55;;146780630;82;8;;146780618;82;19;0,363;-23150;48884722;77123818;20795330
56;;146780606;106;8;;146780589;106;25;0,381;4148;39080479;81502096;26193998
57;;146780573;139;8;;146780548;139;32;0,430;-1021;31269552;83613045;31899144
58;;146780521;189;10;;146780488;189;42;0,356;284;25014337;84014042;37752057
59;;146780467;243;10;;146780421;243;55;0,276;-81;20011834;83135926;43633040
60;;146780414;293;13;;146780354;293;72;0,265;22;16009365;81318778;49452555
61;;146780353;350;17;;146780277;350;93;0,270;-5;12807519;78828337;55144870
62;;146780282;420;18;;146780182;420;117;0,194;1;10246009;75871857;60662853
63;;146780225;472;23;;146780101;472;147;0,396;-0;8196808;72610029;65973883
64;;146780062;626;32;;146779914;626;180;0,346;0;6557446;69166688;71056585
65;;146779880;799;41;;146779697;799;224;0,305;-0;5245957;65636509;75898253
66;;146779684;987;49;;146779453;987;280;0,297;0;4196766;62091145;80492809
67;;146779456;1211;53;;146779160;1211;349;0,277;0;3357413;58584118;84839189
68;;146779186;1462;72;;146778824;1462;434;0,275;0;2685930;55154712;88940077
69;;146778884;1761;75;;146778423;1761;536;0,319;0;2148744;51831069;92800907
70;;146778383;2199;138;;146777862;2199;659;0,236;0;1718995;48632643;96429082
71;;146777943;2563;214;;146777344;2563;813;0,351;0;1375196;45572157;99833367
72;;146777172;3283;265;;146776444;3283;992;0,238;0;1100157;42657145;103023418
73;;146776571;3834;315;;146775663;3834;1222;0,206;0;880126;39891176;106009418
74;;146775989;4355;376;;146774874;4355;1491;0,216;0;704100;37274819;108801801
75;;146775331;4989;400;;146773935;4989;1795;0,251;0;563280;34806402;111411038
76;;146774377;5890;453;;146772685;5890;2145;0,249;0;450624;32482610;113847486
77;;146773223;6945;552;;146771218;6945;2557;0,226;0;360499;30298952;116121269
78;;146772048;8029;643;;146769648;8029;3043;0,235;0;288400;28250125;118242195
79;;146770589;9357;774;;146767758;9357;3605;0,249;0;230720;26330296;120219704
80;;146768803;11028;889;;146765432;11028;4260;0,197;0;184576;24533319;122062825
81;;146767136;12433;1151;;146763255;12433;5032;0,224;0;147661;22852902;123780157
82;;146764950;14349;1421;;146760469;14349;5902;0,235;0;118128;21282731;125379860
83;;146762392;16710;1618;;146757104;16709;6907;0,221;0;94503;19816566;126869652
84;;146759618;19238;1864;;146753406;19237;8076;0,230;0;75602;18448307;128256811
85;;146756230;22306;2184;;146748992;22305;9423;0,209;0;60482;17172046;129548193
86;;146752782;25402;2536;;146744335;25400;10984;0,217;0;48385;15982099;130750236
87;;146748712;29145;2863;;146738814;29143;12762;0,217;0;38708;14873029;131868983
88;;146743927;33423;3370;;146732497;33420;14802;0,243;0;30967;13839659;132910095
89;;146737867;39201;3652;;146724381;39197;17142;0,174;0;24773;12877076;133878871
90;;146733599;43270;3851;;146717569;43265;19886;0,189;0;19819;11980635;134780266
91;;146727957;48434;4329;;146709378;48427;22914;0,166;0;15855;11145954;135618911
92;;146722721;53066;4933;;146701358;53058;26304;0,150;0;12684;10368909;136399127
93;;146717947;57327;5446;;146693385;57317;30018;0,159;0;10147;9645622;137124951
94;;146712098;62439;6183;;146684263;62427;34030;0,154;0;8118;8972458;137800145
95;;146706132;67657;6931;;146674678;67642;38400;0,155;0;6494;8346009;138428217
96;;146699771;73435;7514;;146664169;73416;43135;0,146;0;5195;7763087;139012437
97;;146693573;79007;8140;;146653461;78984;48274;0,136;0;4156;7220710;139555853
98;;146687162;84235;9323;;146642709;84208;53803;0,116;0;3325;6716092;140061303
99;;146681321;88141;11258;;146632913;88109;59698;0,134;0;2660;6246630;140531430
100;;146674222;93806;12692;;146621086;93768;65865;0,137;0;2128;5809898;140968694
101;;146666289;100042;14389;;146608293;99997;72429;0,148;0;1702;5403631;141375387
102;;146656666;107819;16235;;146593526;107765;79429;0,153;0;1362;5025717;141753641
103;;146646033;116768;17919;;146577045;116702;86972;0,148;0;1090;4674190;142105441
104;;146635452;125817;19451;;146559840;125738;95142;0,136;0;872;4347214;142432634
105;;146625350;134054;21316;;146542815;133961;103943;0,137;0;697;4043084;142736939
106;;146614791;143065;22864;;146524443;142956;113321;0,131;0;558;3760207;143019955
107;;146603560;151732;25428;;146505788;151605;123327;0,122;0;446;3497104;143283170
108;;146592861;159528;28331;;146487398;159382;133940;0,104;0;357;3252396;143527967
109;;146582044;164933;33743;;146470853;164770;145096;0,122;0;286;3024800;143755635
110;;146571032;173467;36221;;146450809;173280;156630;0,105;0;228;2813121;143967371
111;;146559376;179534;41810;;146432634;179326;168760;0,110;0;183;2616248;144164289
112;;146548477;186615;45628;;146413025;186382;181313;0,099;0;146;2433147;144347426
113;;146538449;192056;50215;;146394561;191799;194360;0,093;0;117;2262856;144517747
114;;146528475;196410;55835;;146376805;196129;207785;0,100;0;94;2104480;144676147
115;;146517877;202199;60644;;146357315;201890;221514;0,091;0;75;1957185;144823460
116;;146508677;206340;65703;;146339068;206005;235647;0,096;0;60;1820197;144960463
117;;146498968;211748;70004;;146319272;211381;250067;0,099;0;48;1692795;145087877
118;;146490042;217747;72931;;146298512;217344;264864;0,085;0;38;1574309;145206373
119;;146480779;220974;78967;;146280101;220541;280078;0,067;0;31;1464115;145316574
120;;146472015;220341;88364;;146265315;219889;295516;0,077;0;25;1361633;145419062
121;;146463166;221774;95780;;146248517;221295;310908;0,077;0;20;1266324;145514377
122;;146454272;223374;103074;;146231454;222867;326399;0,075;0;16;1177685;145603019
123;;146444838;224558;111324;;146214698;224022;341999;0,084;0;13;1095250;145685457
124;;146436239;227641;116840;;146195970;227069;357681;0,085;0;10;1018585;145762125
125;;146427293;230996;122431;;146176760;230384;373576;0,055;0;8;947286;145833426
126;;146418378;227406;134936;;146164236;226782;389702;0,057;0;6;880978;145899736
127;;146410040;224504;146176;;146151277;223865;405577;0,068;0;5;819311;145961404
128;;146401669;223916;155135;;146136220;223252;421248;0,071;0;4;761960;146018756
129;;146393097;223992;163631;;146120545;223299;436875;0,073;0;3;708624;146072093
130;;146384145;224551;172024;;146104387;223827;452506;0,091;0;3;659021;146121697
131;;146374877;229267;176576;;146084057;228488;468174;0,091;0;2;612890;146167828
132;;146366392;233965;180363;;146063422;233129;484168;0,060;0;2;569988;146210731
133;;146357534;231553;191633;;146049535;230697;500487;0,068;0;1;530089;146250630
134;;146349005;230948;200767;;146034022;230062;516636;0,070;0;1;492983;146287736
135;;146340182;230965;209573;;146017935;230044;532741;0,073;0;1;458474;146322245
136;;146331464;231499;217757;;146001337;230539;548844;0,070;0;1;426381;146354338
137;;146322618;231450;226652;;145985284;230454;564981;0,085;0;1;396535;146384185
138;;146313647;234950;232123;;145965713;233894;581113;0,091;0;0;368778;146411942
139;;146304677;239854;236189;;145944509;238725;597486;0,057;0;0;342963;146437756
140;;146296090;236579;248051;;145931091;235433;614197;0,061;0;0;318956;146461764
141;;146287697;234378;258645;;145916836;233207;630677;0,071;0;0;296629;146484091
142;;146278920;234629;267171;;145900304;233414;647001;0,073;0;0;275865;146504855
143;;146269959;235194;275567;;145883447;233933;663340;0,084;0;0;256554;146524165
144;;146261262;238511;280947;;145860943;240061;679716;0,000;0;0;238596;146542124
145;;;;;;145838020;246180;696520;0,095;0;0;221894;146558826
146;;;;;;145814686;252281;713752;0,095;0;0;206361;146574358
147;;;;;;145790949;258358;731412;0,094;0;0;191916;146588804
148;;;;;;145766820;264402;749497;0,093;0;0;178482;146602238
149;;;;;;145742309;270405;768005;0,093;0;0;165988;146614732
150;;;;;;145717426;276360;786934;0,092;0;0;154369;146626351
151;;;;;;145692182;282258;806279;0,091;0;0;143563;146637157
152;;;;;;145666590;288092;826037;0,091;0;0;133514;146647206
153;;;;;;145640662;293854;846203;0,090;0;0;124168;146656552
154;;;;;;145614411;299535;866773;0,089;0;0;115476;146665244
155;;;;;;145587850;305129;887741;0,089;0;0;107393;146673327
156;;;;;;145560993;310627;909100;0,088;0;0;99875;146680845
157;;;;;;145533854;316023;930844;0,087;0;0;92884;146687836
158;;;;;;145506447;321307;952965;0,087;0;0;86382;146694338
159;;;;;;145478788;326474;975457;0,086;0;0;80335;146700385
160;;;;;;145450893;331517;998310;0,086;0;0;74712;146706008
161;;;;;;145422776;336427;1021516;0,085;0;0;69482;146711238
162;;;;;;145394454;341200;1045066;0,084;0;0;64618;146716102
163;;;;;;145365943;345827;1068950;0,084;0;0;60095;146720625
164;;;;;;145337259;350303;1093158;0,083;0;0;55888;146724832
165;;;;;;145308418;354622;1117679;0,083;0;0;51976;146728744
166;;;;;;145279439;358778;1142503;0,082;0;0;48338;146732382
167;;;;;;145250337;362766;1167617;0,081;0;0;44954;146735766
168;;;;;;145221129;366580;1193011;0,081;0;0;41807;146738913
169;;;;;;145191833;370215;1218671;0,080;0;0;38881;146741839
170;;;;;;145162466;373667;1244586;0,080;0;0;36159;146744561
171;;;;;;145133044;376932;1270743;0,079;0;0;33628;146747092
172;;;;;;145103585;380006;1297128;0,078;0;0;31274;146749446
173;;;;;;145074107;382884;1323729;0,078;0;0;29085;146751635
174;;;;;;145044624;385565;1350531;0,077;0;0;27049;146753671
175;;;;;;145015156;388044;1377520;0,077;0;0;25156;146755564
176;;;;;;144985718;390319;1404683;0,076;0;0;23395;146757325
177;;;;;;144956326;392388;1432006;0,076;0;0;21757;146758963
178;;;;;;144926998;394249;1459473;0,075;0;0;20234;146760486
179;;;;;;144897749;395901;1487070;0,075;0;0;18818;146761902
180;;;;;;144868595;397342;1514783;0,074;0;0;17500;146763220
181;;;;;;144839551;398571;1542597;0,074;0;0;16275;146764445
182;;;;;;144810634;399589;1570497;0,073;0;0;15136;146765584
183;;;;;;144781857;400394;1598468;0,072;0;0;14077;146766643
184;;;;;;144753236;400987;1626496;0,072;0;0;13091;146767629
185;;;;;;144724785;401369;1654565;0,071;0;0;12175;146768545
186;;;;;;144696518;401541;1682661;0,071;0;0;11323;146769397
187;;;;;;144668447;401503;1710769;0,070;0;0;10530;146770190
188;;;;;;144640588;401258;1738874;0,070;0;0;9793;146770927
189;;;;;;144612951;400807;1766962;0,069;0;0;9107;146771613
190;;;;;;144585549;400152;1795019;0,069;0;0;8470;146772250
191;;;;;;144558395;399296;1823029;0,068;0;0;7877;146772843
192;;;;;;144531499;398241;1850980;0,068;0;0;7326;146773394
193;;;;;;144504872;396991;1878857;0,067;0;0;6813;146773907
194;;;;;;144478525;395548;1906646;0,067;0;0;6336;146774384
