date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,221
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;46940000;0;0;;0;0;0;0,000;0;0;0;0
2;;46940000;0;0;;0;0;0;0,000;0;0;0;0
3;;46940000;0;0;;0;0;0;0,000;0;0;0;0
4;;46940000;0;0;;0;0;0;0,000;0;0;0;0
5;;46940000;0;0;;0;0;0;0,000;0;0;0;0
6;;46940000;0;0;;0;0;0;0,000;0;0;0;0
7;;46940000;0;0;;0;0;0;0,000;0;0;0;0
8;;46940000;0;0;;0;0;0;0,000;0;0;0;0
9;;46940000;0;0;;0;0;0;0,000;0;0;0;0
10;;46940000;0;0;;0;0;0;0,000;0;0;0;0
11;;46939999;1;0;;46940000;1;0;0,070;46939999;0;1;0
12;;46939999;1;0;;46940000;1;0;0,070;46939999;0;1;0
13;;46939999;1;0;;46940000;1;0;0,070;46939999;0;1;0
14;;46939999;1;0;;46940000;1;0;0,070;46939999;1;1;0
15;;46939999;1;0;;46940000;1;0;0,070;46939999;1;1;0
16;;46939999;1;0;;46940000;1;0;0,070;46939998;1;1;0
17;;46939999;1;0;;46940000;1;0;0,070;46939998;1;1;0
18;;46939999;1;0;;46940000;1;0;1,070;46939998;1;1;1
19;;46939998;2;0;;46939998;2;1;0,070;46939998;1;1;1
20;;46939998;2;0;;46939998;2;1;0,070;46939997;1;1;1
21;;46939998;2;0;;46939998;2;1;0,070;46939997;1;2;1
22;;46939998;2;0;;46939998;2;1;0,070;46939997;1;2;1
23;;46939998;2;0;;46939998;2;1;0,070;46939996;1;2;1
24;;46939998;2;0;;46939998;2;1;-0,930;46939996;2;2;1
25;;46939998;0;2;;46940000;0;1;0,000;46939995;2;2;1
26;;46939998;0;2;;46940000;0;1;0,000;46939995;2;2;1
27;;46939998;0;2;;46940000;0;1;0,000;46939994;2;3;2
28;;46939998;0;2;;46940000;0;1;0,000;46939994;2;3;2
29;;46939998;0;2;;46940000;0;1;0,000;46939993;2;3;2
30;;46939998;0;2;;46940000;0;1;0,000;46939992;3;3;2
31;;46939998;0;2;;46940000;0;1;0,000;46939992;3;4;2
32;;46939998;0;2;;46940000;0;1;0,000;46939991;3;4;3
33;;46939998;0;2;;46940000;0;1;0,000;46939990;3;4;3
34;;46939998;0;2;;46940000;0;1;0,000;46939989;4;5;3
35;;46939994;4;2;;46939994;4;1;1,820;46939988;4;5;4
36;;46939987;11;2;;46939987;11;2;0,252;46939987;4;5;4
37;;46939985;13;2;;46939984;13;2;1,378;46939986;5;6;4
