date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,214
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;10230000;0;0;;0;0;0;0,000;0;0;0;0
2;;10230000;0;0;;0;0;0;0,000;0;0;0;0
3;;10230000;0;0;;0;0;0;0,000;0;0;0;0
4;;10230000;0;0;;0;0;0;0,000;0;0;0;0
5;;10230000;0;0;;0;0;0;0,000;0;0;0;0
6;;10230000;0;0;;0;0;0;0,000;0;0;0;0
7;;10230000;0;0;;0;0;0;0,000;0;0;0;0
8;;10230000;0;0;;0;0;0;0,000;0;0;0;0
9;;10230000;0;0;;0;0;0;0,000;0;0;0;0
10;;10229999;1;0;;10229999;1;0;0,070;10229999;0;1;0
11;;10229999;1;0;;10229999;1;0;0,070;10229999;0;1;0
12;;10229999;1;0;;10229999;1;0;0,070;10229999;0;1;0
13;;10229999;1;0;;10229999;1;0;0,070;10229999;1;1;0
14;;10229999;1;0;;10229999;1;0;0,070;10229999;1;1;0
15;;10229999;1;0;;10229999;1;0;0,070;10229998;1;1;0
16;;10229999;1;0;;10229999;1;0;0,070;10229998;1;1;0
17;;10229999;1;0;;10229999;1;0;0,070;10229998;1;1;1
18;;10229999;1;0;;10229999;1;1;0,070;10229998;1;1;1
19;;10229999;1;0;;10229999;1;1;0,070;10229997;1;1;1
20;;10229999;1;0;;10229999;1;1;0,070;10229997;1;2;1
21;;10229999;1;0;;10229999;1;1;0,070;10229997;1;2;1
22;;10229999;1;0;;10229999;1;1;0,070;10229996;1;2;1
23;;10229999;1;0;;10229999;1;1;0,070;10229996;1;2;1
24;;10229999;1;0;;10229999;1;1;0,070;10229996;2;2;1
25;;10229999;1;0;;10229999;1;1;0,070;10229995;2;2;1
26;;10229999;1;0;;10229999;1;1;0,070;10229995;2;2;2
27;;10229999;1;0;;10229999;1;1;0,070;10229994;2;3;2
28;;10229999;1;0;;10229999;1;1;0,070;10229993;2;3;2
29;;10229999;1;0;;10229999;1;1;0,070;10229993;2;3;2
30;;10229999;1;0;;10229999;1;1;0,070;10229992;3;3;2
31;;10229999;1;0;;10229999;1;1;0,070;10229991;3;4;3
32;;10229999;1;0;;10229999;1;2;0,070;10229991;3;4;3
33;;10229999;1;0;;10229999;1;2;0,070;10229990;3;4;3
34;;10229999;1;0;;10229999;1;2;0,070;10229989;4;5;3
