date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,238
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;82000000;0;0;;0;0;0;0,000;0;0;0;0
2;;82000000;0;0;;0;0;0;0,000;0;0;0;0
3;;82000000;0;0;;0;0;0;0,000;0;0;0;0
4;;82000000;0;0;;0;0;0;0,000;0;0;0;0
5;;82000000;0;0;;0;0;0;0,000;0;0;0;0
6;;82000000;0;0;;0;0;0;0,000;0;0;0;0
7;;82000000;0;0;;0;0;0;0,000;0;0;0;0
8;;82000000;0;0;;0;0;0;0,000;0;0;0;0
9;;82000000;0;0;;0;0;0;0,000;0;0;0;0
10;;82000000;0;0;;0;0;0;0,000;0;0;0;0
11;;82000000;0;0;;0;0;0;0,000;0;0;0;0
12;;82000000;0;0;;0;0;0;0,000;0;0;0;0
13;;82000000;0;0;;0;0;0;0,000;0;0;0;0
14;;82000000;0;0;;0;0;0;0,000;0;0;0;0
15;;82000000;0;0;;0;0;0;0,000;0;0;0;0
16;;82000000;0;0;;0;0;0;0,000;0;0;0;0
17;;82000000;0;0;;0;0;0;0,000;0;0;0;0
18;;82000000;0;0;;0;0;0;0,000;0;0;0;0
19;;82000000;0;0;;0;0;0;0,000;0;0;0;0
20;;82000000;0;0;;0;0;0;0,000;0;0;0;0
21;;82000000;0;0;;0;0;0;0,000;0;0;0;0
22;;82000000;0;0;;0;0;0;0,000;0;0;0;0
23;;82000000;0;0;;0;0;0;0,000;0;0;0;0
24;;82000000;0;0;;0;0;0;0,000;0;0;0;0
25;;82000000;0;0;;0;0;0;0,000;0;0;0;0
26;;82000000;0;0;;0;0;0;0,000;0;0;0;0
27;;82000000;0;0;;0;0;0;0,000;0;0;0;0
28;;82000000;0;0;;0;0;0;0,000;0;0;0;0
29;;82000000;0;0;;0;0;0;0,000;0;0;0;0
30;;82000000;0;0;;0;0;0;0,000;0;0;0;0
31;;82000000;0;0;;0;0;0;0,000;0;0;0;0
32;;82000000;0;0;;0;0;0;0,000;0;0;0;0
33;;82000000;0;0;;0;0;0;0,000;0;0;0;0
34;;82000000;0;0;;0;0;0;0,000;0;0;0;0
35;;82000000;0;0;;0;0;0;0,000;0;0;0;0
36;;82000000;0;0;;0;0;0;0,000;0;0;0;0
37;;82000000;0;0;;0;0;0;0,000;0;0;0;0
38;;82000000;0;0;;0;0;0;0,000;0;0;0;0
39;;82000000;0;0;;0;0;0;0,000;0;0;0;0
40;;82000000;0;0;;0;0;0;0,000;0;0;0;0
41;;82000000;0;0;;0;0;0;0,000;0;0;0;0
42;;82000000;0;0;;0;0;0;0,000;0;0;0;0
43;;82000000;0;0;;0;0;0;0,000;0;0;0;0
44;;82000000;0;0;;0;0;0;0,000;0;0;0;0
45;;82000000;0;0;;0;0;0;0,000;0;0;0;0
46;;82000000;0;0;;0;0;0;0,000;0;0;0;0
47;;82000000;0;0;;0;0;0;0,000;0;0;0;0
48;;82000000;0;0;;0;0;0;0,000;0;0;0;0
49;;82000000;0;0;;0;0;0;0,000;0;0;0;0
50;;81999999;1;0;;82000000;1;0;0,070;81999999;0;1;0
51;;81999999;1;0;;82000000;1;0;4,070;81999999;0;1;0
52;;81999995;5;0;;81999996;5;0;0,070;81999995;0;5;0
53;;81999995;5;0;;81999996;5;0;0,270;81999994;2;5;0
54;;81999994;6;0;;81999994;6;1;2,070;81999993;2;5;1
55;;81999982;18;0;;81999982;18;1;1,626;81999992;3;5;1
