date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,248
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;41980000;0;0;;0;0;0;0,000;0;0;0;0
2;;41980000;0;0;;0;0;0;0,000;0;0;0;0
3;;41980000;0;0;;0;0;0;0,000;0;0;0;0
4;;41980000;0;0;;0;0;0;0,000;0;0;0;0
5;;41980000;0;0;;0;0;0;0,000;0;0;0;0
6;;41980000;0;0;;0;0;0;0,000;0;0;0;0
7;;41980000;0;0;;0;0;0;0,000;0;0;0;0
8;;41980000;0;0;;0;0;0;0,000;0;0;0;0
9;;41980000;0;0;;0;0;0;0,000;0;0;0;0
10;;41980000;0;0;;0;0;0;0,000;0;0;0;0
11;;41980000;0;0;;0;0;0;0,000;0;0;0;0
12;;41980000;0;0;;0;0;0;0,000;0;0;0;0
13;;41980000;0;0;;0;0;0;0,000;0;0;0;0
14;;41980000;0;0;;0;0;0;0,000;0;0;0;0
15;;41980000;0;0;;0;0;0;0,000;0;0;0;0
16;;41980000;0;0;;0;0;0;0,000;0;0;0;0
17;;41980000;0;0;;0;0;0;0,000;0;0;0;0
18;;41980000;0;0;;0;0;0;0,000;0;0;0;0
19;;41980000;0;0;;0;0;0;0,000;0;0;0;0
20;;41980000;0;0;;0;0;0;0,000;0;0;0;0
21;;41980000;0;0;;0;0;0;0,000;0;0;0;0
22;;41980000;0;0;;0;0;0;0,000;0;0;0;0
23;;41980000;0;0;;0;0;0;0,000;0;0;0;0
24;;41980000;0;0;;0;0;0;0,000;0;0;0;0
25;;41980000;0;0;;0;0;0;0,000;0;0;0;0
26;;41980000;0;0;;0;0;0;0,000;0;0;0;0
27;;41980000;0;0;;0;0;0;0,000;0;0;0;0
28;;41980000;0;0;;0;0;0;0,000;0;0;0;0
29;;41980000;0;0;;0;0;0;0,000;0;0;0;0
30;;41980000;0;0;;0;0;0;0,000;0;0;0;0
31;;41980000;0;0;;0;0;0;0,000;0;0;0;0
32;;41980000;0;0;;0;0;0;0,000;0;0;0;0
33;;41980000;0;0;;0;0;0;0,000;0;0;0;0
34;;41980000;0;0;;0;0;0;0,000;0;0;0;0
35;;41980000;0;0;;0;0;0;0,000;0;0;0;0
36;;41980000;0;0;;0;0;0;0,000;0;0;0;0
37;;41980000;0;0;;0;0;0;0,000;0;0;0;0
38;;41980000;0;0;;0;0;0;0,000;0;0;0;0
39;;41980000;0;0;;0;0;0;0,000;0;0;0;0
40;;41980000;0;0;;0;0;0;0,000;0;0;0;0
41;;41980000;0;0;;0;0;0;0,000;0;0;0;0
42;;41979999;1;0;;41980000;1;0;0,070;41979999;0;1;0
