date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,164
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;32960000;0;0;;0;0;0;0,000;0;0;0;0
2;;32960000;0;0;;0;0;0;0,000;0;0;0;0
3;;32960000;0;0;;0;0;0;0,000;0;0;0;0
4;;32960000;0;0;;0;0;0;0,000;0;0;0;0
5;;32960000;0;0;;0;0;0;0,000;0;0;0;0
6;;32960000;0;0;;0;0;0;0,000;0;0;0;0
7;;32960000;0;0;;0;0;0;0,000;0;0;0;0
8;;32960000;0;0;;0;0;0;0,000;0;0;0;0
9;;32960000;0;0;;0;0;0;0,000;0;0;0;0
10;;32960000;0;0;;0;0;0;0,000;0;0;0;0
11;;32960000;0;0;;0;0;0;0,000;0;0;0;0
12;;32960000;0;0;;0;0;0;0,000;0;0;0;0
13;;32960000;0;0;;0;0;0;0,000;0;0;0;0
14;;32960000;0;0;;0;0;0;0,000;0;0;0;0
15;;32960000;0;0;;0;0;0;0,000;0;0;0;0
16;;32960000;0;0;;0;0;0;0,000;0;0;0;0
17;;32960000;0;0;;0;0;0;0,000;0;0;0;0
18;;32960000;0;0;;0;0;0;0,000;0;0;0;0
19;;32960000;0;0;;0;0;0;0,000;0;0;0;0
20;;32960000;0;0;;0;0;0;0,000;0;0;0;0
21;;32960000;0;0;;0;0;0;0,000;0;0;0;0
22;;32960000;0;0;;0;0;0;0,000;0;0;0;0
23;;32960000;0;0;;0;0;0;0,000;0;0;0;0
24;;32960000;0;0;;0;0;0;0,000;0;0;0;0
25;;32960000;0;0;;0;0;0;0,000;0;0;0;0
26;;32960000;0;0;;0;0;0;0,000;0;0;0;0
27;;32960000;0;0;;0;0;0;0,000;0;0;0;0
28;;32960000;0;0;;0;0;0;0,000;0;0;0;0
29;;32960000;0;0;;0;0;0;0,000;0;0;0;0
30;;32960000;0;0;;0;0;0;0,000;0;0;0;0
31;;32960000;0;0;;0;0;0;0,000;0;0;0;0
32;;32960000;0;0;;0;0;0;0,000;0;0;0;0
33;;32960000;0;0;;0;0;0;0,000;0;0;0;0
34;;32960000;0;0;;0;0;0;0,000;0;0;0;0
35;;32960000;0;0;;0;0;0;0,000;0;0;0;0
36;;32960000;0;0;;0;0;0;0,000;0;0;0;0
37;;32960000;0;0;;0;0;0;0,000;0;0;0;0
38;;32960000;0;0;;0;0;0;0,000;0;0;0;0
39;;32960000;0;0;;0;0;0;0,000;0;0;0;0
