date:;01-22-2020;;;;;SIR;CKO;4,000000000000;;SEIR;CKO;14,247806848775;0,000100000000
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;95540000;0;0;;0;0;0;;0;0;0;0
2;;95539998;2;0;;95540000;2;0;;95539998;0;2;0
3;;95539998;2;0;;95540000;2;0;;95539998;0;2;0
4;;95539998;2;0;;95540000;2;0;;95539998;0;2;0
5;;95539998;2;0;;95540000;2;0;;95539998;0;2;0
6;;95539998;2;0;;95539999;2;1;;95539998;0;1;1
7;;95539998;2;0;;95539999;2;1;;95539998;0;1;1
8;;95539998;2;0;;95539999;2;1;;95539998;0;1;1
9;;95539998;2;0;;95539999;2;1;;95539998;0;1;1
10;;95539998;2;0;;95539999;2;1;;95539998;0;1;1
11;;95539994;5;1;;95539996;5;1;;95539998;0;1;1
12;;95539994;5;1;;95539995;5;2;;95539994;0;5;1
13;;95539992;7;1;;95539993;7;2;;95539994;0;5;1
14;;95539992;7;1;;95539993;7;2;;95539994;0;4;2
15;;95539992;7;1;;95539992;7;3;;95539994;0;4;2
16;;95539990;9;1;;95539990;9;3;;95539994;0;4;2
17;;95539990;9;1;;95539989;9;4;;95539994;0;3;3
18;;95539987;12;1;;95539985;12;5;;95539994;0;3;3
19;;95539987;12;1;;95539984;12;6;;95539994;0;3;3
20;;95539986;13;1;;95539983;13;6;;95539994;0;3;3
21;;95539985;9;6;;95539986;9;7;;95539994;0;3;3
22;;95539985;9;6;;95539985;9;8;;95539994;0;2;4
23;;95539984;9;7;;95539984;9;9;;95539994;0;2;4
24;;95539984;9;7;;95539984;9;9;;95539994;0;2;4
25;;95539984;9;7;;95539983;9;10;;95539994;0;2;4
26;;95539984;9;7;;95539983;9;10;;95539994;0;2;4
27;;95539984;9;7;;95539982;9;11;;95539994;0;2;4
28;;95539984;9;7;;95539981;9;12;;95539994;0;2;4
29;;95539984;9;7;;95539981;9;12;;95539994;0;1;5
30;;95539984;9;7;;95539980;9;13;;95539994;0;1;5
31;;95539984;2;14;;95539986;2;14;;95539994;0;1;5
32;;95539984;2;14;;95539986;2;14;;95539994;0;1;5
33;;95539984;2;14;;95539986;2;14;;95539994;0;1;5
34;;95539984;2;14;;95539986;2;14;;95539994;0;1;5
35;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
36;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
37;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
38;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
39;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
40;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
41;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
42;;95539984;0;16;;95539988;0;14;;95539994;0;1;5
43;;95539984;0;16;;95539988;0;14;;95539994;0;1;6
44;;95539984;0;16;;95539988;0;14;;95539994;0;0;6
45;;95539984;0;16;;95539988;0;14;;95539994;0;0;6
46;;95539982;2;16;;95539982;2;14;;95539982;0;2;6
47;;95539970;14;16;;95539970;14;14;;95539982;0;2;6
48;;95539970;14;16;;95539969;14;15;;95539982;0;2;6
49;;95540000;0;0;;95539982;0;16;;95539982;0;2;6
50;;95539962;22;16;;95539962;22;16;;95539982;0;1;6
51;;95539961;23;16;;95539959;23;18;;95539982;0;1;6
