date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,149
¹;;S;I;R;;S;I;R;;S;E;I;R
1;;14440000;0;0;;0;0;0;0,000;0;0;0;0
2;;14440000;0;0;;0;0;0;0,000;0;0;0;0
3;;14440000;0;0;;0;0;0;0,000;0;0;0;0
4;;14440000;0;0;;0;0;0;0,000;0;0;0;0
5;;14440000;0;0;;0;0;0;0,000;0;0;0;0
6;;14440000;0;0;;0;0;0;0,000;0;0;0;0
7;;14440000;0;0;;0;0;0;0,000;0;0;0;0
8;;14440000;0;0;;0;0;0;0,000;0;0;0;0
9;;14440000;0;0;;0;0;0;0,000;0;0;0;0
10;;14440000;0;0;;0;0;0;0,000;0;0;0;0
11;;14440000;0;0;;0;0;0;0,000;0;0;0;0
12;;14440000;0;0;;0;0;0;0,000;0;0;0;0
13;;14440000;0;0;;0;0;0;0,000;0;0;0;0
14;;14440000;0;0;;0;0;0;0,000;0;0;0;0
15;;14440000;0;0;;0;0;0;0,000;0;0;0;0
16;;14440000;0;0;;0;0;0;0,000;0;0;0;0
17;;14440000;0;0;;0;0;0;0,000;0;0;0;0
18;;14440000;0;0;;0;0;0;0,000;0;0;0;0
19;;14440000;0;0;;0;0;0;0,000;0;0;0;0
20;;14440000;0;0;;0;0;0;0,000;0;0;0;0
21;;14440000;0;0;;0;0;0;0,000;0;0;0;0
22;;14440000;0;0;;0;0;0;0,000;0;0;0;0
23;;14440000;0;0;;0;0;0;0,000;0;0;0;0
24;;14440000;0;0;;0;0;0;0,000;0;0;0;0
25;;14440000;0;0;;0;0;0;0,000;0;0;0;0
26;;14440000;0;0;;0;0;0;0,000;0;0;0;0
27;;14440000;0;0;;0;0;0;0,000;0;0;0;0
28;;14440000;0;0;;0;0;0;0,000;0;0;0;0
29;;14440000;0;0;;0;0;0;0,000;0;0;0;0
30;;14440000;0;0;;0;0;0;0,000;0;0;0;0
31;;14440000;0;0;;0;0;0;0,000;0;0;0;0
32;;14440000;0;0;;0;0;0;0,000;0;0;0;0
33;;14440000;0;0;;0;0;0;0,000;0;0;0;0
34;;14440000;0;0;;0;0;0;0,000;0;0;0;0
35;;14440000;0;0;;0;0;0;0,000;0;0;0;0
36;;14440000;0;0;;0;0;0;0,000;0;0;0;0
37;;14440000;0;0;;0;0;0;0,000;0;0;0;0
38;;14440000;0;0;;0;0;0;0,000;0;0;0;0
39;;14440000;0;0;;0;0;0;0,000;0;0;0;0
40;;14440000;0;0;;0;0;0;0,000;0;0;0;0
41;;14440000;0;0;;0;0;0;0,000;0;0;0;0
42;;14440000;0;0;;0;0;0;0,000;0;0;0;0
43;;14440000;0;0;;0;0;0;0,000;0;0;0;0
44;;14440000;0;0;;0;0;0;0,000;0;0;0;0
45;;14440000;0;0;;0;0;0;0,000;0;0;0;0
46;;14440000;0;0;;0;0;0;0,000;0;0;0;0
47;;14440000;0;0;;0;0;0;0,000;0;0;0;0
48;;14440000;0;0;;0;0;0;0,000;0;0;0;0
49;;14440000;0;0;;0;0;0;0,000;0;0;0;0
50;;14440000;0;0;;0;0;0;0,000;0;0;0;0
51;;14440000;0;0;;0;0;0;0,000;0;0;0;0
52;;14440000;0;0;;0;0;0;0,000;0;0;0;0
53;;14440000;0;0;;0;0;0;0,000;0;0;0;0
54;;14440000;0;0;;0;0;0;0,000;0;0;0;0
55;;14440000;0;0;;0;0;0;0,000;0;0;0;0
56;;14440000;0;0;;0;0;0;0,000;0;0;0;0
57;;14440000;0;0;;0;0;0;0,000;0;0;0;0
58;;14440000;0;0;;0;0;0;0,000;0;0;0;0
59;;14439999;1;0;;14439999;1;0;2,070;14439999;0;1;0
60;;14439997;3;0;;14439997;3;0;0,070;14439997;0;3;0
61;;14439997;3;0;;14439997;3;0;-0,263;14439997;1;3;0
62;;14439997;2;1;;14439998;2;0;0,070;14439996;1;3;0
63;;14439997;2;1;;14439997;2;1;0,070;14439996;1;3;1
64;;14439997;2;1;;14439997;2;1;0,070;14439995;1;3;1
65;;14439997;2;1;;14439997;2;1;1,070;14439995;1;3;1
66;;14439995;4;1;;14439995;4;1;0,570;14439994;2;3;1
67;;14439993;6;1;;14439993;6;1;0,070;14439994;2;3;1
68;;14439993;6;1;;14439992;6;2;0,070;14439994;2;3;2
69;;14439993;6;1;;14439992;6;2;0,237;14439993;2;3;2
70;;14439992;7;1;;14439990;7;3;0,070;14439993;2;3;2
71;;14439992;7;1;;14439990;7;3;0,213;14439992;2;4;2
